,name,latitude,longitude,altitude
0,barbacena,-21.22833332,-43.76777777,1168.76
1,araxa,-19.60583333,-46.94972221,1018.32
2,montes_claros,-16.68638888,-43.84388888,645.87
3,uberlandia,-18.91694443,-48.25555555,874.77
4,almenara,-16.16666666,-40.68777777,189.11
5,monte_verde,-22.86166666,-46.04333333,1544.89
6,vicosa,-20.762607,-42.864013,697.64
7,timoteo,-19.57388888,-42.62249999,493.42
8,ituiutaba,-18.95277777,-49.52499999,540.08
9,ouro_branco,-20.55666666,-43.75611111,1048.2
10,sao_joao_del_rei,-21.10638888,-44.25083333,929.88
11,varginha,-21.56638888,-45.40416666,949.78
12,passos,-20.745237,-46.633916,781.7
13,muriae,-21.105,-42.37583332,282.79
14,juiz_de_fora,-21.769965,-43.364329,936.88
15,campina_verde,-19.53921,-49.518133,559.07
16,conceicao_das_alagoas,-19.98583333,-48.15166666,572.54
17,belo_horizonte_pampulha,-19.88388888,-43.96944443,854.02
18,serra_dos_aimores,-17.79888888,-40.25,211.97
19,patrocinio,-18.99666666,-46.98583333,978.11
20,formiga,-20.455,-45.45388888,878.14
21,sacramento,-19.87527777,-47.43416666,913.12
22,montalvania,-14.40833333,-44.40416666,519.52
23,teofilo_otoni,-17.89277777,-41.51555555,467.17
24,tres_marias,-18.200855,-45.459836,931.01
25,passa_quatro,-22.39583333,-44.96194444,1017.1
26,caldas,-21.91805554,-46.38305554,1077.34
27,maria_da_fe,-22.31444444,-45.37305554,1281.43
28,governador_valadares,-18.83027777,-41.97694443,198.24
29,guanhaes,-18.78694444,-42.94305555,852.68
30,aimores,-19.53277777,-41.09083333,301
31,florestal,-19.88527777,-44.41694443,753.5
32,dores_do_indaia,-19.48194443,-45.59388888,721.09
33,diamantina,-18.231052,-43.648269,1359.25
34,curvelo,-18.74777777,-44.45388888,669.48
35,mocambinho,-15.08583333,-44.01611111,454
36,mantena,-18.78062,-40.986505,254.91
37,capelinha,-17.70555555,-42.38916666,932.06
38,unai,-16.55416666,-46.88194443,640.85
39,espinosa,-14.91222222,-42.80861111,565.36
40,buritis,-15.52416666,-46.43555555,894
41,pirapora,-17.258064,-44.835556,505.32
42,guarda-mor,-17.56138888,-47.19916666,997.01
43,sao_romao,-16.36277777,-45.12388888,490.29
44,chapada_gaucha,-15.30027777,-45.61749999,873.2
45,aguas_vermelhas,-15.75166666,-41.45777777,754.07
46,itaobim,-16.57555554,-41.48555555,271.63
47,rio_pardo_de_minas,-15.72305554,-42.43583333,850.06
48,salinas,-16.16027777,-42.31027777,487.14
49,joao_pinheiro,-17.78444444,-46.11944443,877.05
50,caratinga,-19.73583333,-42.13722221,609.25
51,ibirite_(rola_moca),-20.03138888,-44.01111111,1198.82
