Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;,2;903,8;1018,2;903,8;903;-2,8;21;19,4;18,2;19,5;19,3;18,3;18,1;12,6;93;93;93;192;1,7;,6;
2023-01-01;0100;,2;903,9;1018,3;903,9;903,8;-2,3;21;19,4;18,2;19,6;19,3;18,4;18,1;12,6;93;93;93;281;1,5;0;
2023-01-01;0200;0;903,6;1018,1;904;903,6;-2;20;19,1;18;19,4;19,1;18,2;18;12,6;93;93;93;218;2,5;1,2;
2023-01-01;0300;,2;903,2;1017,5;903,6;903,1;-2,7;20;19,3;18,2;19,4;19;18,3;17,9;12,5;94;93;93;342;2,3;0;
2023-01-01;0400;0;902,6;1017;903,2;902,6;-2,6;20;18,9;17,8;19,3;18,9;18,2;17,8;12,5;93;93;93;41;2,5;,1;
2023-01-01;0500;0;902,1;1016,4;902,6;902,1;-2,6;20;19;17,9;19,1;18,9;17,9;17,8;12,5;93;93;93;72;2,3;,7;
2023-01-01;0600;0;901,5;1015,8;902,1;901,5;-3;20;18,8;17,7;19;18,8;17,8;17,6;12,5;93;93;93;84;2,9;1,5;
2023-01-01;0700;0;901,4;1015,7;901,6;901,4;-2,1;20;18,9;17,6;18,9;18,8;17,7;17,6;12,4;93;92;92;98;4,6;2,7;
2023-01-01;0800;0;901,3;1015,7;901,5;901,2;-3,5;19;18,5;17,2;18,9;18,5;17,6;17,2;12,4;92;92;92;103;6,4;3,4;
2023-01-01;0900;0;901,9;1016,3;901,9;901,3;21,6;19;18,8;17,5;18,8;18,5;17,5;17,2;12,4;92;92;92;104;8,2;4,2;
2023-01-01;1000;0;902,9;1017,2;902,9;901,9;250,3;20;19,3;17,6;19,3;18,8;17,7;17,5;12,6;92;90;90;89;8,2;3,2;
2023-01-01;1100;0;903,4;1017,3;903,4;902,9;619,9;21;20,3;17,9;20,3;19,3;18;17,6;13,1;90;86;86;83;5,6;2,5;
2023-01-01;1200;0;903,7;1017,1;903,7;903,4;1107,9;22;21,6;18;21,6;20,3;18,2;17,8;13,3;86;79;80;42;4,2;1,9;
2023-01-01;1300;0;903,7;1016,6;903,8;903,7;1926,7;24;22,9;18,1;23,2;21,6;18,4;17,4;13,7;80;71;74;27;4,3;1,7;
2023-01-01;1400;0;903,5;1016;903,8;903,5;1482,5;25;23,8;18,4;23,9;22,4;18,7;17,6;14,3;76;70;72;345;4,3;2;
2023-01-01;1500;0;902,7;1014,4;903,5;902,7;3801,3;27;25,6;18,2;25,8;23,7;19,1;17,4;14,4;72;61;64;342;5,5;2,8;
2023-01-01;1600;0;902;1013,5;902,7;902;2868,5;29;25,8;18,2;26,8;25;18,6;16,9;14,4;65;57;63;317;5,9;3,3;
2023-01-01;1700;1;901,5;1014,6;902;901,5;1329,3;27;21,9;18,9;26,5;21,8;19,1;16,7;13,9;84;59;83;17;9,4;2,7;
2023-01-01;1800;0;900,3;1011,7;901,5;900,3;2701,8;27;25,7;18,1;25,9;21,9;21,1;18,1;14;83;63;63;347;6,4;3,5;
2023-01-01;1900;0;899,7;1011;900,4;899,7;2080,9;29;25,6;17,8;26,8;25,2;19,2;17,6;13,8;68;60;62;342;6,4;2,3;
2023-01-01;2000;0;899,5;1011;900;899,3;483,8;28;25,1;18,3;25,6;25;18,3;17,4;13,5;67;62;66;330;5,8;1,2;
2023-01-01;2100;0;899,8;1011,6;899,9;899,5;89,4;27;24,5;18,5;25,1;24,5;18,5;17,9;12,6;69;65;69;67;3,3;1,6;
2023-01-01;2200;0;900,6;1013,5;900,6;899,7;23,8;26;22,1;17,5;24,5;22,1;18,8;17,5;12,6;75;69;75;103;7,4;4,5;
2023-01-01;2300;10,8;901,7;1016,6;901,8;900,6;-,4;23;17,4;16,1;22,1;17,4;18;16,1;12,6;92;75;92;270;7,8;2,1;
2023-01-02;0000;1,2;901,4;1015,5;901,7;901,1;-2,8;21;19,3;17,7;19,3;17,3;17,8;16;12,6;93;91;91;60;3,5;1,9;
2023-01-02;0100;0;902,4;1016,6;902,5;901,4;-3;20;19,3;17,3;19,4;19,1;17,7;17,3;12,6;91;88;88;100;5,6;2,9;
2023-01-02;0200;0;901,9;1016,2;902,6;901,8;-3,5;20;18,9;17,1;19,3;18,9;17,3;16,8;12,6;89;86;89;57;5,6;,7;
2023-01-02;0300;0;902,2;1016,3;902,3;901,8;-3,5;20;19,5;17,7;19,5;18,9;17,8;17,1;12,6;91;89;89;108;5,4;3,3;
2023-01-02;0400;,2;901,6;1015,6;902,2;901,6;-3;20;19,7;17,8;19,7;19,3;17,8;17,5;12,5;90;89;89;96;5,3;2,3;
2023-01-02;0500;,6;901,3;1015,3;901,7;901,3;-1,9;20;19,6;17,9;19,8;19,6;17,9;17,7;12,5;90;88;90;97;4,1;2,3;
2023-01-02;0600;0;900,8;1014,8;901,3;900,8;-2,9;20;19,3;17,8;19,6;19,3;18;17,8;12,5;91;90;91;103;4,8;2,1;
2023-01-02;0700;0;900,8;1014,9;900,9;900,3;-3,5;20;19,1;17,6;19,3;19,1;17,8;17,6;12,5;91;91;91;108;5,4;3,1;
2023-01-02;0800;0;900,9;1015;901;900,7;-3,4;20;19,1;17,5;19,3;19,1;17,7;17,5;12,5;91;90;90;89;5,7;2,9;
2023-01-02;0900;,4;901,6;1015,8;901,6;900,9;1,5;20;19,1;17,2;19,2;19,1;17,5;17,2;12,4;90;89;89;126;6,8;2,4;
