Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;0;937,9;1016,9;937,9;937,6;-3,4;24;21,9;21,9;22,6;21,9;22,4;21,9;12,6;100;97;100;317;,9;,6;
2023-01-01;0200;0;938,3;1017,2;938,3;937,9;-2,5;23;22,4;20,9;22,5;21,8;22;20,9;12,6;100;91;92;94;7,9;5;
2023-01-01;0300;,2;938,1;1017,6;938,3;938;-2;23;20,4;20;22,4;20,4;20,9;20;12,6;98;91;98;77;9,1;4,6;
2023-01-01;0400;16;937,6;1017,3;938,3;937,6;-1,3;21;19,4;19,4;20,4;19,1;20,1;19,1;12,6;100;98;100;93;9,1;2,7;
2023-01-01;0500;2,2;937,2;1016,8;937,6;937,2;-1;21;19,6;19,6;19,7;19,4;19,7;19,5;12,6;100;100;100;248;4,7;1,2;
2023-01-01;0600;,2;936,8;1016,4;937,2;936,7;-,8;21;19,7;19,7;19,8;19,6;19,8;19,6;12,6;100;100;100;166;1,6;,6;
2023-01-01;0700;0;936,7;1016,3;936,8;936,6;-1,7;21;19,7;19,6;19,8;19,6;19,8;19,6;12,5;100;100;100;101;1,7;,8;
2023-01-01;0800;,2;937;1016,5;937;936,7;-1,1;21;19,9;19,9;19,9;19,7;19,9;19,6;12,5;100;100;100;203;1,4;,5;
2023-01-01;0900;0;937,1;1016,6;937,1;936,9;20,3;21;20;20;20;19,8;20;19,8;12,5;100;100;100;245;1,9;,7;
