Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;1,2;911,8;1011,6;911,8;911,3;-2,5;23;21,4;18,5;22;21,1;19;18,2;12,9;86;81;83;49;5,6;2;
2023-01-01;0100;0;912,4;1012,7;912,5;911,7;1,3;22;20,4;19,1;21,9;20,4;19,1;18,4;12,9;92;82;92;336;6,7;3,7;
2023-01-01;0200;0;912,5;1012,7;912,6;912,4;-1,1;22;20,6;18,8;20,7;20,2;19,2;18,8;12,9;93;89;89;317;6,2;3;
2023-01-01;0300;0;912,2;1012,7;912,5;912,2;-1,3;21;19,8;18,7;20,6;19,8;18,8;18,6;12,9;93;89;93;353;3,6;0;
2023-01-01;0400;0;911,7;1012,1;912,2;911,7;-1,5;21;19,8;18,5;20;19,7;18,8;18,4;12,9;93;92;92;337;3,7;1,5;
2023-01-01;0500;0;911;1011,2;911,7;911;-2,2;21;20,1;18,5;20,1;19,7;18,7;18,3;12,9;92;91;91;297;3,3;2,6;
2023-01-01;0600;0;910,7;1011,1;911;910,7;-2,2;20;19,4;18,1;20,2;19,4;18,5;18,1;12,8;92;90;92;15;3,3;0;
2023-01-01;0700;0;910,8;1011,2;910,8;910,6;-2,3;20;19,5;18,2;19,5;19,3;18,2;18;12,8;92;92;92;308;1,5;0;
2023-01-01;0800;0;911;1011,6;911,1;910,8;-2,2;20;19,2;17,9;20,1;19,2;18,6;17,8;12,8;92;90;92;112;0;0;
2023-01-01;0900;0;911,9;1012,3;911,9;911;13,9;20;19,9;18,7;20;19,2;18,7;17,9;12,8;93;92;92;223;2,7;1,6;
2023-01-01;1000;0;912,5;1012,7;912,5;911,9;334,3;21;20,6;19,4;20,6;19,9;19,4;18,7;13,5;93;92;93;182;3,2;1;
2023-01-01;1100;0;913;1012,9;913;912,5;831,7;21;21,6;18,6;21,7;20,5;19,4;18,3;13,8;93;82;83;179;5,4;3,5;
2023-01-01;1200;0;913,2;1012,9;913,2;913;1365,6;23;22,3;18,6;22,4;21,4;19,6;18,5;13,9;87;80;80;183;6;3,1;
2023-01-01;1300;0;913,1;1012,2;913,2;913;2978,5;24;23,8;18,3;24;22,3;19,3;17;13,7;82;67;72;171;9,2;4,6;
