Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;983,7;1017,7;983,7;982,8;-3,6;26;23;21,6;23,3;22,9;21,6;21,3;12,3;92;88;92;140;1,7;,4;
2023-01-01;0100;0;983,6;1017,6;983,8;983,6;-3,5;26;22,7;21,3;23,3;22,7;21,7;21,1;12,3;93;88;92;100;1,3;,8;
2023-01-01;0200;0;983,5;1017,6;983,7;983,4;-3,5;25;22,4;21,2;22,8;22,3;21,3;21,1;12,3;93;91;93;292;1,4;,4;
2023-01-01;0300;,2;982,9;1016,9;983,5;982,9;-3,1;25;22,6;20,6;23;22,4;21,3;20,5;12,3;93;86;88;4;2,5;,7;
2023-01-01;0400;0;981,9;1016;982,8;981,9;-3,5;25;21,8;20,5;22,8;21,8;20,7;20,2;12,3;92;85;92;140;2,2;,5;
2023-01-01;0500;0;981,2;1015,2;981,9;981,2;-3;24;22,3;20,4;22,3;21,7;20,7;20,3;12,2;93;89;89;225;3,9;2,4;
2023-01-01;0600;0;980,7;1014,7;981,2;980,7;-2,2;24;22;20,6;22,4;22;20,7;20,2;12,2;92;88;92;166;3,9;,5;
2023-01-01;0700;0;981;1015;981;980,7;-1,5;24;22,1;20,6;22,2;22;20,8;20,6;12,2;92;91;91;20;2,1;,8;
2023-01-01;0800;0;981,6;1015,6;981,6;981;-1,9;24;22,1;20,7;22,2;22;20,8;20,6;12,2;92;91;92;22;1,2;,5;
2023-01-01;0900;0;982,1;1016,1;982,1;981,6;55,7;24;22,2;20,6;22,3;22;21;20,5;12,2;93;90;90;16;1,8;1,3;
2023-01-01;1000;0;982,8;1016,7;982,8;982,1;515;25;23,7;21;23,7;22,2;21,1;20,5;12,9;90;85;85;66;1,8;,7;
2023-01-01;1100;0;983,2;1017;983,2;982,8;904,4;27;24,3;20,7;24,8;23,7;21,1;20,2;12,9;85;77;81;37;2,6;1,5;
2023-01-01;1200;0;983,2;1016,8;983,4;983,2;1710,4;29;26,7;21,4;26,7;24,3;21,7;20,3;13,3;81;71;73;71;2,1;,9;
2023-01-01;1300;0;983,4;1016,9;983,4;983,1;2013,6;31;27,1;21,7;27,5;25,8;22;20,3;13,2;74;68;72;99;4,6;1,4;
2023-01-01;1400;18,8;984,4;1018,7;984,8;983,4;270,3;26;20,4;18,9;27;20;21,1;18,3;12,9;93;70;91;134;7,9;1,7;
2023-01-01;1500;3,8;983,5;1017,7;984,4;983,5;469,7;24;21,3;19,8;21,3;20,4;19,8;18,4;13,2;91;85;91;174;4;1,5;
2023-01-01;1600;,6;981,8;1015,7;983,5;981,8;1142,9;25;23,1;19,7;23,1;21,3;20,2;19,1;14,2;91;80;81;188;3,5;1,1;
2023-01-01;1700;0;981,1;1014,6;981,8;981,1;2557,1;28;26,9;20,5;26,9;23,1;21,2;19,3;14,2;83;66;68;217;4,4;1,4;
2023-01-01;1800;0;980,3;1013,6;981,1;980,3;3164;31;28,6;20,4;29;26,7;21,7;18,9;14,1;69;57;61;53;4;1,4;
2023-01-01;1900;0;979,9;1013,3;980,3;979,2;2040,9;32;27,4;19,6;29,2;27,4;21,3;17,6;12,8;64;51;63;31;6,8;2,6;
2023-01-01;2000;0;980,7;1014,3;980,9;979,9;84,1;30;25,6;21,8;27,3;25,6;21,8;19,6;12,3;79;63;79;86;5,7;,5;
2023-01-01;2100;1,2;981;1014,9;981,3;980,6;7,9;28;23,3;21,9;25,6;23,3;22,4;21,7;12,3;92;79;92;152;1,7;,8;
2023-01-01;2200;2,6;981,1;1015;981,9;980,7;-,4;26;23,2;21,6;23,8;23;22,1;21,4;12,3;93;87;90;85;4,3;2;
2023-01-01;2300;12,4;983,5;1017,8;983,7;981,1;-,6;25;20,6;18,7;23,5;20,6;21,5;18,7;12,3;90;82;89;21;14,8;1,5;
2023-01-02;0000;3;983,6;1017,8;983,6;982,1;-2,4;24;21,2;19,3;21,3;20,4;19,5;18,7;12,3;92;85;89;251;14,8;,8;
2023-01-02;0100;0;983,5;1017,7;984;983,4;-1,6;23;21;19,4;21,2;20,9;19,7;19,3;12,3;92;89;91;33;2,8;,6;
2023-01-02;0200;0;983,3;1017,6;983,5;983,1;-3,5;23;20,7;19,1;21;20,5;19,4;19;12,3;92;90;91;266;3,3;1,2;
2023-01-02;0300;0;982,7;1017,1;983,3;982,7;-3,6;22;19,8;18,7;20,7;19,8;19,1;18,7;12,3;94;91;94;35;3,1;,4;
2023-01-02;0400;0;981,7;1016,1;982,7;981,7;-3,6;22;19,2;18,2;19,8;19,2;18,7;18,2;12,2;94;94;94;59;1,1;,5;
2023-01-02;0500;,2;980,7;1015,1;981,7;980,7;-3,6;21;18,9;18;19,2;18,8;18,3;18;12,2;95;94;95;351;1,2;,4;
