Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;968,2;1015,2;968,2;967,6;-2,3;24;24,6;22,3;25,3;24,6;23,7;22,3;13;92;87;87;324;5;3,2;
2023-01-01;0100;0;968,5;1015,6;968,5;968,2;-1;23;24;22,1;24,6;24;22,3;22;12,9;89;87;89;253;4,4;,8;
2023-01-01;0200;0;968,2;1015,3;968,6;968,2;-1,8;23;23,7;21,9;24,1;23,7;22,4;21,9;13;91;89;90;352;2,8;1,5;
2023-01-01;0300;0;967,5;1014,6;968,2;967,5;-2,9;22;23,3;22;23,8;23,3;22;21,8;13;92;89;92;335;2,3;,7;
2023-01-01;0400;0;966,1;1013,2;967,6;966,1;-2,1;22;23;21,8;23,3;23;22;21,7;13;93;92;93;137;1,2;,3;
2023-01-01;0500;0;965,4;1012,5;966,1;965,3;-1,4;22;23,1;21,9;23,2;22,8;22;21,6;12,9;93;93;93;323;1,3;,6;
2023-01-01;0600;0;965,7;1012,8;965,7;965,3;-1,1;22;23,3;22,1;23,3;23,1;22,1;21,9;12,9;93;93;93;295;1,7;,6;
2023-01-01;0700;0;965,6;1012,7;965,7;965,6;-2,1;22;23,2;22;23,4;23,2;22,2;22;12,9;93;93;93;246;1,3;,4;
2023-01-01;0800;0;966,1;1013,2;966,1;965,6;-1,3;22;23,2;22;23,2;23,1;22;21,9;12,9;93;93;93;323;2,2;,9;
2023-01-01;0900;0;966,8;1013,9;966,8;966,1;68,6;22;23,6;22,3;23,6;23,1;22,3;21,9;13;93;93;93;235;2,2;,3;
