Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.57555554
Longitude: -41.48555555
Altitude: 271.63
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;984,3;1015,4;984,3;983,2;-3,4;29;26,7;19,7;27,3;26,4;19,9;19,7;12,6;67;64;66;75;9,7;4,3;
2023-01-01;0100;0;984,8;1016;984,8;984,2;-3,1;28;26;19,2;26,7;25,9;19,7;19,2;12,6;67;65;67;86;8,9;3,6;
2023-01-01;0200;0;984,8;1016,1;984,9;984,7;-3,5;27;25,4;19;26;25,4;19,3;19;12,5;69;67;68;85;7,5;3,3;
2023-01-01;0300;0;984,8;1016,1;985;984,8;-3,5;26;24,9;18,2;25,5;24,9;19;18,2;12,5;69;66;66;86;9,3;3;
2023-01-01;0400;0;984,5;1016;984,8;984,5;-3,5;26;23,7;18,6;24,9;23,5;18,8;18,1;12,5;75;66;73;95;5,9;1,4;
2023-01-01;0500;0;984,1;1015,6;984,5;984,1;-2,4;25;23,5;19;23,8;23,1;19,2;18,6;12,5;78;73;76;94;3,1;,9;
2023-01-01;0600;0;983,7;1015,3;984,1;983,7;-3,3;24;21,9;19,1;23,7;21,9;19,3;18,7;12,4;84;74;84;87;2,1;0;
2023-01-01;0700;0;983,9;1015,6;983,9;983,7;-3,5;23;21,4;19,1;22,1;21,2;19,1;18,9;12,4;87;83;86;116;2,8;1,4;
2023-01-01;0800;0;984,4;1016,1;984,4;983,9;-2,5;23;21,4;19,3;21,6;21,1;19,4;18,9;12,4;89;86;88;147;2,4;,6;
2023-01-01;0900;0;984,9;1016,7;984,9;984,4;49,8;22;21;19,3;21,6;20,9;19,4;19,1;12,4;90;86;90;165;2,6;1,1;
