Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;987,7;1017,2;987,7;986,7;-2,3;27;24,5;18,8;25;24,5;19;18,7;12,6;71;69;71;101;7,4;1;
2023-01-01;0100;0;987,5;1017;987,7;987,5;-2,5;27;24,1;19,1;24,5;24;19,2;18,9;12,6;74;71;74;93;4,4;,6;
2023-01-01;0200;0;987;1016,6;987,5;987;-3,2;26;23,6;19,8;24,1;23,5;19,8;19,1;12,5;79;74;79;99;4,1;,6;
2023-01-01;0300;1,2;986,5;1016,2;987;986,5;-3,1;25;22;20,1;23,6;22;20,7;19,7;12,5;90;79;89;115;5,7;,8;
2023-01-01;0400;0;985,8;1015,5;986,5;985,8;-3,4;24;21,9;20,1;22;21,8;20,2;19,9;12,5;90;88;90;114;3,1;,4;
2023-01-01;0500;0;985,2;1014,9;985,8;985,2;-3,3;24;22;20,4;22,1;21,9;20,4;20;12,5;91;89;91;98;2,2;0;
2023-01-01;0600;0;985,1;1014,8;985,2;985,1;-2,1;24;21,9;20,5;22;21,9;20,5;20,3;12,4;91;91;91;6;1;,2;
2023-01-01;0700;,4;985,6;1015,3;985,6;985,1;-2,4;24;21,7;20,2;22,1;21,7;20,7;20,2;12,4;92;91;91;95;2,1;,1;
2023-01-01;0800;0;986,2;1015,9;986,3;985,6;30,9;24;21,8;20,4;21,9;21,7;20,4;20,2;12,4;92;91;92;108;2;,1;
2023-01-01;0900;0;986,6;1016,2;986,6;986,2;311,1;24;23;20,6;23,1;21,8;21,1;20,4;12,6;92;86;86;92;2,7;,6;
2023-01-01;1000;0;987,1;1016,6;987,1;986,6;621,2;25;24;20,5;24,3;23;21;20;13;86;79;81;88;3,2;1;
2023-01-01;1100;0;987,4;1016,8;987,4;987;1570,6;27;26;19,9;26;23,9;21,5;19,6;13,4;83;69;69;79;3,4;,6;
2023-01-01;1200;0;987,2;1016,5;987,6;987,2;1581,7;28;26,8;19,7;27;24,1;21;18,4;14,3;79;63;65;41;4,1;1,5;
2023-01-01;1300;0;986,4;1015,5;987,2;986,4;3561,6;30;28,4;19,1;28,4;26,6;20,9;18,4;14,3;69;56;57;62;5,8;2,3;
2023-01-01;1400;0;985,5;1014,4;986,4;985,5;3811,1;31;29,6;17,6;30;27,6;20,6;16,9;13,4;62;47;48;65;6,3;1,8;
2023-01-01;1500;0;985;1014;985,5;985;2772,9;33;29;16,9;30,7;28,8;19,3;16,5;13,7;54;46;48;88;5,1;1,6;
2023-01-01;1600;0;984,3;1013,1;985;984,3;2264,6;33;30,9;17,2;30,9;29;17,9;15,9;14,2;51;42;44;107;4,1;1,5;
2023-01-01;1700;0;983,8;1012,6;984,3;983,8;2830,6;34;30,4;14,5;31,3;29,6;17,1;13,8;13,4;46;37;38;50;6,4;1,9;
2023-01-01;1800;0;983,3;1012,1;983,8;983,3;2131;34;30,3;15,3;31,6;30,3;16,6;14;13,3;43;35;40;99;6,4;1,5;
2023-01-01;1900;0;983,1;1012;983,3;982,9;587,7;34;29,5;16;31;29,5;16,6;14,8;12,9;45;39;44;113;4,8;,6;
2023-01-01;2000;0;983,7;1012,7;983,7;983,1;317,3;32;28;19,3;29,5;28;19,4;15,8;12,7;59;43;59;122;6,9;1,4;
2023-01-01;2100;0;984,5;1013,7;984,5;983,7;34,2;31;27,2;19,3;28;27,2;19,6;19;12,7;62;59;62;106;5,3;1,1;
2023-01-01;2200;0;984,9;1014,2;985;984,5;-1,4;30;26,1;19,2;27,1;26,1;19,3;18,9;12,6;66;62;66;80;5,6;1,8;
2023-01-01;2300;0;985,9;1015,3;986,1;984,9;-1,9;28;25,2;19,5;26,1;25,2;19,6;19,2;12,6;71;66;71;80;7,1;1,3;
2023-01-02;0000;,6;987;1016,6;987;985,8;-3,5;27;23,4;19,7;25,2;23,4;20,3;19,5;12,6;81;71;80;87;5,3;1,7;
