Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;849,5;1020;849,5;848,9;-3,5;18;15,8;12,7;16,6;15,8;13,8;12,7;12,5;85;79;82;37;3,8;,6;
2023-01-01;0100;0;849,7;1020,4;849,7;849,4;-3,5;17;15,5;11,4;15,8;14,9;12,7;11,4;12,5;85;77;77;54;3;1,6;
2023-01-01;0200;0;849,6;1020,1;849,7;849,5;-3,5;16;15,8;11,3;15,8;14,3;11,7;11;12,4;83;75;75;4;4,3;1,5;
2023-01-01;0300;0;849,3;1020,6;849,7;849,3;-3,5;16;14,5;11,8;16,3;14,4;11,8;10,7;12,4;84;71;84;56;4,3;1,6;
2023-01-01;0400;0;848,7;1019,8;849,3;848,7;-3,1;16;14,6;12;14,8;14,4;12;11,6;12,4;84;82;84;66;2,5;,7;
2023-01-01;0500;0;848,2;1018,8;848,7;848,2;-2,8;16;15,3;12,7;15,3;14,4;12,9;12;12,4;86;84;84;85;4;1,3;
2023-01-01;0600;0;848;1019,3;848,2;847,9;-3,5;16;14,1;11,8;15,3;14,1;12,6;11,8;12,3;86;84;86;83;4;,7;
2023-01-01;0700;0;848;1019,2;848;847,9;-3,5;15;14,3;11,8;14,4;13,8;12,1;11,7;12,3;87;85;85;91;3,1;1,6;
2023-01-01;0800;0;848,3;1020,1;848,3;847,9;-3,5;15;13,5;11,1;14,3;13,5;11,8;11;12,3;86;84;86;75;2,9;1;
2023-01-01;0900;0;848,7;1020,5;848,7;848,3;44;15;13,5;11,3;13,7;13,2;11,4;11;12,3;87;86;86;74;2,7;1,7;
2023-01-01;1000;0;849,4;1018,9;849,4;848,7;583,8;16;17,4;11,9;17,4;13,5;12,4;11,3;12,3;86;70;70;70;2,8;,5;
