Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;941,6;1014,5;941,7;940,8;-3,5;26;23,6;14,9;25,3;23,5;16,3;14,7;12,4;63;52;58;321;2,3;,6;
2023-01-01;0100;0;942,2;1015,5;942,2;941,6;-3,5;25;22,1;16,3;23,8;22,1;16,3;14,3;12,4;70;56;70;301;1,9;,4;
2023-01-01;0200;0;942,2;1015,7;942,3;942,1;-3,5;24;21,4;15,5;22,2;21,2;16,4;15,4;12,4;71;68;69;290;2,2;1,5;
2023-01-01;0300;0;941,6;1015,3;942,2;941,6;-3,5;23;20,4;15,4;21,6;20,4;15,5;14,5;12,4;73;65;73;64;2,1;1,3;
2023-01-01;0400;0;941,4;1014,8;941,7;941,4;-3,5;22;21,6;15,6;21,7;20,3;15,9;15,4;12,4;74;67;69;240;2,1;,2;
2023-01-01;0500;0;941,3;1015;941,4;941,3;-3,5;22;20,5;15,3;21,7;20,5;16;15,3;12,3;74;67;72;300;1,6;,9;
2023-01-01;0600;0;941,1;1014,7;941,3;941;-3,5;22;20,7;15,6;20,9;20;15,8;15,2;12,3;77;72;72;103;1,6;,4;
2023-01-01;0700;0;941,3;1014,9;941,3;941,1;-2,9;22;20,9;16;21,1;20,6;16,2;15,5;12,3;75;70;74;58;1,7;,9;
2023-01-01;0800;0;941,7;1015,3;941,7;941,3;-3;22;20,9;16,4;21;20,6;16,4;15,9;12,3;76;73;75;83;1,7;,6;
2023-01-01;0900;0;942,4;1016,1;942,4;941,7;18,6;22;20,9;16,6;21,3;20,9;16,6;16,3;12,3;76;73;76;51;1,9;1,2;
2023-01-01;1000;0;942,9;1016,5;942,9;942,4;193,6;22;21,4;17;21,4;20,9;17;16,6;12,4;77;75;76;51;1,9;,6;
2023-01-01;1100;0;943;1016,3;943,2;942,9;534,7;23;22,4;17,2;22,4;21,3;17,3;16,6;12,7;76;71;73;56;2,3;1,3;
2023-01-01;1200;0;943,4;1016,4;943,4;943;950;24;23,7;16,3;23,7;22,4;17,3;16,3;12,9;73;63;63;58;5,3;2,7;
2023-01-01;1300;0;943,5;1016,1;943,6;943,4;1815,4;26;25,3;15,7;25,3;23,5;16,5;15,2;13,1;64;54;55;76;5,3;1,6;
2023-01-01;1400;0;943,1;1015,4;943,5;943,1;3091,4;28;26,4;15,2;27,2;25,3;16,4;14,9;13;56;48;50;160;5,7;1,2;
2023-01-01;1500;0;942,2;1014;943,1;942,2;3620,5;30;28,2;15,2;28,4;26,4;16,5;14,9;13,1;52;44;45;27;4,8;1,7;
2023-01-01;1600;0;941,2;1012,6;942,2;941,2;2919,5;31;29,5;15;29,9;27,5;16,2;14,1;13;49;41;41;58;5,1;2,1;
2023-01-01;1700;0;940,2;1011,3;941,2;940,2;3273,2;33;30,4;14,3;31,2;28,7;15,9;13,3;13,1;44;35;38;48;5,6;2,2;
2023-01-01;1800;0;939,4;1010,4;940,2;939,4;2887,3;34;30,7;14,7;31,4;29,2;15;12,9;12,9;40;34;38;62;6,2;1,4;
