Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;982,9;1015,7;982,9;982,5;-3,5;26;22,9;19,6;23,1;22,5;20;19;12,9;84;79;81;220;3,2;,5;
2023-01-01;0100;0;983,5;1016,4;983,5;982,9;-3,5;25;22,1;19,8;22,9;22,1;20,1;19,5;12,9;88;81;87;38;2,8;,3;
2023-01-01;0200;0;983,1;1016;983,6;983,1;-3,3;25;22,1;20;22,3;22,1;20,1;19,8;12,9;88;86;88;9;1,5;,1;
2023-01-01;0300;0;982,7;1015,6;983,1;982,7;-3,2;24;22,1;20;22,2;22;20,3;19,9;12,9;90;87;88;182;1;0;
2023-01-01;0400;0;981,7;1014,6;982,7;981,7;-3,1;24;21,9;20,3;22,1;21,8;20,5;20;12,8;91;88;91;7;1,2;,3;
2023-01-01;0500;0;980,6;1013,5;981,7;980,6;-3;24;21,6;19,9;22;21,6;20,3;19,9;12,8;91;89;90;46;1,7;,3;
2023-01-01;0600;0;980,2;1013,1;980,6;980,2;-3,4;23;21,6;19,9;21,7;21,4;20,1;19,8;12,8;91;89;90;27;2,6;,1;
2023-01-01;0700;0;980,5;1013,4;980,5;980,2;-3,2;23;21,7;20,3;21,7;21,6;20,3;20;12,8;92;90;92;163;1,2;0;
2023-01-01;0800;0;981,3;1014,2;981,3;980,4;-2,6;23;21,4;20,4;21,8;21,4;20,5;20,2;12,8;94;91;94;173;1,3;0;
2023-01-01;0900;0;982;1014,9;982;981,3;31,9;23;21,4;20,3;21,6;21,4;20,5;20,1;12,8;94;92;93;49;2,1;,2;
2023-01-01;1000;0;982,5;1015,3;982,5;982;394,5;23;22,7;20,8;22,7;21,4;21,1;20,3;13,4;94;89;89;283;1,4;,4;
2023-01-01;1100;0;982,7;1015,3;982,7;982,4;999,9;24;24,5;21,2;24,5;22,7;21,4;20,5;13,9;89;82;82;217;2,4;1,1;
2023-01-01;1200;0;983;1015,4;983,1;982,7;1921,1;26;26,3;20,1;26,3;24,4;21,7;19,7;13,6;83;67;69;239;3;,7;
2023-01-01;1300;0;982,7;1015;983;982,6;2228,8;28;27,6;20,1;28,9;26,4;21,5;19;13,6;71;59;64;66;4,2;,4;
2023-01-01;1400;0;982,1;1014,3;982,7;982,1;2408,7;29;27,9;20,9;29,1;27;22;19,5;13,6;69;59;66;253;5,2;2,1;
2023-01-01;1500;0;981,9;1014,4;982,1;981,8;1137,3;29;25,3;20,4;28,1;25,3;21,7;19,9;13,6;75;62;74;38;6,6;2,5;
2023-01-01;1600;0;981,9;1014,8;982;981,6;257,6;27;21,7;19,7;25,3;21,6;20,5;19,2;13,4;89;74;89;128;6,9;1;
2023-01-01;1700;4,8;981,6;1014,6;981,9;981,6;259,4;25;20,7;19,5;21,8;20,7;20,4;19,4;13,2;93;86;93;290;3,5;,5;
2023-01-01;1800;6,2;981,2;1014,1;981,6;981;399,5;24;21,7;21;21,7;20,7;21;19,5;13,9;96;93;96;30;2,8;,6;
2023-01-01;1900;0;980,4;1013,1;981,2;980,4;742,9;24;22,8;21,3;22,8;21,6;21,7;21;13,9;96;91;91;34;4;1,4;
2023-01-01;2000;0;981;1013,8;981;980,2;681,1;25;22,7;20,4;23,6;22,7;21,8;20,4;13,2;91;84;87;33;6,2;1,4;
2023-01-01;2100;0;981,8;1014,6;981,8;980,9;68,9;24;22,4;19,4;22,7;22,3;20,4;19;12,9;88;80;83;38;6,4;2,3;
2023-01-01;2200;1;982,2;1015,2;982,2;981,7;-,7;24;20,8;19,3;22,6;20,8;19,3;18,7;12,9;91;80;91;32;6,7;1,5;
2023-01-01;2300;3,2;983,6;1016,7;983,6;982,2;-2,2;23;20,6;19,4;20,8;20,2;19,6;19,2;12,9;94;91;93;212;4,3;1,7;
2023-01-02;0000;2,2;983,7;1016,8;984,4;983,6;-2,1;22;20,1;19,4;20,7;20,1;19,5;19,3;12,9;96;93;96;37;2,9;,9;
2023-01-02;0100;,8;981,9;1014,9;983,7;981,9;-2,7;22;20,6;18,8;20,6;20;19,5;18,8;12,9;96;89;89;34;8,6;3,5;
2023-01-02;0200;0;981,6;1014,6;981,9;981,6;-2,2;22;20,9;18,8;21,1;20,5;18,9;18,6;12,8;90;85;88;43;9,3;1,5;
2023-01-02;0300;0;981,8;1014,8;981,9;981,5;-2,6;22;20,5;19;21,2;20,5;19;18,5;12,8;91;85;91;246;4,3;,7;
2023-01-02;0400;0;981,2;1014,3;981,8;981,2;-3,5;22;20;18,9;20,5;20;19,1;18,8;12,8;94;91;94;11;2;,3;
2023-01-02;0500;0;980,1;1013,2;981,2;980,1;-3,5;21;19,7;18,7;20;19,6;19;18,7;12,8;95;94;94;240;1,7;0;
2023-01-02;0600;0;980;1013,1;980,2;979,9;-3,4;21;19,6;18,9;19,6;19,3;18,9;18,5;12,8;96;94;96;196;1,7;,8;
2023-01-02;0700;0;980,5;1013,6;980,5;980;-3,1;21;19,3;18,7;19,6;19,2;18,9;18,6;12,7;96;96;96;6;1,7;0;
2023-01-02;0800;0;981,5;1014,6;981,5;980,5;-2,1;21;19,6;19;19,6;19,3;19;18,7;12,7;96;96;96;353;,4;0;
2023-01-02;0900;0;982;1015,1;982;981,5;76,5;21;19,8;19,2;19,8;19,6;19,2;19;12,8;96;96;96;26;0;0;
2023-01-02;1000;0;982,5;1015,5;982,5;982;269,2;21;21,1;20;21,1;19,8;20,3;19,2;13,4;96;94;94;289;,7;0;
2023-01-02;1100;0;982,4;1015,2;982,6;982,3;930,4;22;22,3;19,1;22,4;21,1;20;19;13,9;94;82;82;214;1,4;,3;
2023-01-02;1200;0;982,5;1015,2;982,7;982,2;1197,4;24;23,2;19;23,5;22,3;20,3;19;13,8;86;77;77;220;2,4;1,1;
2023-01-02;1300;0;982,4;1014,9;982,6;982,3;1496,8;25;25,1;18,9;25,3;23,2;20,9;18,9;13,8;82;69;69;171;2,8;,6;
2023-01-02;1400;,2;981,6;1014;982,5;981,6;2920;27;26,3;19,4;27,4;25;21,1;18,5;13,5;73;61;66;229;4;1,4;
2023-01-02;1500;0;980,6;1012,7;981,6;980,6;3163,4;28;28,4;20,4;28,9;26,2;22,2;19,1;13,6;71;58;62;20;3,3;,5;
2023-01-02;1600;0;979,4;1011,5;980,6;979,4;2815;29;28;20,1;28,6;27;21,3;18,7;13,6;68;57;62;215;4;1,5;
2023-01-02;1700;0;978,2;1010,2;979,4;978,2;3053,9;30;29,1;20,3;30,1;28;21,5;19,1;13,6;65;54;59;112;3,6;,8;
2023-01-02;1800;0;977,3;1009,3;978,2;977,3;1384,2;31;28;20,8;30,1;27,7;21,1;19,2;13,6;65;53;65;83;4,2;,3;
2023-01-02;1900;,2;976,9;1009,4;977,4;976,9;512,6;29;23,4;20,5;28,1;23,1;20,7;18,4;13,8;84;63;84;90;6;,3;
2023-01-02;2000;,2;977,3;1009,7;977,3;976,4;654;28;24,4;20,4;25,1;23,4;21,5;19,9;13,1;85;73;79;67;5,2;,4;
2023-01-02;2100;13,6;978,6;1011,5;978,6;977,3;8,5;26;20,5;19,6;24,4;20,4;21,1;19,3;12,9;95;79;95;177;8,4;1,1;
2023-01-02;2200;2,8;978,4;1011,4;978,6;978,4;,8;24;20,2;19,5;20,5;20,2;19,8;19,3;12,9;96;94;95;203;3,1;,3;
2023-01-02;2300;,4;979,4;1012,4;979,4;978,4;-2,4;23;20,3;19,6;20,4;20,1;19,6;19,3;12,9;96;95;96;220;2,9;2;
2023-01-03;0000;0;979,6;1012,6;979,7;979,4;-2,5;22;20,2;19,5;20,4;20;19,7;19,4;12,9;96;96;96;189;2,7;,6;
2023-01-03;0100;0;980;1013;980;979,6;-3,4;22;20;19,3;20,2;19,9;19,5;19,3;12,9;96;96;96;359;1,4;,1;
2023-01-03;0200;0;979,9;1012,9;980,2;979,9;-3,5;22;19,9;19,3;20,1;19,8;19,4;19,2;12,8;96;96;96;351;1;0;
2023-01-03;0300;0;979,4;1012,4;979,9;979,4;-3,1;22;19,8;19,2;20;19,7;19,4;19,1;12,8;96;96;96;161;1,4;0;
2023-01-03;0400;0;979,1;1012,1;979,4;979,1;-3;22;19,7;19,1;19,8;19,7;19,2;19;12,8;96;96;96;320;1,1;0;
2023-01-03;0500;0;978,3;1011,3;979,1;978,3;-2,5;21;19,7;19,1;19,8;19,6;19,2;19;12,8;96;96;96;26;,8;,1;
2023-01-03;0600;0;977,8;1010,8;978,4;977,8;-2,1;21;19,5;18,9;19,7;19,5;19,1;18,9;12,8;96;96;96;42;,8;,1;
2023-01-03;0700;0;977,6;1010,6;977,8;977,5;-2,1;21;19,5;18,9;19,6;19,4;19;18,8;12,7;96;96;96;133;,6;0;
