Nome: NOVA FRIBURGO - SALINAS
Codigo Estacao: A624
Latitude: -22.33472221
Longitude: -42.67694443
Altitude: 1070
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;,2;900;1020,5;900,1;899,7;-3,1;19;18,3;16,5;18,4;17,5;16,6;14,8;12,3;90;82;89;61;5,4;1,4;
2023-01-01;0100;,2;900,2;1021,4;900,4;900;-3,3;19;16,9;14,2;18,7;16,9;16,9;14,2;12,3;90;84;84;357;3,4;1,8;
2023-01-01;0200;0;899,7;1020,7;900,2;899,6;-2,5;18;17,1;15,3;17,2;16,3;15,5;13,7;12,3;90;82;89;10;4,4;1,4;
2023-01-01;0300;0;899;1019,8;899,7;899;-2,2;18;17,3;15,8;17,3;16,5;15,8;14,7;12,2;91;89;91;26;3,2;1,3;
2023-01-01;0400;0;898,4;1018,8;899;898,4;-2,8;18;18;15,9;18,6;17,3;16,8;15,8;12,2;91;86;88;52;5,6;,8;
2023-01-01;0500;0;897,8;1018,1;898,4;897,8;-2,5;19;18;16;18,3;17,8;16,3;15,7;12,2;89;87;88;35;3;1;
2023-01-01;0600;0;897,5;1018,1;897,8;897,5;-3,4;18;17,3;15,3;18,2;17,3;16,2;15,3;12,2;89;87;88;38;3,3;1,3;
2023-01-01;0700;0;897,6;1018,6;897,6;897,4;-3,5;18;16,4;15;17,3;16,3;15,5;14,9;12,2;92;88;92;2;2;,9;
2023-01-01;0800;0;898,1;1019,4;898,1;897,5;-3,1;17;16;14,8;16,4;15,9;15,3;14,8;12,2;93;92;93;5;2;,9;
2023-01-01;0900;0;898,9;1020,1;898,9;898,1;98,3;17;16,4;15,3;16,7;15,6;15,6;14,4;12,3;93;93;93;27;2,3;,8;
2023-01-01;1000;0;899,3;1018,9;899,3;898,9;969,1;18;20,1;17,1;20,1;16,3;17,1;15,2;12,7;93;83;83;79;3,8;2;
