Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;934,6;1014,4;934,6;933,8;-2,7;23;21,5;19,6;22,1;21,4;20,2;19,6;12,6;91;88;89;194;4;1,7;
2023-01-01;0100;null;936,3;1016,4;936,3;934,6;-,9;23;20,9;19,2;21,5;20,9;19,6;19,2;12,6;91;88;90;100;8,1;3,7;
2023-01-01;0200;null;935,7;1016,1;937,1;935,7;0;22;19,7;17,8;21,1;18,9;19,5;17,3;12,6;92;88;88;249;11,5;1;
2023-01-01;0300;null;935,6;1016;935,8;935,6;-2,5;21;19,6;18,1;20;19,6;18,3;17,6;12,6;91;88;91;240;3,7;2,4;
2023-01-01;0400;null;934,1;1014,3;935,6;934,1;-2,1;21;19,9;18,6;19,9;19,5;18,6;18;12,6;92;91;92;243;3,8;1,7;
2023-01-01;0500;null;933,1;1013,2;934,1;933,1;-1,9;21;19,9;18,7;20;19,6;18,7;18,3;12,6;93;92;93;265;2,5;,9;
2023-01-01;0600;null;932,8;1013,1;933,2;932,7;-1,7;21;19,4;18,2;19,9;19,2;18,7;17,9;12,5;93;92;93;237;3,4;,6;
2023-01-01;0700;null;932,8;1013,1;932,8;932,6;-2,4;21;19,1;18,4;19,4;19;18,4;17,8;12,5;96;93;96;152;2,9;1,1;
2023-01-01;0800;null;933,5;1013,8;933,5;932,8;-1,9;21;19,6;19,4;19,6;19,1;19,4;18,4;12,5;99;96;99;332;2,3;1,1;
2023-01-01;0900;null;934,1;1014,2;934,1;933,5;15,8;21;20,2;19,9;20,2;19,6;19,9;19,5;12,6;99;98;98;316;2,6;1,3;
2023-01-01;1000;null;934,7;1014,8;934,7;934,1;90,4;21;20,5;19,3;20,5;20,2;19,9;19,2;13,2;98;93;93;137;2,3;,3;
2023-01-01;1100;null;935,1;1015;935,1;934,7;452,9;22;21,2;19,4;21,2;20,4;19,5;19,2;14,2;93;90;90;237;1,5;,6;
2023-01-01;1200;null;935,8;1015,6;935,8;935,1;569,6;23;21,8;19,5;21,8;21,2;19,7;19,4;14,4;90;86;87;166;2,6;1,1;
2023-01-01;1300;null;935,7;1015,3;935,8;935,7;658,2;24;22,6;19,6;22,6;21,8;20;19,2;14,4;87;83;83;69;3,2;1,9;
2023-01-01;1400;null;935,3;1014,5;935,7;935,3;1341,9;26;23,9;20,1;23,9;22,5;20,1;19,3;14,4;83;79;79;35;5,5;3,2;
2023-01-01;1500;null;934,8;1013,6;935,3;934,8;1714,2;27;25,2;20,1;25,2;23,7;20,4;19;14,4;79;72;73;63;5,6;2,3;
2023-01-01;1600;null;934,1;1012,7;934,8;934,1;2603,5;30;25,8;19,4;26,6;24,8;20,6;18,9;14,4;75;66;68;54;4,6;2,3;
2023-01-01;1700;null;933,1;1011,1;934,1;933,1;2569;32;27,6;18,4;28,5;25,8;21,3;18,4;14,3;72;57;57;26;4,5;2;
2023-01-01;1800;null;931,9;1009,5;933,1;931,9;2779,7;33;28,8;17,9;29,3;27;20,1;17,4;14,3;62;51;52;67;5,2;2,8;
2023-01-01;1900;null;931;1008,5;931,9;931;2643,8;34;28,8;18,1;29,3;28,5;19,3;17,4;14,3;57;50;52;19;6,3;2,6;
2023-01-01;2000;null;930,8;1008,6;931;930,6;1554,5;34;27,5;19,3;29,4;27,3;19,9;17,9;14,3;62;51;61;118;5,7;2,6;
2023-01-01;2100;null;931;1009,1;931;930,8;485,4;31;26,7;17,1;27,6;25,1;20,2;16,8;13,4;66;55;56;20;8,5;2,3;
2023-01-01;2200;null;931,7;1010,2;931,7;930,9;76,5;30;25,3;19,3;27;25,1;19,5;17,2;12,8;71;56;69;123;3,6;1,3;
2023-01-01;2300;null;932,3;1011,3;932,4;931,7;-3,6;27;23,9;19,6;25,3;23,9;19,8;19,3;12,6;77;69;77;109;2,7;1,1;
2023-01-02;0000;null;933,1;1012,3;933,2;932,3;-3,6;26;23,3;19,7;24,1;23,1;19,8;19,3;12,6;81;75;80;203;2,4;,9;
2023-01-02;0100;null;933,7;1012,9;933,7;933;-3,6;25;23,3;19,2;23,8;23,2;19,7;18,5;12,6;80;73;78;239;3,3;1,8;
2023-01-02;0200;null;934,1;1013,4;934,2;933,7;-2;25;23,2;19,1;23,9;22,8;19,4;18,8;12,6;80;73;78;145;5;2,5;
2023-01-02;0300;null;933,5;1012,9;934,1;933,5;-3,3;24;22,7;19,1;23,4;22,6;19,2;19;12,6;81;77;80;3;5,1;1,3;
2023-01-02;0400;null;932,6;1011,9;933,4;932,6;-3,6;24;22,9;18,8;23,4;22,7;19,2;18,7;12,6;80;76;78;30;4,5;2,2;
2023-01-02;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-02;0600;null;932;1011,7;932,1;931,8;-3,6;23;21,1;18,7;22,1;21,1;19,2;18,7;12,6;87;81;86;239;2,8;1,3;
2023-01-02;0700;null;932,3;1012,1;932,3;932;-3,6;22;20,9;18,5;21,4;20,9;19;18,5;12,5;87;85;87;225;2;1,1;
2023-01-02;0800;null;932,4;1012,3;932,4;932,2;-3,2;22;20,7;18,4;21,5;20,7;18,9;18,4;12,5;87;85;87;228;2,6;1,8;
2023-01-02;0900;null;932,9;1012,7;932,9;932,4;6,7;22;21,1;18,8;21,3;20,7;18,9;18,5;12,5;87;85;87;165;2,6;1;
2023-01-02;1000;null;933,7;1013,3;933,7;932,9;220;23;21,9;19,1;21,9;21,1;19,1;18,8;13,4;87;84;84;182;2,8;,8;
2023-01-02;1100;null;933,6;1012,6;934;933,6;1102,8;25;24;18,8;24,3;21,8;19,9;18,7;14,4;85;72;73;47;6,5;4,2;
2023-01-02;1200;null;933,8;1012,4;933,9;933,6;2219,8;27;25,5;18;25,6;24;19,5;18;14,4;74;63;64;34;7,2;4,8;
2023-01-02;1300;null;934,1;1012,4;934,1;933,8;3032,1;29;26,8;18,4;27,6;25,3;19,5;18;14,3;65;58;60;31;8,6;4,9;
2023-01-02;1400;null;933,9;1012;934,1;933,9;2287,2;30;27,4;18;27,7;26;19,1;17,4;14,3;62;56;57;37;8,6;4,7;
2023-01-02;1500;null;933;1010,8;933,9;933;2874,1;32;28,3;17,6;28,8;27,2;18,9;16,7;14,3;57;52;52;39;8,6;4,9;
2023-01-02;1600;null;931,9;1009,4;933;931,9;3048,6;33;29;17,9;29,3;27,7;18,6;17;14,3;56;49;51;33;8,5;3,5;
2023-01-02;1700;null;930,6;1008,1;931,9;930,6;2467,9;33;28,6;16,1;29,8;28,3;18,2;16,1;14,3;52;46;47;17;7,8;4,7;
2023-01-02;1800;null;929,8;1006,9;930,6;929,7;2855,6;33;30;15,7;30,1;28,5;17,4;15,5;14,3;50;41;42;22;8,1;4;
2023-01-02;1900;null;928,6;1005,8;929,8;928,6;2283,5;34;29,2;15;30,9;29,2;17,6;14,5;14,3;47;39;42;49;7,4;3,2;
2023-01-02;2000;null;928,2;1005,5;928,6;928,2;796;33;28,9;16,3;29,5;28,9;16,4;14,6;14,3;47;41;46;38;6,3;3,8;
2023-01-02;2100;null;928,5;1005,9;928,5;928,1;532,1;32;28,5;17,2;29;28,4;17,4;16;14,3;51;46;51;57;5,7;3,1;
2023-01-02;2200;null;929,5;1007,4;929,6;928,5;80,8;30;26,8;18;28,5;26,8;18;17,2;12,8;59;51;59;122;5,2;,8;
2023-01-02;2300;null;929,9;1008,2;929,9;929,4;-3,6;28;25,4;18,7;26,8;25,3;18,9;17,9;12,6;67;58;66;222;2,2;,8;
2023-01-03;0000;null;931,2;1009,9;931,2;929,9;-3,6;27;24,6;18,5;25,6;24,6;18,9;18,1;12,6;69;64;69;237;2,6;2;
2023-01-03;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-03;0200;null;931,5;1010,2;931,6;931,4;-3,3;26;24,5;18,9;25,1;24,5;18,9;18,4;12,6;71;67;71;194;1,9;1,2;
2023-01-03;0300;null;931,1;1009,9;931,5;931,1;-3,6;25;24;18,5;24,5;24;19;18,5;12,6;73;71;71;163;3,1;1,7;
2023-01-03;0400;null;931;1010,6;931,1;930,8;-1;25;21,3;19,5;24;21,3;19,5;18,5;12,6;89;71;89;249;8,3;4,8;
2023-01-03;0500;null;931,4;1011,5;931,6;930,9;,9;23;19,5;19,3;21,5;19,5;20;18,7;12,6;99;89;99;287;12,1;4,2;
2023-01-03;0600;null;931,9;1012,1;931,9;931,2;-,2;21;19,2;18,9;19,7;18,9;19,5;18,7;12,6;99;98;98;158;7,6;1,1;
2023-01-03;0700;null;931,7;1012;932,2;931,7;-,6;21;19;18,7;19,2;18,8;18,9;18,6;12,5;99;98;98;236;2,8;1,5;
2023-01-03;0800;null;931,2;1011,2;931,7;930,7;-1,4;21;19,7;19,4;19,8;18,9;19,4;18,6;12,5;98;98;98;238;5,7;1,6;
2023-01-03;0900;null;931,5;1011,5;931,5;931,2;,5;21;19,8;19,5;19,8;19,4;19,5;19,1;12,4;98;98;98;225;4;2,2;
2023-01-03;1000;null;932,3;1012,4;932,3;931,5;77,2;21;19,7;19,5;20,1;19,3;19,8;19;13,1;98;98;98;118;4;1,7;
2023-01-03;1100;null;933,3;1013,3;933,4;932,3;341,9;21;20,4;20,1;20,4;19,7;20,2;19,4;14,4;99;98;98;40;6,3;3,6;
2023-01-03;1200;null;933,5;1013,1;933,5;933,3;1063,5;23;21,9;21,7;21,9;20,4;21,7;20,1;14,4;99;98;99;77;5,5;2,4;
2023-01-03;1300;null;934,4;1014,1;934,4;933,5;705,8;24;21,7;19,3;22,4;21,6;22;19,2;14,4;99;86;86;153;4,5;,9;
2023-01-03;1400;null;934,3;1013,5;934,5;934,3;1442,3;26;23,5;19,6;23,5;21,7;20,2;18,9;14,4;88;77;79;113;3,8;1,7;
2023-01-03;1500;null;933,7;1012,9;934,3;933,7;1435,1;28;23,4;19,6;24,4;23,3;20,3;18,8;14,4;79;73;79;89;3,8;1,8;
2023-01-03;1600;null;932,8;1011,8;933,7;932,8;1458,9;28;23,8;19,5;24,5;23,2;20,5;19;14,4;80;75;77;39;5,9;3,2;
2023-01-03;1700;null;931,4;1009,9;932,8;931,4;2753;29;25,2;19,7;26,5;23,5;20,6;18,9;14,4;78;66;72;43;5,8;2,6;
2023-01-03;1800;null;930,4;1008,4;931,4;930,4;2637,1;31;26,9;20,5;26,9;24,9;21,5;18,8;14,3;76;64;68;92;5,3;2,4;
2023-01-03;1900;null;930;1008,2;930,4;930;1293,2;31;26,1;20;26,9;25,7;20,5;18,6;14,3;72;64;69;81;5,6;3,2;
2023-01-03;2000;null;930,1;1008,7;930,2;929,9;516,5;29;24,5;19,9;26,1;24,5;20,2;19,2;13,3;76;68;75;323;5,8;2,7;
2023-01-03;2100;null;930,6;1009,8;930,6;929,9;39,7;26;22,6;21,1;24,5;21,8;21,1;19,6;12,8;92;74;91;271;5,4;2;
2023-01-03;2200;null;931,6;1011,2;931,6;930,6;5,4;24;21,4;19,8;22,6;21,4;21;19,8;12,6;91;86;90;233;4,4;1,8;
2023-01-03;2300;null;932,1;1011,8;932,1;931,6;-3,3;23;21,1;19,2;21,4;21;19,7;19,1;12,6;91;89;89;237;3,6;1,9;
2023-01-04;0000;null;932,5;1012,4;932,5;932,1;-3,3;23;20,6;19,2;21,1;20,6;19,4;19;12,6;92;88;92;149;3;1;
2023-01-04;0100;null;933,2;1013,1;933,2;932,5;-3,1;22;20,9;19,4;21;20,6;19,5;19,2;12,6;92;90;91;243;1,6;,7;
2023-01-04;0200;null;933,2;1013,1;933,3;933,1;-2,7;22;20,7;19,4;21;20,6;19,7;19,2;12,6;92;91;92;359;1,6;,4;
2023-01-04;0300;null;932,4;1012,3;933,2;932,4;-2,5;22;20,4;19,1;20,8;20,3;19,5;19;12,6;93;92;92;194;1,4;,6;
2023-01-04;0400;null;931,9;1011,7;932,4;931,9;-2,8;22;20,8;19,6;20,8;20,4;19,6;19,1;12,6;93;92;93;31;1,6;1,2;
2023-01-04;0500;null;931,4;1011,1;931,9;931,4;-2,7;22;20,9;19,7;20,9;20,4;19,7;19,2;12,6;93;92;93;36;2;1,2;
2023-01-04;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-04;0700;null;931,4;1011,1;931,4;931,3;-,1;22;21,1;20,9;21,1;21;20,9;20,7;12,5;99;98;98;357;3,8;1,4;
2023-01-04;0800;null;931,4;1011;931,4;931,3;-,4;22;21,3;21;21,3;21,1;21;20,8;12,4;98;98;98;40;3,5;1,9;
2023-01-04;0900;null;932,1;1011,8;932,1;931,4;7,2;22;21,3;21;21,3;21,2;21,1;21;12,5;99;98;99;349;2,8;,7;
2023-01-04;1000;null;932,7;1012,3;932,7;932,1;130,8;23;21,8;21,6;21,8;21,3;21,6;21;13,2;99;99;99;349;2,2;1,4;
2023-01-04;1100;null;933,2;1012,6;933,2;932,7;431,2;23;22,4;19,6;22,5;21,8;21,6;19,5;14,4;99;84;84;7;3,9;2,3;
2023-01-04;1200;null;933,8;1012,9;933,8;933,2;986,4;25;23,8;19,4;23,8;22,4;19,8;19,2;14,4;85;76;76;356;4,5;2,8;
2023-01-04;1300;null;933,8;1012,4;933,9;933,8;1570,6;27;25,5;20,5;25,5;23,8;20,6;19,2;14,4;77;73;74;27;5;2,8;
2023-01-04;1400;null;933,5;1012,2;933,8;933,5;1253,5;28;25,2;19,6;25,5;24,9;20,1;19,4;14,4;74;71;71;358;5,8;3,5;
2023-01-04;1500;null;932,6;1011;933,6;932,6;1526,1;29;25,9;19,8;26,4;25,2;20,4;19,5;14,4;73;67;69;27;6,6;3,2;
2023-01-04;1600;null;931,6;1009,5;932,6;931,6;2410,8;30;27,4;19,3;28,2;25,7;20,7;18,6;14,3;70;58;61;22;6,9;3,7;
2023-01-04;1700;null;930,5;1008,5;931,6;930,5;1667,1;31;26,9;20,7;28,1;26,6;21;18,8;14,3;71;60;69;57;6,9;3,2;
