Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.99666666
Longitude: -46.98583333
Altitude: 978.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;15,4;908,6;1018,9;908,6;907,8;-,7;22;19;18,5;19,9;18,9;19,3;18,4;12,4;97;96;97;199;5;,3;
2023-01-01;0100;13;908,4;1018,9;908,8;908,4;-1,8;21;18,6;18,3;19;18,6;18,5;18,2;12,4;98;97;98;44;2,4;,5;
2023-01-01;0200;,4;907,9;1018,4;908,4;907,8;-2,8;20;18,4;18,1;18,7;18,3;18,4;18;12,3;98;98;98;223;1,3;0;
2023-01-01;0300;0;907,5;1018,1;907,9;907,5;-2,5;20;18,1;18;18,4;17,8;18,2;17,6;12,3;99;98;99;148;,8;0;
2023-01-01;0400;0;907;1017,5;907,5;907;-1,5;20;18,1;18;18,3;17,7;18,2;17,5;12,3;99;99;99;23;1,9;,8;
2023-01-01;0500;0;906,1;1016,7;907;906,1;-1,9;19;17,7;17,6;18,4;17,6;18,2;17,5;12,3;99;99;99;76;1,7;0;
2023-01-01;0600;0;905,5;1016,1;906,1;905,5;-3;19;17,4;17,3;17,8;17,1;17,7;17;12,2;100;99;100;143;1,1;0;
2023-01-01;0700;0;905,3;1016;905,5;905,3;-3,2;18;17;16,9;17,4;16,9;17,3;16,8;12,2;100;100;100;165;1,7;,3;
2023-01-01;0800;0;906;1016,8;906;905,2;-2,9;18;17;16,9;17,4;16,9;17,4;16,8;12,1;100;100;100;122;1,6;,2;
2023-01-01;0900;,4;906,6;1017,3;906,6;906;16,1;18;17,6;17,5;17,9;17;17,9;17;12,1;100;100;100;65;1;,1;
2023-01-01;1000;0;907,4;1017,5;907,4;906,6;251,2;19;19,2;19,2;19,2;17,6;19,2;17,7;12,8;100;100;100;89;,8;0;
2023-01-01;1100;0;907,7;1017,1;907,7;907,4;933,3;21;21,2;21;21,2;19,2;21;19,2;13,3;100;99;99;110;1,1;,1;
2023-01-01;1200;0;907,9;1016,3;907,9;907,7;1778,3;23;23,7;19,8;24;21,2;21,3;19,1;14;99;76;79;46;3,3;1,2;
2023-01-01;1300;0;907,9;1015,9;908;907,8;2669,6;25;24,7;19,3;25,4;23,8;20,6;18,2;14,2;79;68;72;37;6,3;3,1;
2023-01-01;1400;0;907,6;1015,6;907,9;907,6;1643,4;26;24,7;19,1;25,5;24,3;20,4;18,8;14,2;75;70;71;33;7;3,6;
2023-01-01;1500;0;907,2;1015,3;907,6;907,1;989,4;26;24,3;19,2;24,9;23,8;19,5;18,5;14,2;75;69;73;36;7,6;2,7;
2023-01-01;1600;0;906,6;1014,2;907,1;906,6;1302,6;26;25,4;19,1;25,5;24;19,8;18,7;14,2;76;68;68;1;6;2,9;
2023-01-01;1700;0;905,5;1012,7;906,6;905,5;2038,7;27;26;18,8;26,9;24,9;19,7;18,1;14,2;72;61;65;339;6,5;3,2;
2023-01-01;1800;0;904,7;1012;905,5;904,7;2781,6;29;25,7;18,7;27,5;25,7;19,7;17,9;14,2;67;58;65;2;7,8;2,8;
2023-01-01;1900;0;903,9;1010,3;904,7;903,8;2725,2;29;27,8;19,1;28;25,7;19,6;17,8;14,2;66;55;59;356;6,8;2,7;
