Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;956,9;1013,9;956,9;956,2;-3,6;28;26;20,3;26,8;25,8;20,8;20,1;12,7;72;68;71;148;2,4;1,3;
2023-01-01;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0200;0;957,5;1015;957,6;957,3;-3,6;27;23,9;19,8;25;23,9;20;19,4;12,7;78;71;78;282;1,8;,6;
2023-01-01;0300;0;957,4;1014,8;957,5;957,3;-3,6;26;24,2;19,6;24,2;23,8;19,9;19,6;12,7;78;76;76;219;4,3;2,1;
2023-01-01;0400;0;956,8;1014,2;957,4;956,8;-3,6;26;24;19,5;24,3;24;19,6;19,4;12,6;76;74;76;195;4,3;1,6;
2023-01-01;0500;0;956,5;1014;956,8;956,5;-3,6;25;23,4;19,8;24;23,4;19,9;19,5;12,6;80;76;80;276;2,9;,7;
2023-01-01;0600;0;956,3;1014;956,5;956,1;-3,6;24;22,5;19,7;23,4;22,3;19,9;19,6;12,6;85;80;84;241;2,1;,6;
2023-01-01;0700;0;956,5;1014,3;956,5;956,2;-3,6;24;22,2;19,6;22,5;22;19,8;19,4;12,6;85;84;85;243;2,4;1,4;
2023-01-01;0800;0;957;1014,8;957;956,5;-3,6;23;22;19,4;22,2;22;19,6;19,3;12,5;86;84;86;287;2,4;,7;
2023-01-01;0900;0;957,6;1015,6;957,6;957;15,9;23;21,4;19,7;22,1;21,1;19,7;19,2;12,5;90;85;90;327;1,9;,4;
2023-01-01;1000;0;957,6;1015,4;957,7;957,6;258,8;23;22,5;19,7;22,6;21,4;19,9;19,5;13,3;90;83;84;45;1,8;,7;
2023-01-01;1100;0;958,4;1015,9;958,4;957,6;510,3;24;24;19,1;24,1;22,5;19,9;19;14;85;74;74;64;1,8;,6;
2023-01-01;1200;0;958,9;1016,1;958,9;958,4;1516,5;27;25,9;18,6;26;24;19,4;18,1;14,4;75;63;64;59;4;1,3;
2023-01-01;1300;0;958,8;1015,6;959,1;958,8;2945;30;27,8;18,5;28;25,9;18,9;17,5;14,4;64;56;57;50;5,1;,9;
2023-01-01;1400;0;958,3;1015,1;958,8;958,3;3488,8;33;27,8;17,5;29,2;27,5;18,5;17,1;14,4;57;49;53;149;4,4;1,8;
2023-01-01;1500;0;957,5;1014;958,3;957,5;2156,8;33;28,8;17,9;29,8;27,8;19,1;17,5;14,3;58;49;52;298;3,9;1,4;
2023-01-01;1600;0;956,7;1013,1;957,5;956,7;2852,4;35;29,4;17,4;30,5;28,6;18,8;17,1;14,3;55;45;49;2;3,9;1,6;
2023-01-01;1700;0;955,6;1011,8;956,7;955,6;2357,2;35;30,2;17,6;31,1;29,4;18,9;17,1;14,3;51;46;47;352;3,8;1,5;
2023-01-01;1800;0;954,9;1011;955,6;954,9;1917,1;36;30,4;18,9;31,1;30,1;18,9;16,6;14,3;50;43;50;68;3,4;1,3;
2023-01-01;1900;0;954,4;1010,4;954,9;954,4;1813,8;36;30,7;16,1;31,4;30,2;19,1;15,6;14,3;51;39;41;26;4,9;1,2;
2023-01-01;2000;0;953,9;1009,9;954,4;953,9;1109,2;35;30,4;17,3;31,1;30,3;17,6;15,7;14,3;45;40;45;118;2,5;,8;
2023-01-01;2100;0;954,3;1011,4;954,5;953,9;163,2;31;25,1;17,2;30,4;25;18,5;16,3;13;64;45;62;65;8,8;3;
2023-01-01;2200;0;955;1012,2;955;954,3;18,1;28;24,9;17;25,5;24,7;17,2;16,4;12,7;63;57;62;132;5,8;1,7;
2023-01-01;2300;0;955,6;1012,9;955,6;955;-3,6;27;24,5;18,2;25;24,5;18,2;17,1;12,7;68;62;68;148;3,1;1;
2023-01-02;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-02;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-02;0200;0;957,3;1014,8;957,3;957,1;-3,6;25;23,7;19,4;24,1;23,5;19,6;18,8;12,7;78;73;77;287;1,7;,9;
2023-01-02;0300;0;956,9;1014,5;957,3;956,9;-3,6;25;23,2;19,5;23,7;23,1;19,6;19,1;12,7;80;76;80;112;2,2;,4;
2023-01-02;0400;0;956;1013,4;956,9;956;-3,6;25;24,1;17,8;24,4;23,2;19,7;17,7;12,7;80;67;68;95;3,3;1,7;
2023-01-02;0500;0;955,2;1012,7;956;955,2;-3,6;25;23;17,2;24,1;22,9;17,8;17,2;12,6;71;68;70;74;3,9;1,1;
2023-01-02;0600;0;955,6;1013,2;955,6;955,1;-3,6;24;22,9;18;23,1;22,6;18,1;17;12,6;75;69;74;165;2,1;1,2;
2023-01-02;0700;0;955,6;1013,2;955,9;955,5;-3,6;24;23;18,1;23,2;22,8;18,6;17,9;12,6;76;73;74;83;2,2;1,4;
2023-01-02;0800;0;955,7;1013,3;955,7;955,4;-3,6;24;23;18;23,1;22,4;18,5;18;12,6;78;74;74;75;2,7;1,4;
2023-01-02;0900;0;956,3;1014;956,3;955,7;31,3;24;22,6;18,2;23;22,3;18,2;17,9;12,6;77;73;76;88;3,9;1,2;
2023-01-02;1000;0;957,4;1014,9;957,4;956,3;274,8;24;23,9;18,5;24;22,6;18,6;18,1;13,2;76;71;72;119;2,4;1;
2023-01-02;1100;0;957,9;1015,3;957,9;957,3;484,4;25;24,4;18,6;24,5;23,9;18,9;18,1;14,1;73;69;70;87;2,9;1,1;
2023-01-02;1200;0;957,9;1015,1;958,3;957,9;1438,1;27;25,7;18,8;25,8;24,4;19;18,3;14,4;71;65;66;63;5,4;2,6;
2023-01-02;1300;0;957,7;1014,4;958;957,7;2579,5;29;28;18,8;28,1;25,7;19,2;18,3;14,4;66;56;57;65;5,8;2,7;
2023-01-02;1400;0;957,1;1013,7;957,9;957,1;3198;31;28,6;18,2;29,4;26,8;18,7;17,3;14,4;59;50;53;82;5,2;1,8;
2023-01-02;1500;0;956,4;1012,8;957,1;956,4;2973,2;33;29;17,6;29,6;28,6;18,7;16,7;14,4;53;48;50;36;4,9;2,2;
2023-01-02;1600;0;955,5;1011,8;956,4;955,5;2386,2;33;29,4;18;29,8;28,8;18,7;17,2;14,4;53;48;50;69;4,6;2,3;
2023-01-02;1700;0;954,2;1010,3;955,5;954,2;2870,4;34;30,2;16,6;31,1;29,2;18,2;16,3;14,3;51;42;44;71;4,4;1,6;
2023-01-02;1800;0;953;1008,8;954,2;953;3217,6;36;31,5;16,6;31,8;30,1;18,1;15,7;14,3;47;39;41;26;5,6;2,6;
2023-01-02;1900;0;952,2;1008,1;953;952,2;1879,4;36;30,4;15,5;32;30,3;17;14,7;14,3;44;37;41;353;5,8;2;
2023-01-02;2000;0;951,4;1007,3;952,2;951,4;821,5;35;30;17,9;31;30;17,9;14,6;14,3;48;37;48;48;3,7;1,1;
2023-01-02;2100;0;951,7;1007,9;951,7;951,3;453,8;34;28,6;16,9;30,5;28,6;18,3;15,1;13,2;51;40;49;224;1,9;,5;
2023-01-02;2200;0;952,5;1009,2;952,5;951,7;15,9;31;26,5;18,7;28,6;26,4;19,1;17,1;12,7;64;49;62;188;1,4;,6;
2023-01-02;2300;0;953,2;1010,1;953,2;952,5;-3,6;29;25,4;19,8;26,6;25,1;19,8;18,3;12,7;71;60;71;105;1,8;1,3;
2023-01-03;0000;0;953,8;1011;953,8;953,1;-3,6;27;24,3;19,8;25,5;24,3;20,2;19,7;12,7;76;71;76;150;1,8;,7;
2023-01-03;0100;0;954,7;1012,2;954,7;953,8;-3,6;26;23,3;20,3;24,3;23,2;20,3;19,6;12,7;83;76;83;129;2;1,3;
2023-01-03;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-03;0300;0;954,6;1011,9;955,1;954,6;-3,6;25;24;18,5;24,5;23,9;19,1;18,2;12,7;74;68;71;36;2,9;,5;
2023-01-03;0400;2;954;1011,4;954,6;954;-3,6;25;23,1;19,1;24,3;23,1;19,9;18,4;12,6;82;71;78;126;2,9;1,3;
2023-01-03;0500;,2;953,9;1011,4;954;953,9;-3,6;24;22,6;19,6;23,1;22,2;20,2;19,1;12,6;88;78;83;119;2,6;,8;
2023-01-03;0600;0;953,6;1011,1;953,9;953,6;-3,6;24;22,6;19,3;22,8;21,7;19,5;18,5;12,6;85;77;82;108;2,5;,7;
2023-01-03;0700;0;953,6;1011,3;953,7;953,6;-3,6;23;21,8;19,1;22,6;21,8;19,8;18,6;12,6;86;80;85;42;1,7;,7;
2023-01-03;0800;,2;953,8;1011,5;953,9;953,6;-3,6;23;21,8;18,6;22,7;21,7;19,8;18,6;12,6;87;79;82;84;2,4;1,3;
2023-01-03;0900;0;954,7;1012,5;954,7;953,8;31,2;23;21,7;18,8;22,4;21,4;18,9;18,2;12,6;85;78;84;301;3,6;,7;
2023-01-03;1000;0;955,5;1012,9;955,5;954,7;564,8;24;24;19,1;24;21,7;19,8;18,8;13,7;84;73;74;335;2,3;1;
2023-01-03;1100;0;956,1;1013,3;956,1;955,5;1347,6;27;25,1;18,6;25,4;24;19,7;18,1;14,4;76;66;67;99;2,8;1;
2023-01-03;1200;0;956,9;1014,1;956,9;956,1;1208,2;28;25,2;19;26,1;25;19,3;18,3;14,4;69;63;68;313;3,7;1,4;
2023-01-03;1300;0;957,6;1014,7;957,6;956,9;1612,1;29;26,2;18,9;26,6;25;19,6;18,2;14,4;69;61;64;334;4,4;1,6;
2023-01-03;1400;,2;958;1015,7;958;957,5;1101,3;29;23;20,3;26,9;23;20,3;18,3;14,4;84;61;84;283;8,8;2,4;
2023-01-03;1500;10,6;957,2;1015,1;958;957,2;353,6;25;22;19,8;23;21,4;20,4;19,6;14,5;91;84;88;245;8,8;1,3;
2023-01-03;1600;,2;956,6;1014,1;957,2;956,6;971,4;25;23,4;20,7;23,4;22;20,7;19,7;14,5;88;82;84;319;3;1,2;
2023-01-03;1700;,6;955,3;1013;956,6;955,3;844,2;25;22,4;19,9;23,5;22;20,7;19,3;14,5;87;82;86;73;4,6;,6;
2023-01-03;1800;0;954,1;1011,5;955,3;954,1;1332,2;26;23,6;20,2;23,7;22,3;20,8;19,7;14,5;88;81;81;106;2,9;1,6;
2023-01-03;1900;0;953,8;1011;954,1;953,6;1146,8;27;24,2;20;24,4;23,6;21;20;14,5;84;77;78;38;3,3;1,2;
2023-01-03;2000;0;953,1;1010,1;953,8;953,1;909,4;27;24,9;20,1;24,9;24,2;20,6;19,9;14,5;80;75;75;71;3,5;1,6;
2023-01-03;2100;0;953,4;1010,5;953,5;952,8;595,9;28;24,8;20,2;25,3;24,7;20,5;19,5;13,9;76;71;75;37;3,6;,6;
2023-01-03;2200;0;954,4;1011,8;954,4;953,4;59,5;27;23,5;20,9;24,8;23,5;21;20,1;12,9;85;75;85;263;1,2;,5;
2023-01-03;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-04;0000;0;956;1013,7;956;955,2;-3,6;24;22,4;20,4;22,8;22,4;21;20,4;12,7;90;89;89;315;2;,6;
2023-01-04;0100;0;956,5;1014,4;956,5;956;-3,6;23;21,4;19,9;22,4;21,4;20,5;19,9;12,7;91;89;91;360;1,5;,4;
2023-01-04;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-04;0300;0;955,8;1013,7;956,4;955,8;-3,6;23;21,3;19,9;21,8;21,3;21,6;19,9;12,7;100;92;92;178;2;1;
2023-01-04;0400;0;955,1;1013;955,8;955,1;-3,6;23;21,2;19,7;21,7;21,2;20,2;19,7;12,7;92;91;91;61;1,7;,2;
