Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;938,7;1018,5;938,7;938;-3,4;26;22,8;21,1;23,2;22,6;21,2;20,7;12,7;91;86;90;6;2,4;,6;
2023-01-01;0100;0;939,3;1019,2;939,3;938,7;-2,5;25;22,5;21,3;22,8;22,5;21,4;21;12,6;93;90;93;192;1,2;,6;
2023-01-01;0200;0;940,2;1020,5;940,2;939,3;-3,1;25;21,5;20,4;22,5;21,5;21,5;20,4;12,6;95;92;94;200;4,2;2,2;
2023-01-01;0300;0;939,6;1020;940,2;939,6;-1,6;23;20,9;20,5;21,5;20,9;20,6;20,3;12,6;97;93;97;140;5,1;2,3;
2023-01-01;0400;0;939;1019,4;939,6;939;-1,7;23;20,9;20,3;21;20,9;20,5;20,3;12,6;97;96;96;144;4,3;1,9;
2023-01-01;0500;0;938,1;1018,4;939;938,1;-1,7;23;20,8;20,2;20,9;20,8;20,3;20,2;12,6;97;96;97;48;3,6;,9;
2023-01-01;0600;0;938,6;1019;938,6;938,1;-1,8;22;20,7;20,1;20,8;20,7;20,3;20,1;12,6;97;96;96;299;3;2,1;
2023-01-01;0700;0;938,3;1018,8;938,6;938,3;-1,8;22;20,2;19,6;20,7;20,2;20,1;19,6;12,6;97;96;96;344;4,2;1,7;
2023-01-01;0800;0;937,9;1018,5;938,3;937,9;-2,1;22;19,8;18,9;20,2;19,8;19,6;18,9;12,5;96;94;94;33;2,9;1,4;
2023-01-01;0900;0;938,1;1018,7;938,1;937,7;7,6;21;19,7;19;19,9;19,7;19;18,6;12,5;96;93;96;223;2,1;,6;
2023-01-01;1000;0;938,6;1019,1;938,6;938,1;178,5;21;20,2;19,4;20,2;19,6;19,4;19;13;97;95;95;146;2,2;1,4;
