Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;914,3;1017,2;914,4;914,1;-2;21;19,9;17,9;20;19,7;18,3;17,9;12,6;91;88;88;45;5,1;1,4;
2023-01-01;0100;null;914,5;1017,4;914,5;914,3;1;21;20;17,8;20;19,8;18;17,7;12,6;89;87;87;63;4,7;1,6;
2023-01-01;0200;null;914;1017;914,5;914;-1,4;21;19,6;17,5;20;19,6;17,7;17,5;12,5;88;86;88;26;4,8;,8;
2023-01-01;0300;null;913,2;1016,4;914;913,2;-3;21;18,8;17,1;19,7;18,8;17,6;17,1;12,5;90;87;90;27;3;,3;
2023-01-01;0400;null;912,8;1015,8;913,2;912,8;-3,4;20;19,3;17,1;19,3;18,8;17,4;16,9;12,5;90;87;87;67;4,1;1,3;
2023-01-01;0500;null;912,3;1015,3;912,8;912,3;-3,2;20;19,1;17,2;19,3;18,5;17,3;16,7;12,5;90;87;89;53;4,1;,9;
2023-01-01;0600;null;912;1015;912,3;911,8;-2,7;20;19;17,2;19,1;18,7;17,2;17;12,5;90;88;89;76;4,4;1,8;
2023-01-01;0700;null;911,9;1014,9;912,1;911,9;-2,7;20;19;17,2;19,1;18,8;17,4;17,1;12,4;90;89;89;66;5,4;1,8;
2023-01-01;0800;null;912,4;1015,6;912,4;911,9;-1,9;20;18,7;17,2;19,1;18,6;17,3;17;12,4;91;89;91;76;5,4;1,5;
2023-01-01;0900;null;913;1016;913;912,4;68,8;20;19,3;17,2;19,3;18,7;17,4;17,1;12,5;91;88;88;15;4,2;,1;
2023-01-01;1000;null;913,7;1016,2;913,7;913;419;20;21;17,8;21;19,3;17,9;17,2;13,4;88;82;82;34;4,2;,9;
2023-01-01;1100;null;914,2;1016,5;914,2;913,7;855,9;22;21,7;18,5;21,7;21;18,5;17,8;13,9;83;81;82;34;5,4;2,1;
2023-01-01;1200;null;914,3;1015,4;914,3;914,2;1902,2;24;25;18,6;25;21,7;18,8;18,1;14,4;82;68;68;26;7,6;3,3;
2023-01-01;1300;null;914,2;1015,3;914,3;914,2;2701,8;26;24,8;18;25,9;24,8;19,2;17,9;14,4;68;64;66;7;8,3;3,7;
2023-01-01;1400;null;913,7;1014;914,2;913,7;2292,6;27;27,1;18,3;27,1;24,8;19,1;17,3;14,4;67;57;59;1;7;3,1;
2023-01-01;1500;null;913;1012,9;913,7;913;2843,8;29;28;18,1;28,2;26,9;19;17,2;14,3;60;53;55;346;6,9;2,5;
2023-01-01;1600;null;911,9;1011,4;913;911,9;2475,9;30;28,7;17,1;29,1;27,2;18,8;16,4;14,3;57;48;50;315;6,4;2,8;
2023-01-01;1700;null;911;1010,4;911,9;911;2426,8;31;28,7;18,1;29,6;27,9;18,4;16;14,3;54;45;53;317;8,4;3,6;
2023-01-01;1800;null;910,2;1010,2;911;910,2;1731,5;31;26,8;18,3;29,9;26,8;18,9;17,3;14,3;60;48;60;2;8,4;2,9;
2023-01-01;1900;null;910,1;1010,1;910,2;909,9;1089,6;31;26,6;19;29,4;26,5;19;16,8;13,3;63;48;63;147;5,7;,8;
2023-01-01;2000;null;910,3;1011,8;910,5;909,9;563,9;28;22,6;20,2;26,7;21,5;20,8;18,5;14,4;90;61;86;54;8,7;2,1;
2023-01-01;2100;null;911,6;1014,2;911,6;910,1;165,7;25;19,9;18,3;22,6;19,7;20,2;18,1;12,9;91;81;90;14;6;2,4;
2023-01-01;2200;null;911,9;1014,9;912,9;911,6;14,1;22;19,1;17,2;19,9;18;18,3;16,5;12,5;93;88;88;24;10,1;1,2;
2023-01-01;2300;null;911,8;1014,9;912;911,6;4,3;21;18,6;16,1;19,2;18,4;17,1;15,7;12,6;88;81;86;50;4,9;1,6;
2023-01-02;0000;null;912,2;1015,1;912,2;911,8;1,3;20;19,3;15,9;19,3;18,5;16,1;15,9;12,6;86;81;81;42;6;2,6;
2023-01-02;0100;null;912,6;1015,5;912,6;912,3;,8;20;19,4;16,3;19,4;19;16,3;15,8;12,5;83;81;82;55;6;2,3;
2023-01-02;0200;null;912,8;1015,7;912,8;912,3;-2,5;20;19,4;16,4;19,8;18,6;17;15,9;12,5;86;82;83;15;6;1,9;
2023-01-02;0300;null;912;1014,7;912,8;912;-,3;20;19,9;16,1;20,5;19,4;16,4;15,9;12,5;83;76;79;47;5,7;2,3;
2023-01-02;0400;null;911,9;1014,6;912;911,8;-1,4;20;19,9;16,9;20;19,4;17;16,1;12,5;84;79;83;25;5,7;1,1;
2023-01-02;0500;null;911;1013,9;911,9;910,9;-3,4;20;18,9;17;19,9;18,9;17,2;16,6;12,5;88;83;88;17;4,6;1,1;
2023-01-02;0600;null;910,9;1013,6;911,1;910,8;-3,5;20;19,6;17,4;19,6;18,9;17,6;17;12,5;89;87;87;26;4,9;2;
2023-01-02;0700;null;911,4;1014,1;911,4;910,8;-3,4;20;19,5;17,5;19,7;19,1;17,6;17,1;12,4;89;87;88;41;5;,9;
2023-01-02;0800;null;911,5;1014;911,6;911,2;-3;20;20,1;17,8;20,1;19,5;17,8;17,6;12,4;88;86;86;23;5,7;1,7;
2023-01-02;0900;null;911,9;1014,5;911,9;911,5;80,7;21;20,1;17,6;20,4;19,9;17,7;17,5;12,5;87;84;85;26;5,7;1;
2023-01-02;1000;null;912,2;1014,6;912,3;911,8;259,8;21;20,7;17,6;21;20,1;17,9;17,6;12,9;86;81;83;28;6,9;1,6;
2023-01-02;1100;null;912,5;1014,2;912,5;912,2;943,3;22;22,6;18,1;22,8;20,6;18,5;17,6;14;83;75;76;31;9,9;3,3;
2023-01-02;1200;null;912,7;1013,8;912,9;912,5;1672,7;24;24,4;18,6;24,4;22,6;18,7;17,8;14,4;76;70;70;29;9,9;3,8;
2023-01-02;1300;null;912,6;1013,9;912,8;912,6;1734,1;26;23,8;18,2;24,8;23,6;18,7;17,4;14,4;72;66;71;37;9,4;2,5;
2023-01-02;1400;null;911,8;1012,2;912,7;911,7;3049,7;27;26,2;19;26,9;23,8;19,6;18,2;14,4;71;62;64;26;7,8;3,7;
2023-01-02;1500;null;911,3;1012,7;911,8;911,3;1145,7;28;23,1;19,8;27;22,3;19,8;18,2;14,4;84;61;82;139;7,9;,3;
2023-01-02;1600;null;909,8;1009,7;911,3;909,8;2224,1;28;27;18,3;27,4;23,1;20,9;17,8;14,4;82;58;59;339;7,9;3,4;
2023-01-02;1700;null;909,3;1009,2;909,8;909,3;1319,7;29;26,7;17,8;27,1;26,4;18,5;17,5;14,4;61;57;58;343;10,3;3,4;
2023-01-02;1800;null;907,8;1007,5;909,3;907,8;1918,5;29;26,8;19;27,9;25,8;19,2;17,8;14,3;66;56;62;3;6,4;1,5;
2023-01-02;1900;null;907,1;1008,4;908,1;907,1;508,3;28;22,1;18,9;26,8;21,8;19,1;17,6;14,4;83;60;82;203;8,2;,7;
2023-01-02;2000;null;907,8;1008,7;908,1;907,1;509,6;27;23,4;17,6;23,9;22,1;19,9;16,8;13,1;83;65;70;55;4,5;,1;
2023-01-02;2100;null;910,4;1013,3;910,4;907,8;53,2;25;18,8;17,7;23,5;18,6;18,9;16,5;12,6;93;69;93;30;10,8;1,9;
2023-01-02;2200;null;910,1;1013,2;910,5;909,6;1,5;22;18,1;17,2;18,8;18,1;17,6;17,1;12,6;94;93;94;336;9,8;1,9;
2023-01-02;2300;null;910,8;1013,5;910,8;909,7;-,5;21;19,4;18,4;19,5;18,1;18,6;17,3;12,6;94;94;94;66;5,6;2,5;
2023-01-03;0000;null;911;1013,7;911;910,8;,6;21;19,4;18,4;19,6;19,2;18,6;18,2;12,5;94;94;94;44;5,4;1,9;
