Nome: TRES MARIAS
Codigo Estacao: A528
Latitude: -18.200855
Longitude: -45.459836
Altitude: 931.01
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;912,8;1017,2;912,8;912,2;-1,1;22;21,1;18,4;21,3;20,2;19;18,4;12,4;92;84;84;248;0;0;
2023-01-01;0100;0;913,5;1018,3;913,6;912,8;1;22;20,3;19,3;21,1;20,3;19,4;18,3;12,4;94;84;94;334;0;0;
2023-01-01;0200;0;913,4;1018,4;913,6;913,4;-,3;22;19,8;18,4;20,3;19,8;19,4;18,4;12,3;95;92;92;285;0;0;
2023-01-01;0300;1,8;913,1;1018,2;913,4;913,1;-1,5;21;19,3;18,4;19,8;19,3;18,6;18,4;12,3;95;92;95;236;5,4;0;
2023-01-01;0400;2;912,3;1017,5;913,1;912,3;-2,2;21;19;18,2;19,4;19;18,4;18,2;12,3;96;94;96;165;3,4;,2;
2023-01-01;0500;,8;911,3;1016,4;912,3;911,3;-2,1;20;18,9;17,2;19;18,7;18,2;17,1;12,3;96;89;90;111;4,8;0;
2023-01-01;0600;0;911,2;1016,3;911,4;911,2;-1,2;20;18,8;17,7;18,9;18,4;17,7;16,8;12,3;93;88;93;164;0;0;
2023-01-01;0700;0;910,9;1015,8;911,3;910,9;-1,9;20;19,2;18,5;19,2;18,7;18,6;17,7;12,2;96;93;96;160;8,5;4,7;
2023-01-01;0800;0;911;1016,1;911;910,9;-1,2;20;18,9;18,3;19,3;18,9;18,6;18,3;12,2;96;96;96;162;8,5;2,9;
2023-01-01;0900;0;911,3;1016,5;911,3;910,9;17,4;20;18,7;18;18,9;18,5;18,3;17,9;12,2;96;96;96;143;5,2;,2;
2023-01-01;1000;0;912,1;1016,9;912,1;911,3;262,2;20;19,8;19,1;19,8;18,6;19,1;18;12,6;96;96;96;115;2,9;0;
2023-01-01;1100;0;912,9;1017;912,9;912,1;1777,7;23;22;18,1;22,9;19,8;20,8;18;13;96;76;78;96;5;,5;
2023-01-01;1200;0;913,4;1017,4;913,4;912,9;1173,3;24;22,4;18,8;22,5;21,8;18,9;17,9;13,3;82;77;80;94;4,7;0;
2023-01-01;1300;0;913,5;1017,1;913,5;913,4;1803,9;25;23,5;18,4;23,7;22,4;18,8;17,8;13,7;80;72;73;94;5,8;0;
2023-01-01;1400;0;913;1015,9;913,5;913;2506,9;27;25,2;19,6;25,2;23,5;19,6;18,3;13,7;76;68;71;80;6,9;0;
