Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;,8;982;1016,3;982;981,5;-3,1;24;22,4;20,3;22,7;22,3;20,3;19,7;12,5;88;85;88;303;2,9;,6;
2023-01-01;0100;0;981,9;1016,2;982,1;981,7;-2,8;24;22,1;20,5;22,5;22,1;20,5;20,2;12,5;91;88;91;39;1,7;,5;
2023-01-01;0200;0;981,5;1015,8;981,9;981,5;-2,9;24;22,1;20,8;22,1;21,9;20,8;20,4;12,5;92;91;92;314;2,5;,7;
2023-01-01;0300;0;981;1015,3;981,7;981;-1,8;24;21,9;20,8;22,2;21,9;20,9;20,7;12,4;93;92;93;83;2,9;,3;
2023-01-01;0400;0;980,1;1014,3;981;980,1;-,9;24;22,1;21,3;22,1;21,9;21,3;20,7;12,4;95;93;95;154;2,3;,9;
2023-01-01;0500;0;979,4;1013,6;980,1;979,4;-,1;24;22,3;21,4;22,3;22,1;21,5;21,2;12,4;95;95;95;111;3;1,1;
2023-01-01;0600;0;979,2;1013,4;979,5;979,2;-,9;24;21,9;21;22,3;21,9;21,4;21;12,4;95;94;95;49;3;,3;
2023-01-01;0700;0;979,3;1013,6;979,3;979,2;-3,1;23;21,3;20,7;21,9;21,3;21;20,7;12,4;97;95;97;29;1,2;,3;
2023-01-01;0800;0;979,8;1014,1;979,8;979,3;-2,4;23;21,3;21,1;21,3;21,1;21,1;20,6;12,3;99;97;99;38;1;,2;
2023-01-01;0900;0;980,5;1014,8;980,5;979,8;79,4;23;21,7;21,7;21,7;21,2;21,7;21;12,6;100;98;100;22;1,4;,2;
2023-01-01;1000;0;981,2;1015,3;981,2;980,5;386,6;24;23,2;22,9;23,3;21,7;23,1;21,6;13,1;100;98;98;26;1;,4;
2023-01-01;1100;0;981,5;1015,4;981,6;981,2;1148,8;27;25,3;24,1;25,6;23,2;24,7;22,8;13,8;99;93;93;51;1,5;,5;
2023-01-01;1200;0;981,8;1015,6;981,8;981,5;1671,7;30;26,1;23,9;26,6;24,9;24,9;23,5;14,1;94;88;88;70;3,2;,9;
2023-01-01;1300;0;981,3;1015;981,8;981,3;2004,5;31;26,9;24;27,6;26,1;25,6;23,5;14,2;89;84;84;138;4,2;1,1;
2023-01-01;1400;0;980,8;1014,4;981,3;980,8;1943,5;31;27,9;23,9;29,1;26,9;25,9;23,8;14,1;84;79;79;43;3,1;,8;
2023-01-01;1500;0;980,3;1013,9;980,8;980,3;1287,7;32;28;23,3;28,4;27,8;24,2;23;14,2;79;75;76;64;3,5;1;
2023-01-01;1600;0;979,2;1012,6;980,3;979,2;3509,6;32;29;23,5;29,3;27,9;24,4;23;14,1;77;72;72;69;6,6;2;
2023-01-01;1700;0;978,3;1011,5;979,2;978,3;3625,5;33;30,4;23,4;30,5;29;24,2;22,9;14,1;73;66;66;68;5,5;1,4;
2023-01-01;1800;0;977,9;1011,5;978,4;977,8;1745;33;27;19,1;30,5;27;23,2;19,1;14,1;66;62;62;33;6,7;1,7;
2023-01-01;1900;0;977,9;1011,6;978,3;976,6;341,5;30;26,2;20;27;25,7;20,1;18,2;12,8;69;61;69;104;4,8;,8;
2023-01-01;2000;,4;979,7;1014;979,9;977,7;9,5;28;21,7;16,6;26,5;21,7;20,6;16,6;12,5;73;69;73;101;10,7;2,6;
2023-01-01;2100;1,2;979,9;1014,4;979,9;979,2;1,8;24;20;16,5;21,7;19,9;16,5;16;12,5;80;73;80;269;6,1;,7;
2023-01-01;2200;1,2;979,6;1014,1;980,6;979,6;-2,1;23;20;17,3;20,4;19,9;17,4;16,5;12,5;85;80;85;104;2;,9;
2023-01-01;2300;0;981,1;1015,6;981,1;979,6;-2,4;22;20,3;18,2;20,4;19,9;18,2;17,3;12,5;88;85;88;175;2,1;,5;
2023-01-02;0000;,2;981,3;1015,8;981,3;980,9;-1,6;22;20,4;18,8;20,5;20,2;18,8;18,2;12,5;91;88;90;26;2;,6;
2023-01-02;0100;1,4;981,9;1016,4;981,9;981,2;-2,2;22;20;18,7;20,4;19,9;19;18,5;12,5;92;90;92;355;2,2;,3;
2023-01-02;0200;0;981,8;1016,3;982;981,8;-1,8;22;20,1;19;20,2;19,9;19,1;18,5;12,4;94;92;94;345;1,3;,5;
2023-01-02;0300;0;981;1015,5;981,9;980,9;-3,1;22;20,1;19,4;20,2;19,9;19,5;18,9;12,4;96;94;96;53;2,4;,6;
2023-01-02;0400;0;980;1014,5;981;980;-3,2;21;19,9;19,4;20,2;19,9;19,6;19,4;12,4;97;95;97;161;2;,3;
2023-01-02;0500;0;979,4;1014;980;979,4;-3,6;21;19,1;18,9;19,9;19,1;19,4;18,9;12,4;99;97;99;37;1;,4;
2023-01-02;0600;0;978,9;1013,5;979,4;978,9;-3,4;20;19;19;19,1;18,9;19;18,8;12,4;100;99;100;88;1,1;,3;
2023-01-02;0700;0;979,1;1013,6;979,3;978,9;-2,2;21;19,4;19,4;19,5;19;19,5;19;12,3;100;100;100;107;1,5;,6;
2023-01-02;0800;0;979,3;1013,8;979,3;979,1;-1,2;21;19,3;19,3;19,5;19,2;19,5;19,2;12,3;100;100;100;348;1,5;,4;
2023-01-02;0900;0;980;1014,5;980;979,3;52,7;21;19,5;19,5;19,6;19,3;19,6;19,3;12,4;100;100;100;21;2,1;,5;
2023-01-02;1000;0;980,6;1015,1;980,7;980;246,4;22;20;20;20;19,4;20;19,4;13;100;100;100;49;1,8;,5;
2023-01-02;1100;0;980,9;1015,1;981;980,6;941,8;24;22,4;22,4;22,6;20;22,5;20;13,7;100;100;100;85;3;1,3;
2023-01-02;1200;0;981,2;1015,3;981,2;980,8;1245,2;26;23,8;23;23,8;22,4;23,2;22,4;14,2;100;96;96;52;3;,9;
2023-01-02;1300;0;980,9;1014,9;981,2;980,9;1471,6;28;24,5;22,8;25;23,7;23,7;22,6;14,2;97;90;90;76;3,2;,9;
2023-01-02;1400;0;980;1013,7;981;980;2408,8;29;26,8;24,2;26,8;24,5;24,2;22,7;14,2;90;85;86;72;4,2;1,3;
2023-01-02;1500;0;978,9;1012,4;980,1;978,9;3525,2;31;27,9;24,2;27,9;26,8;24,6;23,6;14,2;86;80;80;65;4,8;1,6;
2023-01-02;1600;0;977,8;1011,2;978,9;977,8;2150,3;31;28,2;23,5;28,2;27,1;24,3;22,8;14,2;80;76;76;91;5,4;1,7;
2023-01-02;1700;0;976,4;1009,7;977,8;976,4;3573,8;32;29,3;23,1;29,6;28,2;24;22;14,1;76;68;69;125;6,2;2,4;
2023-01-02;1800;0;975,4;1008,6;976,4;975,4;2735,8;33;29,9;22;30,4;28,8;23,2;21,8;14,1;69;62;63;54;5,8;1,4;
2023-01-02;1900;0;974,6;1007,7;975,4;974,6;2394,6;34;30,6;21,4;31,2;29,9;22,8;21,1;14,1;63;58;58;65;4,3;1,4;
2023-01-02;2000;0;974,5;1007,7;974,6;974,3;1212,6;33;29,1;20,2;30,8;28,8;21,5;19,9;13;60;57;59;60;6,3;1,3;
2023-01-02;2100;,2;976,1;1010,3;976,1;974,5;104,6;28;21,4;15,6;29,1;21,2;20,2;14,5;12,8;70;58;70;265;9,2;1,2;
2023-01-02;2200;0;976,6;1010,8;976,6;976;55,8;25;21,5;17,3;21,6;21,3;17,3;15,8;12,6;77;70;77;56;4,8;,8;
2023-01-02;2300;0;977,4;1011,7;977,4;976,6;-3,5;24;21;17,5;21,5;21;17,5;17,1;12,5;80;77;80;32;2,2;,7;
2023-01-03;0000;,2;978,2;1012,5;978,2;977,3;-3,1;23;20,6;17,6;21,1;20,5;17,7;17,4;12,5;83;80;83;12;1,9;,4;
2023-01-03;0100;0;978,9;1013,3;979;978,2;-3,6;22;19,9;17,5;20,6;19,9;17,7;17,5;12,5;86;83;86;26;1,4;,4;
2023-01-03;0200;0;978,9;1013,3;979,1;978,9;-3,3;22;20,3;18,4;20,3;19,8;18,4;17,4;12,5;89;86;89;221;1,5;,4;
2023-01-03;0300;0;978,1;1012,5;979;978,1;-3,2;22;20,3;18,9;20,3;20,2;18,9;18,4;12,5;91;89;91;34;1,4;,8;
2023-01-03;0400;0;977,3;1011,6;978,1;977,3;-3,1;22;20,5;19,2;20,6;20,3;19,3;18,9;12,4;92;91;92;43;1,9;,5;
2023-01-03;0500;0;976,7;1011;977,3;976,7;-3,3;22;20,4;19,3;20,5;20,4;19,4;19,2;12,4;93;92;93;35;1,8;,6;
2023-01-03;0600;0;975,9;1010,2;976,7;975,9;-3,4;22;20,3;19,4;20,4;20,3;19,4;19,3;12,4;95;93;95;89;1,6;,4;
2023-01-03;0700;0;976,1;1010,4;976,2;975,8;-3;22;20,3;19,7;20,4;20,3;19,7;19,4;12,4;96;95;96;54;1,2;,3;
2023-01-03;0800;0;976,4;1010,7;976,4;976;-3,3;22;20,2;19,7;20,4;20,2;19,8;19,6;12,4;97;96;97;54;1,4;,4;
2023-01-03;0900;0;977;1011,3;977;976,4;31;22;20,7;20,4;20,7;20,1;20,4;19,7;12,4;99;97;98;45;1,7;,6;
2023-01-03;1000;0;977,6;1011,6;977,7;977;400,4;23;23;22,8;23;20,7;22,8;20,4;13,3;99;98;99;57;2,3;,7;
2023-01-03;1100;0;978;1011,9;978,1;977,6;664,7;25;23,9;22,9;23,9;22,8;23;21,9;13,6;99;94;94;45;2,3;,3;
2023-01-03;1200;0;978;1011,7;978,1;977,9;1554,7;28;25,8;23,7;26,1;23,9;24,6;22,8;14,2;95;88;88;86;4,2;1,3;
2023-01-03;1300;0;978;1011,6;978,1;977,9;2434,2;30;27;23,7;27,7;25,8;25;23,3;14,2;88;82;82;85;4,6;1,3;
2023-01-03;1400;0;977,3;1010,7;978,1;977,3;3100,6;32;28,4;23,5;29,4;27;25,1;23,5;14,1;83;75;75;108;5,4;2,1;
2023-01-03;1500;0;976,5;1009,7;977,3;976,4;3195,1;33;29,9;23,4;30,7;28,4;24,7;23,2;14,1;75;68;68;52;4,5;1,4;
2023-01-03;1600;0;975,2;1008,3;976,5;975,2;3347,3;35;30,6;22,3;31,5;29,6;24,2;22,3;14,1;68;61;61;99;4,9;1,7;
2023-01-03;1700;0;974,3;1007,3;975,2;974,3;3141,4;35;31,4;22,7;32;30,3;23,6;21,7;14,2;62;59;60;107;4,9;2;
2023-01-03;1800;0;974,2;1007,4;974,7;974,2;1671,2;33;29,1;21,5;31,9;26,6;23,2;18;14,1;63;57;63;37;8,5;1,1;
2023-01-03;1900;0;975,4;1009,1;975,4;974,2;850,9;31;25,1;19,1;29,2;25,1;21,3;18,3;12,8;69;62;69;355;4,4;,9;
2023-01-03;2000;1,4;975,2;1009,2;975,5;975;105;28;22,7;18,8;25,1;22,7;19;17,8;12,9;79;69;79;93;4;1,5;
2023-01-03;2100;,8;975;1009;975,3;974,9;188,6;26;22,6;19,7;22,8;22,3;19,9;18,8;13;84;79;84;115;4;1,1;
2023-01-03;2200;0;975;1009;975;974,7;36;25;22,2;19,9;22,7;22,2;19,9;19,6;12,5;87;84;87;105;2,6;,8;
2023-01-03;2300;,2;975,7;1009,8;975,7;975;-3,6;24;21,8;20,1;22,3;21,7;20,1;19,8;12,5;90;87;90;12;2,6;,3;
2023-01-04;0000;0;976,8;1011;976,8;975,7;-3,3;24;21,6;20,4;21,8;21,6;20,5;20,1;12,5;93;90;93;348;1,1;,2;
2023-01-04;0100;0;977,6;1011,8;977,7;976,8;-2,2;24;21,9;21,1;22;21,6;21,1;20,4;12,5;95;93;95;32;1,4;,5;
2023-01-04;0200;0;977,4;1011,6;977,6;977,4;-2,1;24;21,9;21,4;21,9;21,8;21,4;21;12,5;97;95;97;25;1,4;,5;
2023-01-04;0300;,2;976,8;1010,9;977,4;976,8;-2,3;23;22;21,8;22;21,9;21,8;21,4;12,5;99;97;99;36;1,4;,5;
2023-01-04;0400;0;976;1010,1;976,8;976;-2,2;23;22,1;22;22,1;22;22;21,8;12,4;100;99;100;30;1,2;,5;
2023-01-04;0500;0;975,4;1009,5;976,1;975,3;-1,9;23;22,1;22,1;22,2;22;22,2;22;12,4;100;100;100;33;1,2;,3;
2023-01-04;0600;0;974,9;1009;975,4;974,9;-2,8;23;22;22;22,2;22;22,2;22;12,4;100;100;100;36;1,4;,5;
2023-01-04;0700;0;974,8;1008,9;974,9;974,8;-2,8;23;21,7;21,7;22;21,7;22;21,7;12,4;100;100;100;43;1,6;,5;
2023-01-04;0800;0;975,2;1009,3;975,2;974,8;-2,9;23;21,5;21,5;21,7;21,5;21,7;21,5;12,4;100;100;100;17;1,6;,4;
2023-01-04;0900;0;975,7;1009,8;975,7;975,2;61,7;23;21,7;21,7;21,7;21,4;21,7;21,4;12,5;100;100;100;35;1,2;,4;
2023-01-04;1000;0;976,1;1010,1;976,1;975,7;347,8;24;23,1;23;23,1;21,7;23;21,7;13,1;100;100;100;41;1,8;,4;
2023-01-04;1100;0;976,2;1009,9;976,2;976;1121,8;27;25,5;25,1;25,5;23,1;25,3;23,1;14,1;100;97;98;58;3,2;,9;
2023-01-04;1200;0;976,3;1009,8;976,5;976,2;1762,3;29;26,9;25,3;26,9;25,1;25,7;23,9;14,2;98;91;91;59;3;,9;
2023-01-04;1300;0;976,1;1009,6;976,3;976,1;1805,2;31;27;24,5;27,5;26,7;25,7;24,3;14,2;91;86;86;58;3,6;1,2;
2023-01-04;1400;0;975,9;1009,3;976,3;975,9;1926,7;31;28,2;25;28,4;26,8;25,6;24,1;14,2;86;82;83;71;4,1;1,5;
2023-01-04;1500;0;975,3;1008,5;975,9;975,3;2017,1;33;29,2;25,1;29,3;27,9;25,5;24,2;14,1;83;79;79;74;5;1,1;
2023-01-04;1600;0;974,6;1007,8;975,3;974,6;1557;33;29,5;24,5;29,6;28,8;25,1;24,1;14,1;79;75;75;114;3,9;1,3;
2023-01-04;1700;0;973,8;1006,9;974,6;973,8;1479,8;34;29,9;23,6;30,7;29,5;25,3;23,6;14,1;75;69;69;45;3,4;,7;
2023-01-04;1800;0;972,9;1006,1;973,8;972,9;981,8;33;29,3;22,9;29,9;29;23,6;22,6;14,1;69;68;69;111;4,1;1,8;
2023-01-04;1900;0;972,8;1006,1;972,9;972,7;654,6;33;28,3;22,1;29,5;28,3;23,1;22,1;13,2;69;68;69;82;4;,9;
2023-01-04;2000;0;972,6;1005,7;972,8;972,5;1052,5;33;29,4;23,1;30,5;28,1;24,6;22,1;13;73;69;69;110;2,9;1,5;
2023-01-04;2100;2;973,2;1007,2;973,6;972,3;160,8;31;22,1;17,8;29,4;22,1;23;17,8;12,7;77;69;76;26;9,7;2;
2023-01-04;2200;1;974,2;1008,2;974,6;973,1;71,9;26;22,1;19,3;22,3;21,9;19,4;17,8;12,6;84;76;84;40;6;,5;
2023-01-04;2300;0;975,5;1009,6;975,5;974,2;-1,8;25;22,2;20,1;22,3;22;20,2;19,3;12,5;88;84;88;46;2,9;,5;
