Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;918,5;1016,9;918,5;917,5;-2,8;23;21,2;18,1;22,1;21,1;19;18,1;12,5;84;82;83;95;5,2;2;
2023-01-01;0100;0;918,7;1017,1;918,7;918,3;-2,2;23;21,2;18,3;21,3;21,2;18,3;18,1;12,5;84;82;84;91;5,3;2,8;
2023-01-01;0200;0;918,6;1017;918,8;918,6;-2,3;22;21,1;18,4;21,2;21,1;18,6;18,3;12,5;85;84;85;90;6,2;3,2;
2023-01-01;0300;0;917,8;1016,4;918,6;917,8;-3,2;22;20,5;17,3;21,1;20,5;18,4;17,3;12,5;85;81;82;64;7,2;2,5;
2023-01-01;0400;0;917,1;1015,5;917,8;917,1;-3;22;20,8;17,2;20,8;20,4;17,4;17,2;12,5;83;80;80;72;5,4;1,7;
2023-01-01;0500;0;916,5;1015;917,1;916,5;-2,6;22;20,3;17,2;20,9;20,3;17,4;17,1;12,5;82;79;82;69;4,7;2,1;
2023-01-01;0600;0;915,7;1014,3;916,5;915,7;-3,5;21;19,8;16,9;20,3;19,8;17,3;16,9;12,5;86;82;84;73;5,7;2,6;
2023-01-01;0700;0;915,8;1014,5;915,8;915,7;-3,5;21;19,6;16,9;19,8;19,6;16,9;16,8;12,4;84;83;84;73;5,7;2,1;
2023-01-01;0800;0;916;1014,6;916;915,8;-3,4;20;19,7;17,1;19,7;19,2;17,2;16,9;12,4;87;84;85;42;4;,5;
2023-01-01;0900;0;916,8;1015,4;916,8;916;,1;21;20;17,1;20;19,7;17,2;17,1;12,3;85;84;84;74;3,6;2;
2023-01-01;1000;0;917,5;1016,1;917,5;916,8;116,7;21;20,2;17,3;20,2;19,8;17,3;17,1;12,4;84;83;83;78;4,2;1,7;
