Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;959,7;1015,8;959,7;958,7;2,8;26;24,4;16,1;25,2;23,3;16,7;15,1;12,7;64;57;60;69;0;0;
2023-01-01;0100;0;960,3;1016,7;960,3;959,7;3,1;26;23,3;16,5;25,9;23,1;16,7;15,7;12,7;67;55;65;130;0;0;
2023-01-01;0200;0;960,4;1016,7;960,5;960,2;6;25;23,9;17,2;24;22,8;18;16,3;12,7;75;64;66;331;0;0;
2023-01-01;0300;0;960,4;1016,9;960,6;960,4;3,5;25;22,9;18,9;24,3;22,8;18,9;17;12,7;78;64;78;107;0;0;
2023-01-01;0400;2,6;960,2;1016,8;960,5;960,2;2,9;24;22,2;20,5;22,8;20,9;20,9;18,9;12,7;96;79;90;54;4,2;1,4;
2023-01-01;0500;1,8;959,7;1016,4;960,2;959,6;3,9;24;21,7;20,2;22,2;21,3;20,7;19,9;12,6;94;89;91;42;4,9;,2;
2023-01-01;0600;0;959,1;1015,7;959,7;959,1;5,2;24;21,9;19,1;22,2;21,7;20,2;19;12,6;91;83;84;32;6,6;1;
2023-01-01;0700;0;959,3;1015,9;959,3;959,1;6;24;21,7;18,5;22,1;21,7;19,1;18,4;12,6;84;81;82;21;6,4;2;
2023-01-01;0800;,2;959,8;1016,7;960;959,3;,4;23;20,5;19;21,7;20,5;19,1;18,5;12,6;91;82;91;30;4,7;,8;
2023-01-01;0900;0;960,6;1017,5;960,6;959,9;9,4;23;21;18,9;21;20,5;19;18,8;12,6;91;87;88;22;5,8;,9;
2023-01-01;1000;0;961,1;1017,9;961,1;960,6;154,8;23;21,3;18,9;21,3;20,9;19,1;18,8;12,6;89;86;86;24;5,8;,9;
2023-01-01;1100;0;961,3;1018,1;961,4;961,1;302,5;23;21,6;19,3;21,6;21,2;19,5;18,8;12,8;88;86;87;12;4,2;0;
2023-01-01;1200;0;961,4;1018;961,6;961,3;1057,4;24;22,7;19,8;22,7;21,6;19,9;19;13,2;87;81;84;326;3,4;,4;
2023-01-01;1300;0;961,6;1018,2;961,7;961,4;1052,6;25;22,8;19,5;23,2;22,6;20,2;18,7;13,2;85;77;82;358;5,7;,4;
2023-01-01;1400;0;961,6;1018;961,7;961,5;1011,7;26;23,7;18,7;24,1;22,6;20,5;18,7;13,5;84;74;74;336;3,4;0;
2023-01-01;1500;0;961,2;1017,3;961,6;961,2;1878,9;27;25,3;20,1;25,3;23,5;20,8;18,6;13,7;79;71;73;358;3,9;0;
2023-01-01;1600;0;960,6;1016,7;961,2;960,6;1795,7;28;24,9;19,4;25,3;24,2;20,3;18,6;13,3;76;69;72;48;5,1;0;
2023-01-01;1700;0;959,8;1015,8;960,6;959,8;1146,2;28;25;20,3;25,3;24,5;20,6;18,6;13,2;76;69;75;308;2;0;
2023-01-01;1800;0;959;1015;959,8;959;1056;28;24,9;19,9;25,1;24,5;21,3;19,5;13,2;80;71;74;10;0;0;
2023-01-01;1900;0;958,4;1014,5;959;958,4;634,7;28;24,3;20,6;24,9;24,3;20,9;19,5;13,1;80;73;80;23;0;0;
2023-01-01;2000;0;958,4;1014,6;958,4;958;425,6;27;23,9;20,5;24,3;23,6;21,6;20,1;13,1;87;78;81;344;0;0;
2023-01-01;2100;0;958,4;1014,7;958,5;958;637,8;27;23,3;20,2;25;23,3;21,3;19,5;12,9;83;74;83;200;0;0;
2023-01-01;2200;0;959,1;1015,8;959,1;958,4;80;26;21,5;20;23,3;21,5;20,5;19,9;12,7;92;83;92;129;0;0;
2023-01-01;2300;0;959,6;1016,4;959,6;959;3,5;24;21,2;19,7;21,7;21,2;20,2;19,5;12,7;92;89;91;97;0;0;
2023-01-02;0000;0;960,5;1017,2;960,5;959,6;3,8;24;21,6;19,8;21,8;21,2;20;19,6;12,7;92;90;90;104;0;0;
2023-01-02;0100;,6;961,1;1018;961,1;960,5;2,5;23;20,8;20,3;21,7;20,7;20,3;19,8;12,7;97;89;97;118;0;0;
2023-01-02;0200;,4;960,8;1017,7;961,1;960,7;,9;23;20,7;20,1;21,5;20,7;20,7;20;12,7;97;95;96;139;3,7;,5;
2023-01-02;0300;0;960,3;1017,2;960,8;960,3;,8;23;20,6;19,8;20,9;20,4;20,4;19,8;12,7;97;96;96;140;3,9;,6;
2023-01-02;0400;0;959,5;1016,4;960,3;959,5;2,5;22;20,3;19,6;20,7;20,2;19,9;19,4;12,6;96;94;96;47;3,5;0;
2023-01-02;0500;1,4;959,1;1016;959,5;958,8;3;22;20,2;19,8;20,3;20,2;19,9;19,6;12,6;98;96;98;97;0;0;
2023-01-02;0600;9,2;959,1;1016,1;959,1;958,8;3,9;22;19,8;19,5;20,2;19,8;19,8;19,5;12,6;98;98;98;101;3,7;,9;
