Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;0;953,4;1015,1;953,4;953,1;0;25;22;20,9;22,1;22;21;20,9;12,8;94;93;93;101;1,7;1;
2023-01-01;0200;0;953,4;1015,2;953,6;953,4;0;24;21,7;20,2;22,1;21,7;20,9;20,2;12,8;94;91;91;36;2,2;,8;
2023-01-01;0300;0;952,9;1014,7;953,4;952,9;0;24;21,4;20,1;21,7;21,3;20,3;20;12,7;93;91;93;104;2,6;,3;
2023-01-01;0400;0;952,5;1014,5;952,9;952,4;0;23;20,6;19,5;21,4;20,6;20,1;19,5;12,7;93;92;93;100;1,1;,2;
2023-01-01;0500;0;951,6;1013,4;952,5;951,6;0;23;21,1;20,1;21,2;20,3;20,2;19,2;12,7;94;93;94;155;2,4;1,4;
2023-01-01;0600;0;951,4;1013,3;951,6;951,3;0;23;20,6;19,6;21,4;20,5;20,4;19,5;12,7;94;93;94;57;3,1;,7;
2023-01-01;0700;0;951,4;1013,3;951,4;951,3;0;22;20,7;19,7;20,7;20,2;19,7;19,2;12,6;94;94;94;330;1,6;,1;
2023-01-01;0800;0;951,5;1013,5;951,6;951,4;0;22;20,3;19,3;20,8;20,3;19,8;19,3;12,6;94;94;94;209;2,1;,3;
2023-01-01;0900;,2;952,2;1014,2;952,2;951,5;10,7;22;20,1;19,2;20,6;19,9;19,6;19;12,6;95;94;94;131;1,8;1,1;
2023-01-01;1000;0;952,8;1014,3;952,8;952,2;405,3;22;22,7;20,4;22,8;20,1;20,8;19,2;12,7;95;87;87;10;2,4;,3;
2023-01-01;1100;0;953,4;1014,9;953,4;952,8;718,9;24;22,9;20,4;23,6;22,6;21;19,9;13;87;82;85;41;3,5;1;
2023-01-01;1200;0;953,9;1014,9;953,9;953,4;1700,9;26;25,6;20,7;25,6;22,9;21,7;20,1;13,5;86;74;74;10;4,4;1,7;
2023-01-01;1300;0;953,9;1014,4;954,1;953,9;2696,7;29;27,9;20,9;27,9;25,6;21,3;19,7;14,3;74;65;66;31;6,6;2,8;
2023-01-01;1400;0;953,7;1014,1;953,8;953,7;2776,4;31;28,3;21,4;28,7;26,8;22,4;19,8;14,3;73;63;66;49;5,9;1,9;
2023-01-01;1500;0;953;1013,2;953,7;952,9;3861;32;29,2;21,6;29,6;28;22,2;20,1;13,6;67;59;64;46;5,2;2,5;
2023-01-01;1600;0;952,1;1011,9;953;952,1;4004,8;33;30,8;21,6;30,9;29;23;20;14,3;67;53;58;18;5,4;2,9;
2023-01-01;1700;0;951;1010,7;952,1;951;3432,7;34;30,8;19,7;31,7;28,8;22,1;19;14,3;62;49;52;30;5,4;1,6;
2023-01-01;1800;0;950,1;1009,9;951;950;2605,5;35;30,1;20,8;31,6;29,5;21,3;18;14,2;58;46;57;360;5,1;1,8;
2023-01-01;1900;0;949,3;1008,9;950,1;949,3;2402,1;36;30,7;19,7;31,5;29,5;21,4;19,1;14,3;59;48;52;13;4,5;2,3;
2023-01-01;2000;0;949;1008,6;949,4;949;1909,1;37;31;19,4;31,5;30,7;20,3;18,5;13,9;53;47;50;10;4,7;1,2;
2023-01-01;2100;0;948,9;1009;949,2;948,9;473,7;36;28,5;19,8;31;28,5;19,8;18,4;13;59;47;59;351;2,6;,7;
2023-01-01;2200;0;949,4;1009,9;949,4;948,9;83;33;26,4;21,6;28,5;26,4;21,6;19,7;12,9;75;59;75;322;2,1;,5;
2023-01-01;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-02;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-02;0100;0;951,2;1012,5;951,6;951,1;0;27;23,2;20,8;24,7;23,2;21,3;20,7;12,8;86;81;86;227;1,7;,9;
2023-01-02;0200;0;951,6;1013;951,8;951,2;0;26;23;21,3;23,3;22,8;21,4;20,7;12,8;90;86;90;140;3;1,2;
2023-01-02;0300;0;951,5;1012,8;951,8;951,4;0;26;23,3;21,5;23,3;22,7;21,6;21;12,7;91;90;90;322;2;,2;
2023-01-02;0400;0;951,2;1012,5;951,5;950,7;0;26;23,4;19,7;24;23;21,8;19,7;12,7;92;80;80;144;6,8;3,9;
2023-01-02;0500;0;951,4;1013;951,5;951;0;25;22;18,9;23,3;21,5;19,6;18,9;12,7;87;80;83;112;7,1;3,9;
