Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;,8;900,4;1017,8;900,4;899,9;-2,8;21;19,5;19,3;19,5;19,1;19,3;18,7;12,5;99;98;99;115;3,9;1,7;
2023-01-01;0100;,2;900,8;1018,4;900,9;900,4;-2,7;21;19,2;19,1;19,5;19,2;19,3;19,1;12,4;99;99;99;124;3,3;1,2;
2023-01-01;0200;,2;901,3;1019,2;901,3;900,8;-2,7;20;18,8;18,8;19,2;18,8;19,1;18,8;12,4;100;99;100;125;3,6;1,4;
2023-01-01;0300;1,4;900,3;1018,1;901,4;900,2;-2,6;20;18,6;18,6;18,8;18,6;18,8;18,6;12,4;100;100;100;118;4,2;2,1;
2023-01-01;0400;0;899,1;1016,9;900,3;899,1;-3;20;18,2;18,2;18,6;18,2;18,6;18,2;12,4;100;100;100;183;4,8;,8;
2023-01-01;0500;0;898,5;1016,3;899,1;898,5;-1,4;20;18;18;18,2;18;18,2;18;12,4;100;100;100;272;2,1;0;
2023-01-01;0600;0;897,9;1015,8;898,5;897,9;-2,2;19;17,7;17,7;18;17,5;18;17,5;12,4;100;100;100;32;1,7;,8;
2023-01-01;0700;0;898,4;1016,3;898,4;897,9;-2;19;17,9;17,9;18;17,7;17,9;17,7;12,3;100;100;100;222;1,4;,1;
2023-01-01;0800;,2;898,8;1016,8;898,8;898,4;-2,2;19;17,6;17,6;17,9;17,6;17,9;17,6;12,3;100;100;100;123;1,3;,7;
2023-01-01;0900;0;899,2;1017,1;899,2;898,8;69;19;18;18;18;17,6;18;17,6;12,4;100;100;100;292;1,4;,1;
