Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98583333
Longitude: -48.15166666
Altitude: 572.54
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;950;1015;950,3;949,8;-3,1;25;23,4;19,9;23,7;23,2;20,5;19,9;12,7;84;81;81;187;2,5;0;
2023-01-01;0100;0;950,1;1015,2;950,1;949,9;-3;25;22,9;19,6;23,5;22,9;20;19,5;12,7;82;78;82;223;2,9;0;
2023-01-01;0200;0;950,3;1015,5;950,5;950,1;-3,5;24;22,4;19,7;23;22,3;19,8;19,4;12,7;86;81;85;186;4;0;
2023-01-01;0300;0;949,6;1015;950,3;949,6;-3,5;24;21,5;19,4;22,4;21,5;19,8;19,3;12,7;88;85;88;186;0;0;
2023-01-01;0400;0;949,1;1014,5;949,6;949,1;-3,5;23;21,1;19,3;21,5;21;19,4;19;12,7;90;88;90;186;0;0;
2023-01-01;0500;0;948,5;1014;949,1;948,5;-3,5;22;20,5;18,8;21,1;20,5;19,3;18,7;12,7;91;88;90;187;0;0;
2023-01-01;0600;0;947,8;1013,2;948,4;947,8;-3,5;22;20,8;18,9;20,8;20,4;19,1;18,7;12,7;91;88;88;187;3,7;0;
2023-01-01;0700;0;948;1013,6;948;947,8;-3,5;22;19,9;18,5;20,8;19,8;18,9;18,2;12,6;92;88;92;186;,3;0;
2023-01-01;0800;0;948,3;1014,1;948,3;948;-3,5;21;19,3;18,1;20,1;19,3;18,7;18,1;12,6;93;91;93;186;0;0;
2023-01-01;0900;0;949;1014,8;949;948,3;15,2;21;19,6;18,6;19,6;18,9;18,6;17,9;12,6;94;93;94;186;0;0;
2023-01-01;1000;0;949,9;1015,2;949,9;949;404,3;22;21,8;18,8;21,9;19,6;19,6;18,6;12,6;94;83;83;186;0;0;
2023-01-01;1100;0;950,4;1015,3;950,4;949,9;1020;24;23,8;19,5;23,8;21,8;20,1;18,8;13,1;84;76;77;186;0;0;
2023-01-01;1200;0;950,4;1014,8;950,4;950,3;1501,5;26;26,1;19,7;26,5;23,8;20,9;19,4;13,3;79;68;68;186;2,9;0;
2023-01-01;1300;0;950,3;1014,3;950,4;950,3;2317,9;28;28,1;20,6;28,1;26,1;21,1;19,5;13,5;71;61;64;186;5,2;0;
2023-01-01;1400;0;949,7;1013,2;950,3;949,7;2762,1;30;30,2;20,6;30,2;27,9;21,3;18,8;13,8;66;53;57;186;6,5;,1;
2023-01-01;1500;0;949,2;1012,6;949,7;949,1;2827,6;31;30,2;18,2;31,4;29,6;20,8;17,1;13,4;58;44;49;186;9,2;2,8;
2023-01-01;1600;0;948,3;1011,3;949,2;948,3;2353,8;32;31,7;19,2;31,9;29,8;19,9;17,4;13,8;52;44;48;188;10,9;,1;
2023-01-01;1700;0;947,2;1010,5;948,3;947,2;1557,1;33;30,3;19,1;32;30,3;20,4;18,5;13,5;52;46;51;186;8,2;3,3;
2023-01-01;1800;0;946,1;1009,1;947,3;946,1;1463,8;32;31,4;18,2;31,9;29,9;20,1;17,9;13,6;54;45;45;186;8,2;0;
2023-01-01;1900;0;945,7;1008,9;946,2;945,7;1640,8;33;30,1;20,7;32,3;30,1;20,9;18,1;13,5;58;44;57;186;5,8;0;
2023-01-01;2000;0;945,7;1009;946,2;945,7;838,3;33;29,7;19,9;30,6;27,6;20,6;18,5;13,4;60;50;56;186;10,8;0;
2023-01-01;2100;0;945,4;1009;945,7;945,4;492,6;33;28,4;21,3;30,3;28,4;22,3;19,4;13,2;69;53;66;186;0;0;
2023-01-01;2200;0;946,3;1010,3;946,3;945,4;148,3;31;26,6;22,2;28,3;26,6;22,6;20,8;12,7;78;65;77;186;0;0;
2023-01-01;2300;0;947,4;1012;947,4;946;-3,4;29;24,3;19,3;26,6;24,3;22,1;19,3;12,7;78;73;74;186;8,5;4,1;
2023-01-02;0000;0;948,2;1013,1;948,2;947,4;-3;27;23,4;18,6;24,2;23,4;19,4;18,4;12,7;77;72;74;186;9,7;0;
2023-01-02;0100;0;947,9;1012,8;948,5;947,9;-3,5;25;23;19;23,4;22,8;19;18,2;12,7;78;74;78;187;4,1;0;
2023-01-02;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
