Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;917,7;1016,4;917,8;917,2;-2,6;24;21,3;17,5;22,4;21,2;18,1;17,2;12,5;83;73;79;86;5,6;2;
2023-01-01;0100;0;918,6;1017,6;918,6;917,7;-3,2;23;20,7;17,5;21,3;20,6;18;17,4;12,5;85;79;82;41;5;2,4;
2023-01-01;0200;0;918,5;1017,6;918,8;918,5;-2,7;22;20,2;18;20,7;20,1;18;17,5;12,5;88;82;87;55;4,8;1,5;
2023-01-01;0300;0;917,6;1016,6;918,5;917,6;-3,1;22;20,2;18,3;20,3;20,1;18,3;17,9;12,5;89;87;89;108;3,7;2,1;
2023-01-01;0400;0;917,1;1016,3;917,6;917;-3,2;21;19,6;17,8;20,2;19,6;18,2;17,8;12,5;89;88;89;61;4,1;1,2;
2023-01-01;0500;0;916,6;1015,8;917,1;916,5;-3,2;21;19,5;17,4;19,7;19,5;17,9;17,3;12,4;90;87;88;79;2,9;,5;
2023-01-01;0600;,2;916,3;1015,6;916,7;916,2;-3,4;21;19;17,4;19,5;19;17,5;17,2;12,4;90;87;90;224;2,3;,2;
2023-01-01;0700;,4;916,2;1015,6;916,3;916,2;-2,8;20;18,7;18,1;19;18,7;18,1;17,5;12,4;96;90;96;321;3;2;
2023-01-01;0800;0;916,3;1015,6;916,3;916,2;-3;20;19;17,8;19;18,7;18,2;17,8;12,3;96;93;93;358;3,5;1,7;
2023-01-01;0900;0;916,8;1016,1;916,8;916,3;51,2;20;19,1;17,9;19,1;18,9;17,9;17,8;12,4;93;93;93;319;3,5;2,6;
2023-01-01;1000;0;917;1016,1;917,2;916,8;304,7;21;19,7;18,3;19,8;19,1;18,4;17,9;13;93;91;91;351;3,5;1,4;
2023-01-01;1100;0;917,6;1016,7;917,6;917;304,3;21;20,1;18,6;20,1;19,7;18,6;18,3;13;92;90;91;360;3,1;,1;
