Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0300;null;954,7;1014,6;955,2;954,7;null;21;19,6;18,2;20,3;19,6;18,9;18,2;12,7;91;91;91;322;2,1;1,4;
2023-01-01;0400;null;954,4;1014,3;954,7;954,2;null;21;19,2;17,8;19,7;19,1;18,3;17,8;12,7;92;91;92;305;2,1;1,1;
2023-01-01;0500;null;954,2;1014,2;954,4;954,2;null;20;18,9;17,7;19,2;18,8;17,8;17,5;12,7;92;92;92;318;2;1,5;
2023-01-01;0600;null;954,2;1014,1;954,4;954,1;null;20;19,2;17,9;19,2;18,9;18;17,6;12,6;92;92;92;154;2,1;,5;
2023-01-01;0700;null;954,3;1014,4;954,3;954;null;20;18,6;17,3;19,2;18,5;17,9;17,2;12,6;93;92;92;140;1,4;,5;
2023-01-01;0800;null;954,7;1014,8;954,7;954,3;null;19;18,4;17,2;18,6;18,2;17,4;17;12,6;93;92;93;256;2;1;
2023-01-01;0900;null;955,7;1015,9;955,7;954,7;null;19;18,3;17,1;18,4;18,2;17,2;17;12,6;93;93;93;296;2,1;1,5;
