Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89277777
Longitude: -41.51555555
Altitude: 467.17
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;962,8;1016;962,9;961,9;-3,5;27;24,8;19,6;25,9;24,7;19,7;19,1;12,4;73;66;73;88;10;5,7;
2023-01-01;0100;0;963,6;1017,1;963,6;962,8;-3;26;23,4;19,5;24,8;23,1;19,9;19,4;12,4;82;73;79;60;11,1;3,7;
2023-01-01;0200;0;963,8;1017,4;963,8;963,5;-3,4;25;22,8;18,7;23,5;22,8;19,4;18,7;12,4;79;77;78;63;8;2,4;
2023-01-01;0300;0;963,7;1017,3;963,9;963,7;-3,3;24;22,8;18,4;23;22,6;18,7;18,4;12,4;78;76;76;92;5,2;2,5;
2023-01-01;0400;0;963,1;1016,8;963,7;963,1;-3,4;24;21,9;18,6;22,8;21,9;18,7;18,3;12,4;82;76;82;80;4,8;2,9;
2023-01-01;0500;0;962,3;1016,1;963,1;962,3;-3,5;23;21,4;18,7;22;21,4;18,8;18,6;12,4;84;81;84;43;5,2;1,9;
2023-01-01;0600;0;961,9;1015,7;962,3;961,9;-3,5;23;21,3;18,8;21,5;21,3;18,9;18,6;12,3;86;84;86;80;4,9;1,8;
2023-01-01;0700;0;961,9;1015,7;961,9;961,6;-3,5;23;21;18,8;21,4;20,9;18,9;18,7;12,3;88;85;87;28;2,7;1,2;
2023-01-01;0800;0;962,6;1016,5;962,6;961,9;-3,5;22;20,9;18,8;21,2;20,9;18,9;18,7;12,2;88;87;88;233;2;,6;
2023-01-01;0900;0;962,9;1016,7;962,9;962,5;103,2;22;21,3;19,2;21,3;20,5;19,3;18,6;12,7;90;88;88;104;2,8;1,6;
