Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;933,9;1015,2;933,9;933,3;-3,5;25;22,9;20,3;23,2;22,9;21;20,3;12,3;88;85;85;139;2,8;,8;
2023-01-01;0100;0;934,7;1016,2;934,7;933,9;-3,5;24;22,4;20,7;23;22,3;20,7;19,8;12,3;90;82;90;310;3,9;2;
2023-01-01;0200;0;934,6;1016,5;934,7;934,5;-1,6;24;20,9;18,9;22,4;20,9;20,8;18,9;12,3;91;87;88;357;7,3;4,8;
2023-01-01;0300;23,4;934,2;1016,4;934,7;934,2;-1,3;22;19,8;19;20,9;19,7;19,1;18,6;12,3;95;88;95;353;8,9;4,7;
2023-01-01;0400;9;933,7;1015,8;934,3;933,7;-,2;22;19,8;19;19,8;19,7;19,1;19;12,3;96;95;96;47;6,8;3,2;
2023-01-01;0500;4,2;933,3;1015,4;933,8;933,2;-,8;21;19,8;19;19,8;19,6;19;18,9;12,3;96;96;96;352;5,2;2,6;
2023-01-01;0600;5,8;933,2;1015,3;933,4;933,2;-1,1;21;19,7;19;19,8;19,6;19,1;18,9;12,3;96;96;96;30;5,8;3,6;
2023-01-01;0700;,4;932,8;1014,9;933,2;932,8;-1,1;21;19,5;18,7;19,6;19,4;18,9;18,7;12,2;96;96;96;49;7,2;2,6;
2023-01-01;0800;,2;932,8;1015;932,9;932,7;-,4;21;19,3;18,4;19,5;19,3;18,8;18,4;12,2;96;94;94;30;4,6;1,7;
2023-01-01;0900;0;933,4;1015,6;933,4;932,8;46,4;21;19,5;18,5;19,5;19,3;18,5;18,3;12,2;94;94;94;27;2,7;1;
