Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.74777777
Longitude: -44.45388888
Altitude: 669.48
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;939,9;1015,4;939,9;939;-3,1;26;23,8;18,8;25,4;23,8;18,9;17,6;12,6;74;62;74;216;1,8;1,3;
2023-01-01;0100;0;940,2;1015,7;940,2;939,9;-2,9;26;23,8;18,8;24;23,8;19;18,5;12,6;74;71;74;178;2,3;1,5;
2023-01-01;0200;0;940,6;1016,1;940,7;940,2;-3;25;23,7;19,1;23,9;22,9;19,4;18,5;12,6;80;72;75;331;3;,3;
2023-01-01;0300;0;940,3;1015,8;940,6;940,3;-2,5;25;23,8;18,1;24,2;23,7;19,1;18;12,6;75;70;70;291;1,9;,1;
2023-01-01;0400;0;939,5;1015,2;940,3;939,5;-2;25;22,7;18,9;23,9;22,6;19,4;17,6;12,6;82;68;79;226;2,8;2;
2023-01-01;0500;0;939,2;1015;939,5;939,1;-2,9;24;22,3;18,3;22,7;22,3;19;18,3;12,5;81;78;78;219;3,2;,9;
2023-01-01;0600;0;939;1015;939,2;938,9;-3,4;23;21,4;18,8;22,3;21,4;18,8;18;12,5;85;77;85;246;4,4;2,8;
2023-01-01;0700;,6;939,2;1015,5;939,4;939;-3,4;23;20,5;19;21,4;20,5;19,3;18,8;12,5;91;85;91;227;6,1;4,6;
2023-01-01;0800;,2;939,3;1015,7;939,4;939,1;-2,6;22;20;18,5;20,5;20;19;18,5;12,4;91;91;91;224;6,1;2,1;
2023-01-01;0900;0;939,4;1015,8;939,5;939,2;49,9;22;20;18,7;20;19,8;18,7;18,5;12,5;92;91;92;154;3,7;1;
