Nome: ESPINOSA
Codigo Estacao: A543
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.36
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;949,6;1013,6;949,6;948,9;-3,5;26;23,7;18,3;24,7;23,6;18,5;17,5;12,6;73;64;71;null;null;null;
2023-01-01;0100;null;950,2;1014,6;950,2;949,6;-3,5;25;22,5;18,4;23,8;22,4;18,6;18,1;12,5;78;71;78;null;null;null;
2023-01-01;0200;null;950,6;1014,5;950,6;950,2;-3,5;25;24,5;17,6;24,8;22,4;18,5;17,5;12,5;79;64;66;null;null;null;
2023-01-01;0300;null;950,5;1014,6;950,8;950,5;-3,5;25;23,9;17,9;24,5;23,7;18,1;17,7;12,5;71;66;69;null;null;null;
2023-01-01;0400;null;949,9;1014;950,5;949,9;-3,5;25;23,6;18,3;23,9;23,4;18,5;17,8;12,5;74;69;72;null;null;null;
2023-01-01;0500;null;949,7;1013,8;950;949,6;-3,5;25;23,3;18,5;23,6;23,2;18,6;18,2;12,5;75;72;74;null;null;null;
2023-01-01;0600;null;949,6;1013,9;949,7;949,4;-3,5;24;22,6;18,4;23,3;22,6;18,5;18,1;12,5;77;74;77;null;null;null;
2023-01-01;0700;null;949,7;1014,2;949,7;949,5;-3,5;24;21,8;17,5;22,7;21,8;18,4;17,5;12,4;78;75;77;null;null;null;
2023-01-01;0800;null;949,9;1014,4;949,9;949,7;-3,5;23;21,7;16,6;22;21,7;17,6;16,5;12,4;77;72;73;null;null;null;
2023-01-01;0900;null;950,5;1015,1;950,5;949,9;26,7;22;21,5;16,5;21,7;21,3;16,6;16,4;12,5;74;72;73;null;null;null;
