Nome: GUARDA-MOR
Codigo Estacao: A546
Latitude: -17.56138888
Longitude: -47.19916666
Altitude: 997.01
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;,4;905,7;1017,5;905,7;905,3;-3,3;22;20,1;19,3;20,7;20,1;19,4;18,9;12,4;95;90;95;132;3,9;1,4;
2023-01-01;0100;0;906,3;1018,4;906,3;905,7;-2,7;22;19,6;18,9;20,1;19,6;19,3;18,9;12,4;96;95;96;138;3,9;,7;
2023-01-01;0200;0;907,1;1019,4;907,1;906,3;-1,9;21;19,3;18,6;19,6;19,3;18,9;18,6;12,4;96;96;96;69;4,4;,8;
2023-01-01;0300;5,8;906,1;1019;907,4;906,1;,2;20;17,4;16,7;19,4;17,3;18,7;15,9;12,3;96;86;96;102;11,2;0;
2023-01-01;0400;,2;904,7;1017,2;906,1;904,7;-2,8;19;18,1;16,2;18,2;17,4;16,7;16,1;12,3;96;87;89;87;,8;0;
2023-01-01;0500;0;903,9;1016,3;904,7;903,9;-,9;19;18;16,1;18,4;17,9;16,1;15,6;12,3;89;85;89;85;1,8;0;
2023-01-01;0600;0;903,4;1015,8;904;903,4;-2,5;19;17,9;16,4;18,2;17,7;16,4;16;12,3;91;88;91;142;,4;0;
2023-01-01;0700;0;903,4;1015,6;903,5;903,4;-3,2;19;18,4;17,7;18,4;17,9;17,7;16,5;12,3;96;91;96;111;0;0;
2023-01-01;0800;0;903,8;1016,2;903,8;903,4;-3,1;19;18;17,3;18,5;17,9;17,8;17,3;12,2;96;96;96;106;2,2;,1;
2023-01-01;0900;0;904,8;1017,1;904,8;903,8;11,3;19;18,6;18,1;18,6;17,9;18,1;17,3;12,2;97;96;97;66;1,4;0;
2023-01-01;1000;0;905,7;1018;905,7;904,8;105,1;20;18,8;18,3;18,8;18,6;18,3;18,1;12,4;97;97;97;11;2;0;
2023-01-01;1100;0;906;1017,9;906;905,6;222,3;20;19,8;18,8;19,8;18,8;18,9;18,3;12,6;97;94;94;120;0;0;
2023-01-01;1200;0;906,3;1017,9;906,4;906;648,2;21;20,8;18,7;20,8;19,8;18,7;17,9;13,1;94;86;88;77;2,4;,1;
2023-01-01;1300;0;906,4;1017,7;906,5;906,3;1420,2;22;21,4;18,5;21,5;20,6;18,9;17,8;13,7;88;83;83;45;4,8;1,9;
2023-01-01;1400;0;906,1;1017,3;906,4;906,1;1779,4;24;21,6;18,8;22,1;21,3;19,6;18,3;14,1;87;82;84;50;5,6;2;
2023-01-01;1500;0;905,7;1016,5;906,2;905,7;1812,1;24;22,6;19,4;22,7;21,6;20;18,8;14,1;86;81;82;22;5,6;,9;
2023-01-01;1600;0;905,2;1015,5;905,8;905,2;2531,5;25;23,7;20,3;23,7;22,4;20,3;18,7;14,1;84;76;81;15;3,8;1,4;
2023-01-01;1700;0;904,2;1014;905,2;904,2;2615,4;27;24,6;19,3;25,1;23,5;20,6;18,8;14,1;81;71;72;4;3,4;,1;
2023-01-01;1800;0;903,3;1013;904,2;903,3;2059,1;28;24,5;18,9;25,6;24,3;20,5;18,4;14,1;76;67;71;8;2,5;0;
2023-01-01;1900;0;902,2;1011,4;903,3;902,2;2394,6;29;25,5;18,6;26,1;24,5;19,9;17,6;14,1;71;61;66;15;3,2;,5;
2023-01-01;2000;0;902,2;1011,4;902,3;902,1;1822,4;29;25,6;18,8;26;25,3;19,5;18;13,7;69;62;66;25;3,3;,3;
2023-01-01;2100;0;902,4;1012;902,5;902,2;859,1;29;24,7;19,4;25,7;24,7;19,7;18,1;13,1;73;63;72;53;2,8;0;
2023-01-01;2200;0;903,3;1013,8;903,3;902,4;73,2;27;22,7;19,5;24,7;22,7;19,9;19,3;12,4;83;72;82;113;1,7;0;
2023-01-01;2300;0;903,9;1014,8;903,9;903,2;-3,5;25;21,8;19,7;22,7;21,6;19,7;19,2;12,4;89;82;88;99;0;0;
2023-01-02;0000;0;904,2;1015,2;904,5;903,9;-3,5;24;21,6;18,2;22;21,2;19,8;18,2;12,4;88;81;81;81;2;,3;
2023-01-02;0100;0;904,9;1015,9;904,9;904,2;-3,5;23;21,7;17,6;22,5;21,4;18,1;17,1;12,4;81;72;78;57;2,2;,5;
2023-01-02;0200;0;904,9;1016,2;905,2;904,8;-3,5;23;21,1;18,1;21,8;21,1;18,6;17,4;12,4;84;76;83;98;3,4;,4;
2023-01-02;0300;0;904,2;1015,9;904,9;904,2;-3,5;22;19,9;18,6;21,1;19,9;18,9;18,2;12,4;92;83;92;97;3,3;0;
2023-01-02;0400;0;903,7;1015,3;904,2;903,6;-3,5;22;19,9;18;20,3;19,8;18,6;18;12,4;93;88;88;56;3;1,3;
2023-01-02;0500;0;903,2;1014,8;903,7;903,1;-3,5;21;19,7;17,9;20;19,4;18;17,8;12,3;91;88;89;40;3;0;
2023-01-02;0600;0;903;1014,5;903,2;902,9;-3,5;21;20;18,2;20;19,6;18,3;17,8;12,3;91;89;90;79;2,3;0;
2023-01-02;0700;0;903,3;1015,1;903,3;903;-3,5;21;19,3;18,1;20;19,3;18,3;18,1;12,3;93;90;93;99;1,5;0;
2023-01-02;0800;0;903,4;1015,3;903,5;903,3;-3,3;21;19,2;18,1;19,5;19,2;18,2;18;12,3;93;92;93;110;0;0;
2023-01-02;0900;0;904,2;1016,1;904,2;903,3;10,5;20;19,3;18,3;19,4;19,2;18,4;18,1;12,3;94;93;94;124;2;0;
2023-01-02;1000;0;904,3;1015,4;904,5;904;538,9;21;21,5;19,1;21,5;19,2;19,3;18,2;12,8;94;85;86;83;3;,4;
2023-01-02;1100;0;904,5;1015,3;904,5;904,3;1460,7;23;22,3;18,8;22,4;21,5;19,4;18,6;13,2;87;80;81;49;5,5;2,3;
2023-01-02;1200;0;904,8;1015;904,8;904,5;2279,5;25;23,8;19;23,8;22,2;19,4;18,1;14,1;82;72;75;36;5,6;2,3;
2023-01-02;1300;0;905,1;1014,9;905,3;904,8;3215,8;26;25;19,1;25;23,3;19,6;18;14,1;76;69;70;24;6,7;2,2;
2023-01-02;1400;0;904,6;1014,3;905,1;904,6;2009,5;27;25;18;25,1;23,9;19,1;17,9;14,1;73;65;65;24;4,6;1,9;
2023-01-02;1500;0;904;1013,7;904,6;904;2240,6;28;24,8;18,3;25,6;24,7;19,3;17,7;14,1;69;64;67;19;4,7;1,6;
2023-01-02;1600;0;903;1012,4;904;903;2782,5;28;25,3;17,8;26,9;24,6;19,4;17,3;14,1;68;58;63;355;5,2;1,5;
2023-01-02;1700;0;901,9;1010,6;903;901,8;3241,4;29;26,7;18;27,2;25,1;19;16,7;14,1;67;55;59;7;4,7;1;
2023-01-02;1800;0;901,1;1010,4;901,9;901,1;1146,8;29;25;18,7;27,7;24,5;19,7;16,4;14,1;72;52;68;39;3,2;0;
2023-01-02;1900;0;900,1;1009,2;901,1;900;1133,2;29;25,2;19;25,9;24,9;19,7;17,7;13,8;70;62;69;24;2,9;0;
2023-01-02;2000;0;899,7;1008,3;900,1;899,6;1202,8;28;26,3;18,7;26,3;25,2;19,5;18,1;14,1;70;62;63;50;3,5;1,1;
2023-01-02;2100;0;900,3;1009,6;900,3;899,6;867,7;29;24,6;18,8;26,4;24,6;19,1;17,4;13,2;71;59;70;45;3,6;,2;
2023-01-02;2200;0;900,8;1010,5;901;900,3;48,2;27;23,9;18,2;24,6;23,9;18,9;17,8;12,4;72;68;71;91;1,8;0;
2023-01-02;2300;0;901,7;1012,2;901,7;900,7;-3,5;26;22,2;18,9;23,9;22,2;19,3;18;12,4;81;70;81;123;0;0;
2023-01-03;0000;0;902,7;1013,5;902,7;901,7;-3,5;24;21,7;19;22,5;21,7;19,2;18,6;12,4;85;80;85;134;1,5;0;
2023-01-03;0100;0;902,9;1013,7;902,9;902,5;-3,5;24;21,7;18,9;22,2;21,7;19,3;18,7;12,4;85;82;84;134;1,7;0;
