Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;957,8;1013,5;957,9;957,3;-3,3;26;24,2;21,9;24,4;24,2;22;20,1;12,8;87;77;87;187;1,3;0;
2023-01-01;0100;0;958,3;1014,1;958,4;957,8;-2,5;25;23,6;21,6;24,2;23,6;21,9;21,6;12,8;89;87;89;208;,9;0;
2023-01-01;0200;0;958,8;1014,7;958,9;958,4;-2,2;24;23,4;21,9;23,6;22,8;21,9;21;12,8;91;89;91;189;1,3;,6;
2023-01-01;0300;0;958,5;1014,3;958,9;958,5;-2,9;24;24;21,3;24,2;23,4;21,9;20,9;12,8;91;82;85;191;2;,1;
2023-01-01;0400;0;958,3;1014,1;958,7;958,2;-3,3;24;23,7;21,1;24,1;23,7;21,5;21,1;12,8;86;85;86;183;2,7;1,3;
2023-01-01;0500;0;957,6;1013,5;958,3;957,5;-3,1;24;23;20,8;23,7;23;21,2;20,8;12,7;87;85;87;189;3,3;1,4;
2023-01-01;0600;0;957,4;1013,5;957,6;957,4;-3;23;22,1;20,5;23;22;20,8;20,4;12,7;91;87;91;159;2,1;1,2;
2023-01-01;0700;0;957,6;1013,8;957,8;957,4;-2,5;23;21,6;20,4;22,2;21,5;20,6;20,3;12,7;93;90;93;150;2,8;1,1;
2023-01-01;0800;0;958,2;1014,4;958,3;957,7;-2,8;22;21,6;20,4;21,7;21,4;20,4;20,1;12,7;93;92;93;86;1,9;,2;
2023-01-01;0900;0;959;1015,4;959,1;958,1;21,6;22;21,1;19,2;22,1;21,1;20,6;19,2;12,7;93;88;89;104;4,3;,6;
