Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.75166666
Longitude: -41.45777777
Altitude: 754.07
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;931,2;1016,7;931,3;930,2;-3,5;23;20,8;18,2;21,5;20,8;18,6;18,2;12,8;86;83;85;83;3,8;1,6;
2023-01-01;0100;0;931,4;1017,1;931,5;930,9;-3,5;22;20,1;18,3;20,8;19,6;18,3;17,7;12,8;90;85;89;349;4,2;,6;
2023-01-01;0200;0;931,6;1017,5;931,6;931,3;-3,5;21;19,6;17,7;20,1;19,5;18,1;17,6;12,8;90;87;89;327;5;0;
2023-01-01;0300;0;931,4;1017,4;931,6;931,4;-3,5;21;19,4;17,5;19,7;18,9;18;17,5;12,8;93;88;89;85;2,1;,2;
2023-01-01;0400;0;930,8;1016,6;931,4;930,8;-3,5;21;19,6;17,7;19,7;18,5;17,9;17;12,8;93;88;88;87;4,4;1,8;
2023-01-01;0500;0;930,4;1016,2;930,8;930,4;-3,5;21;19,6;17,8;19,8;19,5;17,9;17,6;12,7;90;87;89;45;3,1;,1;
2023-01-01;0600;0;930,5;1016,5;930,5;930,3;-2,8;21;19;17,6;19,6;19;18;17,6;12,7;92;89;92;104;1,2;,1;
2023-01-01;0700;0;930,3;1016,5;930,5;930,3;-3,2;20;18,3;17,3;19,2;18,3;18,1;17,3;12,7;95;92;94;116;3;1,2;
2023-01-01;0800;0;930,6;1017,2;930,6;930,3;-3,5;20;17,2;16,4;18,3;17,2;17,4;16,4;12,7;96;94;95;124;2;,2;
2023-01-01;0900;0;931,1;1017,9;931,2;930,6;73,8;19;16,7;16,1;17,2;16,7;16,6;16,1;12,8;96;95;96;34;1,9;1,2;
2023-01-01;1000;,2;931,6;1017,3;931,6;931,1;855,8;20;20,2;17,2;20,2;16,7;17,7;16,1;13,1;97;83;83;40;3,6;1,7;
2023-01-01;1100;0;931,9;1017,3;931,9;931,6;938,8;21;21,3;16,8;21,4;19,8;17,4;16,5;13,4;85;74;75;62;6,8;4;
2023-01-01;1200;0;931,8;1016,4;932;931,8;2611,9;23;24,1;17,2;24,2;21,3;17,8;16,6;13,7;75;64;65;65;6,8;3,2;
2023-01-01;1300;0;931,5;1015,8;931,8;931,5;2608,9;25;25;17,3;25;23,2;17,8;16,4;13,7;68;60;62;79;7,4;4,1;
2023-01-01;1400;0;931,1;1015;931,5;931,1;3759,5;27;26,2;16,8;26,6;24,7;18,1;16,5;13,5;64;56;56;68;7,6;4,2;
2023-01-01;1500;0;930,4;1014,2;931,1;930,4;3219,1;28;26,4;17,8;27,1;25,7;17,8;16,1;13,5;61;52;59;71;9,1;3,9;
2023-01-01;1600;0;930;1013,6;930,4;930;3088,8;28;26,8;17,3;27,2;25,2;18,9;16,8;13,6;63;56;56;69;8,9;3,4;
2023-01-01;1700;0;929,2;1012,9;930;929,2;2353,2;29;26,2;18,1;27,3;26,1;18,4;16,7;13,6;61;54;61;75;6,3;3,7;
2023-01-01;1800;0;928,5;1012,2;929,2;928,5;2107,1;29;26;17,4;27,3;26;18,3;16,5;13,2;61;54;59;114;6,3;3,1;
2023-01-01;1900;0;928,4;1012,2;928,6;928,3;1641,8;29;25,8;17,6;26,6;25,6;19,5;17,5;13,6;67;58;60;123;6,7;4,2;
2023-01-01;2000;0;928,7;1012,6;928,7;928,4;1140,5;28;25,6;17,2;26;25,1;18,1;17,2;13,2;65;59;59;111;7,2;3,8;
2023-01-01;2100;0;929;1013,3;929;928,7;347,9;27;24,1;16,2;25,7;24,1;17,4;16,1;13;62;59;62;104;6,3;3;
2023-01-01;2200;0;929,2;1014,3;929,4;929;12;25;21,4;17,2;24,1;21,4;17,2;16;12,9;77;61;77;107;5,9;1,4;
2023-01-01;2300;0;929,9;1015,6;929,9;929,2;-3,5;23;19,9;17,4;21,4;19,9;17,9;17;12,8;86;77;86;268;2,6;0;
2023-01-02;0000;0;930,5;1016,6;930,5;929,9;-3,5;21;18,6;17,2;20;18,6;17,9;17,1;12,8;91;85;91;19;2,7;,8;
2023-01-02;0100;0;931,1;1016,9;931,1;930,5;-3,5;20;19,8;18,1;19,8;18,4;18,2;17;12,8;93;90;90;347;2,3;,3;
2023-01-02;0200;0;930,8;1016,6;931,2;930,7;-3,5;21;19,8;17,7;20,2;19,7;18,1;17,7;12,8;90;87;88;60;4,5;2;
2023-01-02;0300;0;930,6;1016,6;930,8;930,6;-3,5;21;19,1;17,1;20,1;19,1;17,9;17,1;12,8;91;86;88;95;4,5;1,2;
2023-01-02;0400;0;930,1;1016;930,6;930;-3,5;21;19,2;17,3;19,6;18,7;17,7;17;12,7;92;88;89;101;4,7;1,6;
2023-01-02;0500;0;930,1;1016,1;930,2;930;-3,5;20;18,8;17,6;19,2;18;17,7;16,7;12,7;94;89;93;128;2,3;0;
