Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;959,3;1015,2;959,3;958,4;-3,5;25;21,5;20;22,3;21,5;20,2;19,8;12,5;91;86;91;18;1,4;,5;
2023-01-01;0100;0;960,1;1016,2;960,1;959,2;-3,5;24;21,1;19,6;21,8;21,1;20,1;19,5;12,5;92;90;91;251;1,6;,7;
2023-01-01;0200;0;960,6;1016,6;960,6;960,1;-3,2;23;21,8;19,9;21,8;21,1;20,1;19,5;12,4;91;89;89;23;4;,7;
2023-01-01;0300;0;960,2;1016;960,6;960,2;-3,5;23;22,4;18,8;22,4;21,8;19,9;18,8;12,4;89;80;80;49;5,4;2,4;
2023-01-01;0400;0;959,9;1015,7;960,3;959,9;-3,4;23;22,3;19;22,7;22,3;19,3;18,6;12,4;83;78;82;66;5,4;,5;
2023-01-01;0500;0;959,6;1015,4;959,9;959,6;-2,8;23;22,4;18,3;22,5;22,3;19,3;18,3;12,4;83;78;78;88;3;1,2;
2023-01-01;0600;0;959,5;1015,3;959,6;959,5;-2,5;23;22,1;17,7;22,4;22;18,7;17,6;12,4;81;75;76;75;3,7;1;
2023-01-01;0700;0;959,3;1015,1;959,5;959,3;-2,8;23;22,1;17,4;22,3;21,8;18,3;17,1;12,3;80;72;75;85;3,5;,8;
2023-01-01;0800;0;959,7;1015,7;959,7;959,2;-2,6;23;21,4;18,3;22,1;21,4;18,7;17,4;12,3;84;75;83;69;2,4;,5;
2023-01-01;0900;0;960,5;1016,4;960,5;959,7;139,6;22;22;18,7;22;20,8;19;18,3;12,6;88;81;82;94;1,7;,8;
2023-01-01;1000;0;960,8;1016,6;960,8;960,4;596,6;23;22,6;17,8;22,8;22;18,9;17,8;13;82;73;74;75;2,9;1,1;
2023-01-01;1100;0;961;1016,4;961;960,8;1510,3;24;24,6;17,7;24,6;22,6;18,5;17,6;13,7;76;66;66;76;4,1;1,4;
2023-01-01;1200;0;961;1016,3;961,1;960,9;2567,3;27;25,4;18;26,3;24,6;19,3;17;14;69;59;64;70;4,3;1,7;
2023-01-01;1300;0;960,7;1015,7;961,1;960,7;3102,9;29;27,1;18,2;27,7;25,1;18,9;16,7;14,4;65;54;58;30;4,6;1,6;
2023-01-01;1400;0;960;1014,8;960,7;960;3421,4;31;27,9;19,1;28,9;27;19,2;17;14,4;60;50;59;40;4,6;1,4;
2023-01-01;1500;0;959,1;1013,5;960;959,1;3126;32;29,4;16,9;30,4;27,9;19,5;15,7;14,3;60;42;47;104;5,1;1,9;
2023-01-01;1600;0;958,3;1012,7;959,1;958,3;2747,7;33;29,3;18;31,1;28,7;18,5;15,1;14,4;52;38;50;49;5,1;2,1;
2023-01-01;1700;0;957,5;1011,8;958,3;957,5;2812,9;34;29,5;16,1;31,4;29,4;19;14,4;14,3;52;37;44;117;4,1;1,9;
2023-01-01;1800;0;957;1011;957,5;957;1907,5;34;31;17,6;31,7;28,9;18,7;15;14,3;54;40;45;150;7,9;3,1;
2023-01-01;1900;0;956,8;1011,3;957;956,8;1022,3;34;28,1;18,9;31;28;19,5;17,1;13,6;58;44;58;133;7,9;1,8;
2023-01-01;2000;0;956,9;1011,4;956,9;956,7;1097,9;33;28,2;18,4;30,6;28,1;20,5;17,6;13,4;59;46;55;94;6,3;2,8;
2023-01-01;2100;0;957,2;1012,1;957,2;956,9;133,9;31;26,4;18,8;28,2;26,4;18,8;18,1;12,5;63;55;63;93;6,5;1,3;
2023-01-01;2200;0;957,5;1012,9;957,5;957,2;8,8;28;23,8;18,8;26,4;23,8;19,5;18,2;12,5;76;61;74;262;2,8;,6;
2023-01-01;2300;0;958,3;1013,9;958,3;957,5;-3,5;26;22,9;19,2;23,8;22,4;19,4;18,7;12,5;83;74;80;328;2,1;,6;
2023-01-02;0000;0;959,1;1015,2;959,1;958,3;-3,5;24;20,8;18,7;22,8;20,8;19,3;18,7;12,5;88;80;87;279;1,7;,6;
2023-01-02;0100;0;959,6;1015,8;959,6;959,1;-3,5;23;20,3;18,9;20,8;20;19;18,4;12,5;92;87;92;44;1,7;,7;
2023-01-02;0200;0;959,9;1016,3;959,9;959,6;-3,5;22;19,5;18,2;20,4;19,5;18,9;18,2;12,5;92;91;92;346;1,7;0;
2023-01-02;0300;0;959,7;1016,1;960;959,7;-3,5;21;19,1;17,9;19,5;19,1;18,2;17,9;12,4;93;92;93;250;1;0;
2023-01-02;0400;0;959,5;1016;959,7;959,5;-3,4;20;18,9;17,7;19,1;18,8;17,9;17,6;12,4;93;93;93;262;1,7;,4;
2023-01-02;0500;0;959,2;1015,4;959,6;959,1;-1,6;20;20;18,6;20;18,9;18,6;17,7;12,4;93;92;92;260;1,6;0;
2023-01-02;0600;0;958,4;1014,5;959,2;958,4;-1,1;21;20,6;18,7;20,8;20;19;18,6;12,3;92;88;89;307;1,3;,6;
2023-01-02;0700;0;958,2;1014,3;958,5;958,2;-2,1;21;20,6;19;20,7;20,5;19,1;18,7;12,3;91;88;91;146;1,3;0;
2023-01-02;0800;0;958,8;1014,8;958,8;958,2;-2,6;21;20,9;18,9;21;20,6;19,2;18,7;12,3;91;87;89;222;1,5;,8;
2023-01-02;0900;0;959,6;1015,6;959,6;958,8;33,5;22;21,2;19,2;21,2;20,8;19,3;18,9;12,3;91;88;88;250;1,2;0;
2023-01-02;1000;0;960,1;1016;960,1;959,6;180,3;22;21,8;18,7;21,8;21,2;19,6;18,7;12,7;90;83;83;73;1,3;,6;
2023-01-02;1100;0;960,5;1016;960,5;960;1454,6;24;24,4;18,7;24,7;21,8;19,5;17,2;13,2;83;65;71;122;2,3;,8;
2023-01-02;1200;0;960,7;1016,1;960,8;960,4;1130,9;26;24,8;18,6;25,1;24;19,2;17,7;14;73;66;69;157;3,1;1,7;
2023-01-02;1300;0;960,3;1015,3;960,8;960,3;2116;28;26,6;18,5;26,7;24,6;19,3;17,4;14,4;70;57;61;131;3,5;1,5;
2023-01-02;1400;0;959,7;1014,9;960,4;959,7;1417,7;29;25,7;18,5;26,6;25,4;18,7;17,2;14,4;65;59;65;222;4,2;1,3;
2023-01-02;1500;0;958,7;1013,3;959,7;958,7;3079,7;30;28,4;17,4;28,7;25,7;19,7;17,4;14,3;66;51;51;165;3,4;1,4;
2023-01-02;1600;0;957,7;1012;958,7;957,7;2926,5;31;29,7;18,9;29,9;27,2;19,6;17,2;14,4;60;49;52;159;3,3;1;
