Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0300;0;958,9;1012,5;959,5;958,9;-3,6;22;22;21,3;22,3;21,7;21,6;21,1;12,7;98;94;96;32;3,6;1,7;
2023-01-01;0400;0;958,5;1012,2;958,9;958,5;-3,6;22;21,4;21,2;22;21,2;21,7;20,9;12,7;100;96;99;24;2,8;1,6;
2023-01-01;0500;0;958,5;1012,2;958,6;958,4;-3,6;22;21,4;21,4;21,8;21,3;21,4;20,9;12,7;100;95;100;206;3,4;,4;
2023-01-01;0600;0;958,5;1012,2;958,5;958,4;-3,6;21;21;21;21,5;20,7;21,3;20,6;12,7;100;98;100;341;2,3;,8;
2023-01-01;0700;0;958,7;1012,5;958,8;958,4;-3,6;21;20,8;20,7;21;20,5;20,9;20,4;12,6;100;97;99;20;2,2;1,2;
2023-01-01;0800;0;959,3;1013,2;959,3;958,7;-3,6;21;20,5;20,5;21;20,5;20,8;20,5;12,6;100;98;100;9;2,8;1,1;
2023-01-01;0900;0;959,9;1013,8;959,9;959,3;32,1;21;20,5;20,5;20,5;20,1;20,5;20,1;12,9;100;100;100;6;2,9;1,4;
