Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0200;0;954,4;1014,6;954,4;954,1;-3,5;26;25;19,2;25,7;25;19,2;18,9;12,7;70;66;70;null;null;null;
2023-01-01;0300;0;954,1;1014,5;954,5;954,1;-3,6;26;23,7;19,1;25,3;23,7;19,2;18,7;12,6;76;68;76;null;null;null;
2023-01-01;0400;0;953,6;1014,4;954,1;953,6;-3,6;24;22,1;19,6;23,7;21,9;19,6;19;12,6;87;75;86;null;null;null;
2023-01-01;0500;0;953,4;1014,4;953,6;953,4;-3,6;23;21;19,7;22,1;21;20,3;19,4;12,6;94;85;92;null;null;null;
2023-01-01;0600;0;953,4;1014,5;953,5;953,3;-3,6;22;20,4;20;21;20,4;20,2;19,5;12,6;99;91;98;null;null;null;
2023-01-01;0700;0;953,4;1014,7;953,4;953,3;-3,6;21;19,5;19,5;20,5;19,5;20;19,5;12,6;100;97;100;null;null;null;
2023-01-01;0800;0;953,6;1014,7;953,6;953,3;-3,6;21;20,6;19,6;20,6;19,4;20,1;19,4;12,5;100;94;94;null;null;null;
2023-01-01;0900;0;954,1;1015,1;954,1;953,6;62;21;20,9;20,1;21,1;20,6;20,1;19,3;13,1;97;90;95;null;null;null;
