Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-01;0200;0;980,2;1015,7;980,3;979,8;-2,3;25;24;18,1;24,5;23,9;18,4;17,7;12,7;71;66;70;117;5,8;,5;
2023-01-01;0300;0;980;1015,4;980,3;980;-1,8;25;24,7;18,3;24,8;23,9;18,9;18;12,7;74;67;67;83;5,5;3;
2023-01-01;0400;0;979,8;1015,3;980;979,7;-2,2;26;23,9;18,5;24,7;23,9;19;18,1;12,7;74;67;72;208;5,5;0;
2023-01-01;0500;0;979,4;1015;979,8;979,4;-2,7;25;23,4;18,3;23,9;23,4;19,3;18,2;12,6;76;70;73;87;2,2;0;
2023-01-01;0600;0;979,1;1014,9;979,4;979,1;-3,6;24;21,2;18,2;23,4;21,2;18,7;18,2;12,6;83;73;83;118;1,4;0;
2023-01-01;0700;0;979,3;1015,2;979,4;979,1;-3,6;23;20,6;17,8;21,2;20,6;18,3;17,8;12,6;84;83;84;106;0;0;
2023-01-01;0800;0;979,7;1015,6;979,7;979,3;-3,6;22;20,6;17,5;20,8;20,4;18;17,5;12,5;85;82;82;29;1,3;,1;
2023-01-01;0900;0;980,5;1016,4;980,5;979,7;121,3;22;21;18,1;21;19,8;18,1;17,1;13;85;82;83;124;1,3;0;
