Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;933,7;1015,2;933,8;932,6;-2,6;23;21,1;20,6;21,8;21;20,6;18,3;12,5;97;83;97;158;1,8;1,2;
2023-01-01;0100;0;934;1015,4;934,1;933,7;-1,8;23;21,4;21,3;21,6;21,1;21,3;20,5;12,5;100;97;99;288;2,2;,3;
2023-01-01;0200;,4;934,6;1016;934,6;934;-2,3;23;21,8;19;22;21,4;21,4;18,9;12,5;99;84;84;167;4,8;3,1;
2023-01-01;0300;2,2;934,2;1015,8;934,8;934,2;-3,1;22;20,8;20;21,8;20,7;20,2;18,9;12,5;96;84;95;189;5,3;3,5;
2023-01-01;0400;,2;933,5;1015,2;934,4;933,5;-2,3;22;20,5;20;20,8;20,4;20,3;20;12,5;99;95;97;171;4,9;2,8;
2023-01-01;0500;0;932,2;1014;933,5;932;-2,7;21;19,8;19,8;20,5;19,8;20;19,6;12,5;100;97;100;105;4,3;,7;
2023-01-01;0600;0;932,1;1013,8;932,2;931,9;-2,5;21;20;19,9;20,1;19,7;20,2;19,8;12,4;null;99;99;145;2;,9;
2023-01-01;0700;0;932,5;1014,3;932,6;932,1;-1,9;21;19,6;19,9;20;19,4;19,9;19,5;12,4;null;99;null;163;1,9;,9;
2023-01-01;0800;0;932,9;1014,9;932,9;932,6;-1,9;21;19,3;19,7;19,7;19,3;20;19,7;12,4;null;null;null;179;1,6;,5;
2023-01-01;0900;0;933,2;1015,1;933,3;932,8;12,9;21;19,7;20,1;19,7;19,3;20,1;19,6;12,4;null;null;null;130;2,8;1;
2023-01-01;1000;0;933,6;1015,2;933,6;933,2;237,1;21;20,8;20,5;20,8;19,7;20,9;20,1;13;null;98;98;183;2,6;1,9;
2023-01-01;1100;0;933,9;1015,3;934,1;933,6;313,1;23;21,7;20,9;21,7;20,8;21;19,7;13,1;98;90;95;151;2,6;,8;
2023-01-01;1200;0;934,4;1015,5;934,4;933,9;661,8;25;22,9;19,2;23,1;21,7;20,9;19;13,7;95;78;80;20;1,8;,7;
2023-01-01;1300;0;934,6;1015,4;934,8;934,4;835,9;26;24;19,7;24;22,8;19,7;18,4;14,2;81;73;76;54;2,2;1,1;
2023-01-01;1400;,8;934,4;1015,5;934,7;934,4;507,6;27;22,8;19,7;24,2;22,8;19,8;18,4;13,2;83;71;83;88;2,1;,8;
2023-01-01;1500;1,2;934,1;1015,2;934,5;934,1;359,4;26;22,7;19,9;22,8;22,5;20;19,4;14,2;86;82;85;153;1,4;,7;
2023-01-01;1600;,4;933,5;1014,2;934,2;933,5;1351,4;26;24;20,4;24,1;22,6;21,6;19,6;14,2;93;79;81;94;3,7;2;
2023-01-01;1700;0;932,5;1012,8;933,5;932,4;2366,9;29;25,1;19;25,7;23,8;20,7;18,6;14,2;81;68;69;76;5,5;2,9;
2023-01-01;1800;0;932,1;1012,6;932,6;932;1283,8;29;24,2;18,7;25,8;24,1;19,9;18,3;13,1;72;67;72;75;5,9;2,1;
2023-01-01;1900;0;931,9;1012,5;932,1;931,8;205,2;27;23,6;18,7;24,1;23,5;19,2;18,4;13,1;76;70;74;111;4,1;1,4;
2023-01-01;2000;0;931,5;1011,8;931,8;931,2;848;27;24,6;18,6;25,2;23,6;19,6;18,6;13,3;75;68;69;71;3,8;1,7;
2023-01-01;2100;0;932,3;1013,4;932,3;931,5;139,3;27;22;18,3;24,6;22;19;18,2;12,8;80;68;80;332;8;5;
2023-01-01;2200;14,4;932,9;1014,7;932,9;932,3;6,4;24;19,9;20,3;22;19,8;20,3;18,4;12,5;null;80;null;269;8;,8;
2023-01-01;2300;,2;933,6;1015,4;933,7;932,7;-1,6;22;19,9;20,3;20,1;19,8;20,4;20,2;12,5;null;null;null;205;2,7;1,2;
2023-01-02;0000;0;934,3;1016,2;934,3;933,5;-1,6;22;20;20,4;20;19,8;20,5;20,2;12,5;null;null;null;166;2,6;1;
2023-01-02;0100;,4;933,5;1015,3;934,3;933,5;-1,7;21;20;20,5;20;19,9;20,5;20,3;12,5;null;null;null;65;2,6;1,6;
2023-01-02;0200;,4;933,5;1015,3;933,8;933,2;-1,8;21;20;20,3;20,3;19,9;20,8;20,3;12,5;null;null;null;170;3,9;1,1;
2023-01-02;0300;,6;934;1015,8;934,1;933,5;-1,5;21;20,3;20,3;20,3;20;20,5;20,2;12,5;null;100;100;213;4,9;2,5;
2023-01-02;0400;,6;932,7;1014,6;934;932,7;-1,9;21;19,6;20;20,3;19,6;20,2;20;12,5;null;99;null;156;4;1,3;
2023-01-02;0500;,2;932,3;1014;932,8;932,2;-1,8;21;20;20,4;20,1;19,6;20,6;20;12,4;null;null;null;151;3,3;1,1;
2023-01-02;0600;0;932,2;1013,9;932,5;932,1;-1,5;21;19,9;20,1;20;19,8;20,4;20;12,4;null;null;null;168;4,7;2,8;
2023-01-02;0700;0;931,6;1013,3;932,3;931,6;-1,7;21;19,8;19,9;20;19,8;20,2;19,9;12,4;null;null;null;144;4,9;1;
2023-01-02;0800;,2;931,8;1013,6;931,8;931,4;-1,8;21;19,5;19,9;19,8;19,4;20;19,7;12,3;null;null;null;192;2,2;,5;
2023-01-02;0900;0;932,3;1014,1;932,4;931,6;3;21;19,5;19,5;19,8;19,3;20,1;19,5;12,3;null;100;100;184;4,2;1,2;
2023-01-02;1000;0;933,4;1015,3;933,5;932,1;66,1;21;19,8;19,8;20,2;19,3;20;19,4;12,6;null;96;100;116;4,2;,4;
2023-01-02;1100;0;933,7;1015,3;934;933,4;251,2;21;20,7;20,4;20,7;19,8;20,6;19,8;13,1;null;98;98;323;2,5;,3;
2023-01-02;1200;0;933,4;1014,5;933,8;933,4;851;23;22,4;19,4;22,5;20,7;20,5;18,8;14,2;98;82;83;96;2,5;1,5;
2023-01-02;1300;0;933,9;1014,9;934;933,4;1603,7;26;23,1;18,7;23,5;22,4;19,4;18;14,2;83;73;76;344;4,9;3;
2023-01-02;1400;0;933,6;1014,3;934;933,6;1574,6;27;23,9;18,5;24;23,1;19;17,8;14,2;77;71;72;358;6,4;3,4;
2023-01-02;1500;0;932,8;1013,2;933,7;932,7;2300,3;29;24,8;18,4;25,1;23,9;19,7;17,6;14,2;74;63;68;327;6,8;4,2;
2023-01-02;1600;,2;932;1012,1;932,8;932;2942,7;29;25,4;18,8;25,6;24;19,5;18;14,2;72;64;67;2;6,9;3,6;
2023-01-02;1700;0;930,4;1010,2;932;930,4;2838,7;30;26,1;18,8;26,7;25,4;19,6;18;13,6;69;61;64;8;6,7;3,3;
2023-01-02;1800;0;929,6;1009;930,4;929,5;2622,5;31;27,5;18,1;27,5;25,8;19,3;16,6;14,1;66;52;57;358;6,3;3,1;
2023-01-02;1900;0;928,9;1008,3;929,6;928,9;1989,6;32;27,1;17,2;28,3;26,2;19,2;16,7;14,1;60;52;54;15;5,9;2,9;
