Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;966,2;1017;966,2;965,5;-2,5;22;20,5;18,7;20,9;20,5;19,1;18,7;12,9;90;89;89;20;3,5;,9;
2023-01-01;0100;0;966,3;1017,1;966,5;966,2;-1,2;22;20,5;18,8;20,6;20,3;18,8;18,6;12,9;90;89;90;120;3,4;1,2;
2023-01-01;0200;0;966,1;1017;966,6;966;-2,4;22;20,2;18,5;20,6;20,2;18,8;18,5;12,9;90;89;90;47;2,7;1,5;
2023-01-01;0300;0;964,5;1015,3;966,1;964,5;-3;22;20,3;18,6;20,3;20,1;18,6;18,3;12,9;90;90;90;114;4,2;3;
2023-01-01;0400;0;964;1014,8;964,5;963,8;-3,1;21;20;18,3;20,5;20;18,8;18,3;12,8;90;90;90;173;5,5;1,8;
2023-01-01;0500;0;963,5;1014,3;964;963,4;-1,9;21;19,9;18,4;20;19,6;18,4;18,1;12,8;91;90;91;28;3,7;2,2;
2023-01-01;0600;0;963,4;1014,2;963,5;963,4;-2,3;21;19,9;18,4;20;19,7;18,5;18,2;12,8;91;91;91;37;3;1,1;
2023-01-01;0700;0;963,5;1014,2;963,5;963,3;-1,1;21;20,1;18,5;20,1;19,8;18,5;18,3;12,8;91;91;91;99;1,9;,6;
2023-01-01;0800;0;963,6;1014,4;963,6;963,4;-1,8;21;20;18,5;20,3;20;18,7;18,5;12,7;91;91;91;100;1,8;1,1;
2023-01-01;0900;0;964,6;1015,4;964,6;963,6;38,4;21;19,9;18,4;20,1;19,9;18,5;18,3;12,8;91;91;91;170;1,8;,7;
2023-01-01;1000;0;965,2;1015,9;965,2;964,6;419;22;21;19,1;21;19,8;19,2;18,2;13,6;91;89;89;139;2;1;
2023-01-01;1100;0;965,7;1016,1;965,7;965,2;1471;23;22,9;18,6;23,1;21;20;18,1;13,9;89;77;77;163;2,9;1,1;
2023-01-01;1200;0;966,1;1016,2;966,1;965,7;1553,8;25;24,6;18,4;24,6;22,5;18,8;17,4;13,8;77;69;69;217;2,8;,8;
2023-01-01;1300;0;965,8;1015,8;966,1;965,8;2982,6;27;25;17,8;25,7;23,6;19,1;17,4;13,7;72;63;64;282;3,1;1;
2023-01-01;1400;,2;965,2;1014,9;965,8;965,2;3371,5;28;26,6;18,5;27,6;25;19,4;17,5;13,7;66;59;61;260;3,8;1,8;
2023-01-01;1500;0;964,4;1013,8;965,2;964,4;3821,7;30;28,1;17,5;28,7;26,4;19;16,8;13,5;62;50;53;42;3,8;1,3;
2023-01-01;1600;0;963,2;1012,2;964,4;963,2;4113,1;31;30,3;17,6;30,9;28,1;19;17,1;13,6;56;46;47;9;5,5;1,5;
2023-01-01;1700;0;962,1;1011;963,2;962,1;3654;32;30,2;17,8;31;29,3;19,2;16,8;13,6;52;44;47;20;4,1;1,8;
2023-01-01;1800;0;961,8;1010,8;962,1;961,8;2358,3;33;29,5;18,6;32,5;29,5;20;17,4;13,4;52;43;52;25;5,2;1;
2023-01-01;1900;1,2;962,4;1012,4;962,4;961,6;150,5;31;24,2;18,8;29,6;24,2;19,4;17,9;13,1;72;50;72;78;6;2,6;
2023-01-01;2000;9,2;962,6;1012,7;962,6;962,1;229,3;26;23,2;19,3;24,2;21,6;20,5;18,1;13,4;88;72;79;274;4,8;2,5;
2023-01-01;2100;0;963,4;1013,6;963,4;962,2;321,9;25;23,2;19,8;23,6;23,1;20,2;19;13,3;83;77;81;105;6,2;2,3;
2023-01-01;2200;,4;964,1;1014,6;964,1;963,4;74,3;25;21,8;18,3;23,2;21,8;19,9;17,9;13;82;75;81;80;6,6;3;
2023-01-01;2300;,6;965;1015,7;965,1;964,1;-1,8;24;21;19;21,8;21;19,2;18,4;12,9;88;81;88;344;6,2;1,1;
2023-01-02;0000;0;965,1;1015,7;965,2;965;-1,8;23;21,4;19,3;21,6;21;19,4;19;12,9;88;87;88;110;4,2;2,6;
2023-01-02;0100;0;965,8;1016,5;965,9;965,1;-,7;23;21;18,7;21,4;21;19,3;18,7;12,9;88;86;87;103;5,8;1,9;
2023-01-02;0200;0;965;1015,7;965,8;965;-2,8;22;20,6;18,4;21,1;20,6;18,7;18,4;12,9;88;86;88;89;3;1,9;
2023-01-02;0300;0;964,4;1015,2;965;964,3;-3,5;22;19,9;18,2;20,6;19,9;18,4;18,2;12,9;90;88;90;86;5;3,3;
2023-01-02;0400;0;963,6;1014,4;964,5;963,6;-3,2;21;19,6;17,9;19,9;19,6;18,2;17,9;12,9;90;90;90;117;5,2;1;
2023-01-02;0500;0;963;1013,9;963,6;963;-2,6;21;19;17,5;19,6;19;17,9;17,4;12,8;91;90;91;337;1,9;,9;
2023-01-02;0600;0;962,8;1013,7;963;962,6;-3,5;20;18,8;17,3;19,1;18,7;17,5;17,2;12,8;91;91;91;270;1,8;1;
2023-01-02;0700;0;963;1014;963,1;962,6;-3,5;20;18,7;17,3;19;18,5;17,5;17;12,8;91;91;91;24;1,7;,5;
2023-01-02;0800;0;962,8;1013,8;963,1;962,8;-3,4;20;18,4;16,9;18,7;18,3;17,2;16,7;12,8;91;91;91;360;2,1;,5;
2023-01-02;0900;0;963,2;1014,2;963,2;962,8;113,8;20;18,4;16,9;19;18,3;17,5;16,7;12,9;91;90;91;24;2;1,1;
2023-01-02;1000;0;963,5;1014,1;963,5;963,2;764,4;21;20,9;19;21,2;18,4;19,4;16,9;13,5;91;88;88;51;2;,7;
2023-01-02;1100;0;963,7;1014,1;963,8;963,5;1336,5;23;22,1;18,1;22,8;20,8;19,4;17,5;13,9;89;76;78;121;3,9;1,9;
2023-01-02;1200;0;964;1014,2;964;963,7;2055,9;25;23,4;17,6;24;22,1;18,9;17,1;13,9;78;68;70;82;3,9;1,6;
2023-01-02;1300;0;963,8;1013,6;964,2;963,8;2940;26;25,6;18,6;25,6;23;18,8;17,1;13,7;72;63;65;93;3,7;1;
2023-01-02;1400;,2;962,9;1012,4;963,8;962,9;3781;28;27;18,1;27,3;25,4;18,5;16,6;13,6;65;54;58;281;3,5;1,8;
2023-01-02;1500;0;961,8;1011;962,9;961,8;4054,1;29;28,4;16,7;28,8;26,8;19,1;16,7;13,7;60;49;49;176;5,2;2,5;
2023-01-02;1600;0;960,9;1009,9;961,8;960,9;4114,7;31;29,3;18;30,1;27,9;19,2;16,2;13,5;54;46;51;223;5,2;2,2;
2023-01-02;1700;0;959,4;1008,1;960,9;959,4;3839,9;32;30,8;17,3;31,5;29;19,3;17,2;13,5;54;44;45;315;5,2;1,6;
2023-01-02;1800;0;958,9;1008,2;959,4;958,8;2131,1;32;27,2;15,2;31,2;27,2;19,1;15;13,6;52;45;48;100;12,2;7,1;
2023-01-02;1900;0;958,1;1007;958,9;958,1;2197,5;30;29,2;17;29,3;26,1;17,7;14,3;13,6;54;46;48;75;12,8;1,5;
2023-01-02;2000;0;958,3;1007,4;958,4;957,9;1555,3;31;27,8;17,2;29,8;27,8;18,2;16,4;13,2;53;46;53;111;7,3;4,7;
2023-01-02;2100;0;958,8;1008,4;958,8;958,3;281,7;29;25,3;17,9;27,7;25,3;17,9;16,6;13,2;63;53;63;75;7,8;1,9;
2023-01-02;2200;0;959,4;1009,1;959,4;958,8;47,9;27;24,9;17;25,3;24,5;17,9;16,9;13;66;60;62;121;4,3;2,8;
2023-01-02;2300;0;960,4;1010,3;960,4;959,4;-3,4;26;23,7;18;24,9;23,2;18,1;17;12,9;72;62;70;48;4,4;1,5;
2023-01-03;0000;0;961,5;1011,6;961,5;960,4;-3,2;25;23,1;17,9;23,9;23,1;18,1;17,8;12,9;72;69;72;73;4,8;2,1;
2023-01-03;0100;0;961,7;1011,9;961,8;961,5;-2,8;25;22,7;17,7;23,1;22,5;18,1;17,7;12,9;76;72;74;116;4,6;2,8;
2023-01-03;0200;0;961,8;1012,1;961,9;961,7;-2,9;24;22;17,6;22,7;21,9;17,9;17,6;12,9;78;74;76;105;6,4;2,5;
2023-01-03;0300;0;961;1011,4;961,8;961;-3,1;23;21,2;17,8;22,1;21,2;17,8;17,6;12,9;81;76;81;310;4,1;,2;
2023-01-03;0400;0;960,2;1010,7;961;960,2;-3,6;23;20,4;18,1;21,2;20,2;18,1;17,7;12,9;87;81;87;282;1,4;,6;
2023-01-03;0500;0;959,2;1009,7;960,2;959,2;-3,6;22;20;18;20,5;19,8;18,2;17,7;12,8;88;87;88;121;1,4;,4;
2023-01-03;0600;0;958,9;1009,5;959,2;958,9;-3,6;21;19,7;17,6;20,3;19,5;18,2;17,4;12,8;89;87;88;293;2,2;,8;
2023-01-03;0700;0;959;1009,7;959,2;958,9;-3,6;21;19;17,2;19,8;19;17,8;17,2;12,8;89;88;89;294;2,2;1,2;
2023-01-03;0800;0;959,2;1009,8;959,2;958,9;-2,3;21;19,4;17,6;19,6;19;17,9;17,2;12,8;90;89;90;290;2;1;
2023-01-03;0900;0;959,9;1010,6;959,9;959,2;54,7;21;19,4;17,6;19,4;19,1;17,7;17,4;12,8;90;89;90;315;1,7;,9;
2023-01-03;1000;0;960,8;1011,2;960,8;959,8;425,1;22;21,5;18,5;21,7;19,4;19,2;17,6;13,5;90;83;83;169;2;1,1;
2023-01-03;1100;0;961,1;1011,2;961,3;960,7;1354,6;24;23,3;18,7;23,7;21,5;19,5;18,3;13,9;83;74;75;7;2,9;1,5;
2023-01-03;1200;0;961,5;1011,3;961,5;961;1706,5;26;24,9;18,7;25,1;23,2;19,3;17,7;13,8;76;67;68;67;3,1;1,4;
2023-01-03;1300;0;961,6;1011,3;961,7;961,5;1532,8;27;25,6;18,4;25,7;24,6;19;17,8;13,9;69;63;64;27;3,1;,5;
2023-01-03;1400;0;961,2;1010,6;961,6;961,2;1938,7;28;27;18,8;27,6;25,6;19,8;18;13,7;65;60;61;179;3;1,6;
2023-01-03;1500;0;960,4;1009,8;961,2;960,4;1149,9;29;27;19;27,4;26,7;19,7;18,3;13,7;64;59;61;313;3,4;1,6;
2023-01-03;1600;0;959,2;1008,2;960,4;959,2;2566;30;29,2;19;29,3;27;19,6;17,8;13,5;63;51;54;239;4,2;1,5;
2023-01-03;1700;0;958,6;1007,4;959,3;958,6;3684,8;32;30,2;16,5;31,5;29,2;19,4;16,1;13,6;55;41;44;135;3,8;1,4;
2023-01-03;1800;0;957,8;1006,4;958,7;957,8;1866,6;32;30,9;16,3;31,6;29,8;18,2;15,9;13,6;49;41;42;260;6,8;3,5;
2023-01-03;1900;0;957;1005,7;957,8;956,9;1393,1;32;29,9;16,6;31,7;29,9;17,4;15,9;13,6;46;40;45;248;8,3;3,6;
2023-01-03;2000;0;957,2;1006,2;957,3;957;535,5;31;28,1;18;29,9;28,1;18,1;16,8;13,3;54;45;54;349;5,1;2,1;
2023-01-03;2100;0;957;1006,1;957,3;957;383,9;30;27,7;18,5;28,4;27,7;18,9;17,7;13,2;58;53;57;345;3,4;,6;
2023-01-03;2200;0;957,9;1007,3;957,9;957;72,6;29;26,4;19,3;27,9;26,4;19,5;18,1;13;65;56;65;296;2,3;,6;
2023-01-03;2300;0;958,8;1008,5;958,8;957,9;-3,6;28;24,9;19,8;26,4;24,5;20,1;19,3;12,9;75;65;74;26;2,1;,7;
2023-01-04;0000;0;959,5;1009,3;959,5;958,8;-2,8;27;24,5;19,3;25,3;24,5;19,9;19,3;12,9;74;70;73;70;3,6;1,4;
2023-01-04;0100;0;960,2;1010;960,2;959,5;-2,9;26;24,3;19,4;24,5;23,7;20;19,3;12,9;79;73;74;172;3,2;1,6;
2023-01-04;0200;0;960,1;1010,1;960,4;960,1;-3;25;23,3;19,5;24,3;23,3;19,5;19,3;12,9;79;74;79;298;3,6;,5;
2023-01-04;0300;0;959,5;1009,5;960,2;959,5;-2,5;25;23,1;19,7;23,4;23;19,8;19,5;12,9;81;79;81;103;3,3;1,8;
2023-01-04;0400;0;958,8;1008,9;959,5;958,8;-2,7;25;22,6;19,5;23,1;22,5;19,7;19,4;12,9;83;81;83;138;4;1,1;
2023-01-04;0500;0;958,4;1008,5;958,9;958,4;-2,9;24;22,3;19,4;22,7;22,2;19,5;19,3;12,9;84;82;84;243;2,3;1;
2023-01-04;0600;0;958;1008,2;958,4;957,9;-2,9;24;21,7;19,8;22,3;21,7;19,9;19,4;12,8;89;84;89;334;2;1,2;
2023-01-04;0700;0;958,2;1008,3;958,2;957,9;-3;23;21,9;19,9;21,9;21,6;19,9;19,7;12,8;89;88;88;13;2;1,4;
2023-01-04;0800;0;958,3;1008,5;958,4;958,2;-3,1;23;21,8;19,7;22;21,6;19,9;19,6;12,8;89;88;88;157;2;,6;
2023-01-04;0900;0;958,7;1008,9;958,7;958,3;25,1;23;22;20;22;21,7;20;19,6;12,8;88;88;88;106;2,1;1,2;
2023-01-04;1000;0;959,2;1009,4;959,2;958,7;170,7;23;22,1;20,4;22,1;21,6;20,4;19,8;13,3;90;88;90;38;2,2;,6;
2023-01-04;1100;0;959,4;1009,4;959,5;959,2;582,5;24;23,2;20,6;23,2;22,1;20,9;20,2;13,6;90;85;85;276;2,2;1,2;
2023-01-04;1200;0;959,6;1009,5;959,6;959,4;872,6;25;24;20,3;24,1;23,1;21;20,2;13,8;86;79;79;248;3,4;,9;
2023-01-04;1300;0;959,6;1009,4;959,6;959,4;725,5;26;24,6;20,8;24,6;24;21;20,3;13,8;82;79;79;284;2,4;1,3;
2023-01-04;1400;0;959,3;1008,8;959,8;959,3;1186,2;27;26,2;20,4;26,2;24,2;21,5;19,7;13,8;82;68;71;234;2,7;1;
2023-01-04;1500;0;959,2;1008,6;959,3;959,1;1410,9;28;26,6;20,6;27;26,2;20,8;19,7;13,7;71;66;70;276;2,9;1,4;
2023-01-04;1600;0;958,7;1008,1;959,3;958,7;1064;28;26,5;21,5;26,6;25,3;21,9;20,2;13,8;77;69;74;327;3,5;,9;
2023-01-04;1700;0;957,9;1007,2;958,7;957,9;1322,3;29;26,8;20,3;27,8;26,5;21,5;19,5;13,6;74;62;68;360;2,4;1,3;
2023-01-04;1800;0;957,8;1007,2;957,9;957,6;578,3;29;25,9;21,7;26,8;25,9;22;20,5;13,4;78;68;78;310;3,5;2,3;
2023-01-04;1900;,4;957,4;1006,9;957,8;957,3;675,8;28;25,3;21,3;26;25,2;22,2;21;13,4;82;77;79;285;5,1;1,4;
2023-01-04;2000;0;957,3;1006,8;957,6;957,3;418,4;28;25,1;21,3;25,7;25,1;21,4;20,4;13,3;79;74;79;329;2,4;,9;
2023-01-04;2100;0;957,5;1007,1;957,5;957,3;263,3;27;24,9;21,8;25,3;24,9;21,8;21;13,3;83;78;83;332;2,4;,9;
2023-01-04;2200;0;958;1007,7;958;957,5;57,4;27;24,2;21,2;25,1;24,2;21,9;21;13;83;81;83;273;3,2;1,3;
2023-01-04;2300;0;958,7;1008,6;958,7;958;-2,8;26;23,6;20,9;24,2;23,4;21,4;20,8;12,9;86;83;85;23;3,2;,9;
2023-01-05;0000;0;959,7;1009,6;959,7;958,7;-2,3;25;23,8;21,2;23,9;23,6;21,2;20,9;12,9;86;85;85;95;2,8;1,3;
