Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;975,3;1018,2;975,5;974,6;-3,3;23;21,5;20,2;21,7;21,4;20,3;20;12,4;92;91;92;339;3,8;,3;
2023-01-01;0100;0;975,1;1018,2;975,3;974,9;-3,4;23;20,6;19,7;21,5;20,4;20,1;19,4;12,4;95;92;95;30;1,8;,8;
2023-01-01;0200;0;974,9;1018;975,2;974,9;-3,4;22;20,3;19,3;20,7;20,2;19,8;19,3;12,4;95;94;94;13;2,4;1,2;
2023-01-01;0300;0;974,1;1017,2;974,9;974;-2,8;22;20,4;19,3;20,6;19,9;19,6;18,8;12,4;94;93;94;345;2,3;1,2;
2023-01-01;0400;0;973,1;1016,1;974,1;973,1;-2;22;20,8;19,4;20,8;20,3;19,5;19,3;12,3;94;92;92;351;3,9;2,2;
2023-01-01;0500;0;972,6;1015,5;973,1;972,6;-3,5;22;20,8;19,3;20,8;20,6;19,4;19,1;12,3;92;91;91;6;4,2;1,5;
2023-01-01;0600;0;972,4;1015,4;972,7;972,4;-3,3;22;20,6;19,4;21;20,6;19,5;19,2;12,3;93;91;93;23;3,1;1;
2023-01-01;0700;0;972,5;1015,5;972,5;972,3;-3,1;21;20,4;19,5;20,6;20,4;19,6;19,4;12,2;94;93;94;11;2,3;1,1;
2023-01-01;0800;0;972,8;1015,9;972,9;972,5;-3,1;21;20;18,9;20,9;20;19,9;18,9;12,2;95;93;93;328;2,3;,9;
2023-01-01;0900;0;973,6;1016,6;973,6;972,8;121,3;21;20,8;19,7;20,8;19,8;19,8;18,8;12,4;95;93;94;346;2,1;,8;
2023-01-01;1000;0;974,1;1016,7;974,1;973,6;796,2;23;23,4;20,6;23,4;20,8;20,8;19,8;13;94;84;84;42;3,4;1,7;
2023-01-01;1100;0;974,5;1016,9;974,5;974,1;1700;25;25,3;20,5;25,3;23,4;21,4;20,2;13,9;84;75;75;43;6;2,8;
2023-01-01;1200;0;974,8;1017;974,8;974,4;2442,7;27;26,5;20,7;26,7;25,1;21,4;20,1;13,9;76;70;70;37;7,2;2,9;
