Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 586
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;952,9;1012;952,9;952,7;-3,6;23;21,3;19,3;21,5;21,2;19,4;19,2;12,7;89;87;88;202;3,8;,9;
2023-01-01;0100;0;953,4;1012,6;953,5;952,9;-3,6;22;20,8;19,1;21,3;20,8;19,3;19;12,7;90;87;90;204;5,3;,2;
2023-01-01;0200;0;953;1012,2;953,4;953;-3,2;22;20,7;19,2;20,8;20,5;19,2;19;12,6;91;90;91;259;1,9;0;
2023-01-01;0300;0;952,4;1011,7;953,1;952,4;-2,8;22;20,3;18,9;20,9;20,3;19,3;18,9;12,6;92;90;92;218;1,1;0;
2023-01-01;0400;0;951,7;1011,1;952,4;951,7;-3,4;21;19,7;18,7;20,2;19,7;18,9;18,6;12,6;94;92;94;240;0;0;
2023-01-01;0500;0;950,3;1009,7;951,7;950,3;-3,2;21;19,3;18,4;19,7;19,3;18,6;18,4;12,6;94;94;94;237;0;0;
2023-01-01;0600;0;949,9;1009,3;950,3;949,9;-3,4;20;18,8;17,9;19,3;18,8;18,4;17,9;12,6;95;94;95;235;0;0;
2023-01-01;0700;0;950,5;1009,9;950,5;949,9;-2,2;20;19,2;18,3;19,2;18,7;18,3;17,9;12,6;95;95;95;255;0;0;
2023-01-01;0800;0;951;1010,5;951;950,4;-1,5;20;19,1;18,3;19,5;19,1;18,7;18,3;12,5;95;95;95;304;0;0;
2023-01-01;0900;0;951,5;1010,8;951,5;951;63,1;20;20;19,2;20;19,1;19,2;18,3;12,8;95;95;95;292;0;0;
2023-01-01;1000;0;952,4;1011,6;952,4;951,5;120,4;21;20,9;20;20,9;20;20;19,3;13,1;95;95;95;188;0;0;
2023-01-01;1100;0;952,6;1011,3;952,6;952,4;857,1;23;23,4;20,7;23,4;20,9;21,2;20;14,4;95;83;84;305;0;0;
2023-01-01;1200;0;952,8;1011;952,8;952,6;2139,8;26;25,9;20;25,9;23,4;20,7;19,3;14,4;84;69;70;62;4,6;,9;
2023-01-01;1300;0;952,7;1011;952,9;952,7;2121,1;28;25,4;19,7;26,3;24,6;21,1;18,6;14,4;76;66;71;17;5,3;,7;
2023-01-01;1400;0;952,4;1010,6;952,7;952,3;2607,4;30;25,8;19,5;27;25,3;21,1;18,1;14,4;74;61;68;339;4,6;,6;
2023-01-01;1500;3,2;952,2;1011;952,5;952,1;332,5;27;22,4;20,5;25,8;22,3;20,7;19,1;14,5;89;68;89;49;4,2;,1;
2023-01-01;1600;,2;951,7;1010,5;952,2;951,6;564,7;26;22,3;20,4;23,3;22,2;21,8;20,3;14,5;92;87;89;214;2,8;,3;
2023-01-01;1700;0;951,3;1009,9;951,8;951,3;605,7;25;23,2;20,8;23,3;21,8;21,3;20;14,5;91;86;86;249;2,7;0;
2023-01-01;1800;0;950,3;1008,5;951,3;950,3;1555,1;27;24,8;21;25,5;23;21,5;20;14,5;86;74;79;203;3,2;,5;
2023-01-01;1900;0;949,8;1008,2;950,5;949,7;909,3;28;24,1;21,4;25,4;23,8;21,5;19,3;14,4;86;70;85;341;2,6;,1;
2023-01-01;2000;0;951,1;1009,8;951,1;949,7;272,1;27;23;20,8;24,3;23;21,7;20,5;13,5;89;80;87;206;2;,2;
2023-01-01;2100;1,6;950,8;1009,7;951,2;950,7;45;25;21,7;20,2;23;21,7;20,8;20,1;12,7;91;84;91;86;3,9;,1;
2023-01-01;2200;,4;951,3;1010,5;951,4;950,8;1,1;23;20,2;19,2;21,7;20,2;20,4;19,1;12,7;94;91;94;227;3,2;0;
2023-01-01;2300;2;953;1012,4;953;951,3;-1,8;22;20;19;20,2;19,9;19,2;19;12,7;95;94;94;38;1,8;0;
2023-01-02;0000;,8;953;1012,5;953,6;952,9;-2;21;19,5;18,6;20;19,5;19,1;18,6;12,7;94;94;94;6;2,7;0;
2023-01-02;0100;,6;952,5;1012,1;953;951,5;-2,5;21;18,8;17,9;19,5;18,8;18,5;17,9;12,6;95;94;94;185;4,3;0;
2023-01-02;0200;0;952,2;1012;952,5;952,1;-3,6;20;18;17,1;18,8;17,9;17,9;17;12,6;95;94;95;191;1,4;0;
2023-01-02;0300;0;951,5;1011,3;952,2;951,5;-3,6;19;17,5;16,7;18;17,5;17,1;16,6;12,6;95;95;95;194;1,4;0;
2023-01-02;0400;0;950,7;1010,6;951,5;950,7;-3,6;18;17,1;16,3;17,6;17,1;16,7;16,3;12,6;95;95;95;179;0;0;
2023-01-02;0500;0;950;1009,8;950,7;950;-3,6;18;17,2;16,4;17,4;17,1;16,7;16,4;12,6;95;95;95;181;0;0;
2023-01-02;0600;0;949,8;1009,7;950;949,7;-3,6;18;16,7;16;17,3;16,7;16,5;16;12,5;95;95;95;200;,8;0;
2023-01-02;0700;0;949,9;1009,8;949,9;949,7;-3,6;17;16,6;15,8;16,8;16,4;16;15,6;12,5;95;95;95;205;,9;0;
2023-01-02;0800;0;950,6;1010,6;950,6;949,9;-3,5;17;16,3;15,6;16,6;16,2;15,7;15,4;12,4;95;95;95;191;1,1;0;
2023-01-02;0900;0;951,4;1011,4;951,4;950,6;51,8;17;16,5;15,7;16,5;16,2;15,8;15,5;12,7;95;95;95;197;1,2;0;
2023-01-02;1000;0;951,8;1011,4;951,9;951,4;442,7;18;18,6;17,8;18,6;16,5;17,8;15,7;13,5;95;95;95;150;1;0;
2023-01-02;1100;0;951,4;1010,1;951,8;951,4;1373,1;21;23;18,6;23;18,6;19,9;17,8;14,4;95;77;77;100;1,9;,3;
2023-01-02;1200;0;951,8;1010,4;951,8;951,4;2637;24;23,7;18,4;24;22,6;19;17,2;14,4;77;69;72;57;4,3;1,6;
2023-01-02;1300;0;951,7;1010,2;952;951,7;2813,8;27;23,9;18;25;23,6;19,3;17,4;14,4;74;66;70;65;5,3;2,1;
