Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;991,1;1017,1;991,1;990,1;null;26;24,1;21,1;24,8;24,1;21,2;20,5;12,7;83;77;83;null;null;null;
2023-01-01;0100;0;991,4;1017,5;991,5;991,1;null;25;23,8;21,7;24,1;23,8;21,7;21,1;12,7;88;83;88;null;null;null;
2023-01-01;0200;0;991,4;1017,5;991,6;991,4;null;25;23,5;21,6;23,8;23,3;21,8;21,6;12,7;91;88;89;null;null;null;
2023-01-01;0300;0;990,8;1016,9;991,4;990,8;null;25;23,6;21,9;23,6;23,4;21,9;21,6;12,7;91;89;90;null;null;null;
2023-01-01;0400;,2;990,1;1016,2;990,8;990,1;null;24;23;21,6;23,6;23;22,4;21,6;12,7;95;90;92;null;null;null;
2023-01-01;0500;0;989,6;1015,7;990,1;989,6;null;24;22,8;21,9;23;22,7;21,9;21,6;12,6;95;92;95;null;null;null;
2023-01-01;0600;0;989,1;1015,2;989,6;989,1;null;23;22,5;21,9;22,8;22,5;22,1;21,8;12,6;96;94;96;null;null;null;
2023-01-01;0700;0;989,1;1015,2;989,2;989;null;23;22,7;22,2;22,7;22,5;22,2;21,8;12,6;97;96;97;null;null;null;
2023-01-01;0800;0;989,7;1015,9;989,7;989,1;null;23;22,3;21,6;22,7;22,2;22,1;21,6;12,6;97;95;96;null;null;null;
2023-01-01;0900;0;990,2;1016,3;990,3;989,7;null;23;23,1;22;23,1;22;22,3;21,5;13,4;97;94;94;null;null;null;
2023-01-01;1000;0;990,9;1016,9;990,9;990,1;-,1;28;24,7;21;25;22,8;22,1;21;14,5;94;80;80;null;null;null;
2023-01-01;1100;0;991;1016,9;991;990,9;11,1;30;25,5;21,3;25,8;24,5;22,1;20,4;14,5;83;75;78;null;null;null;
2023-01-01;1200;0;991,2;1017;991,2;991;16,4;31;26,6;20,1;27,1;25;21,8;19,9;14,5;79;67;68;null;null;null;
2023-01-01;1300;0;991,1;1016,7;991,2;991;-,2;32;29;19,7;29;26,1;21,2;18,6;14,5;70;57;57;null;null;null;
2023-01-01;1400;0;990,2;1015,8;991,1;990,2;null;34;29,2;18,3;29,8;28,1;20,4;17,4;14,5;61;49;52;null;null;null;
