Nome: Paty do Alferes - Avelar
Codigo Estacao: A637
Latitude: -22.34722221
Longitude: -43.41777777
Altitude: 508
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;2,8;941,7;999,3;944,4;941,7;-2,6;22;20;18,7;20,8;20;19,3;18,5;12,6;92;90;92;158;2,1;,5;
2023-01-01;0100;0;938,6;996,2;941,7;938,6;-3,4;21;19,2;18;20;19,2;18,7;18;12,6;93;91;93;229;1,5;,8;
2023-01-01;0200;0;935,8;993,3;938,6;935,8;-3,5;21;19;17,9;19,2;18,5;18,1;17,4;12,6;93;93;93;45;1,4;,4;
2023-01-01;0300;0;936,8;994,2;936,8;935,8;-1,3;21;19,8;18,7;19,8;19;18,7;17,9;12,6;94;93;93;133;1,8;,8;
2023-01-01;0400;0;938,4;995,9;938,4;936,8;-2;21;19,8;18,6;20;19,8;18,8;18,6;12,6;93;93;93;180;1,2;,3;
2023-01-01;0500;0;937,5;995;938,8;937,5;-3,4;21;19,2;18,1;19,8;19,1;18,6;18;12,6;93;93;93;246;1,5;,4;
2023-01-01;0600;0;936,8;994,3;937,7;936,7;-3,3;20;19;17,9;19,3;19;18,3;17,9;12,5;94;93;94;120;1,3;,2;
2023-01-01;0700;0;937,1;994,6;937,1;936,7;-2,5;20;19,4;18,3;19,6;19;18,6;17,9;12,5;94;94;94;132;1,2;,4;
2023-01-01;0800;0;937,4;994,8;937,5;937,1;-3,2;20;19,7;18,7;19,7;19,1;18,7;18,1;12,5;94;94;94;157;1,5;,8;
2023-01-01;0900;0;938,2;995,7;938,2;937,4;59,3;20;19,4;18,3;19,8;19,1;18,7;18;12,9;94;93;94;317;1,3;,3;
2023-01-01;1000;0;940,9;998,2;940,9;938,2;257,4;21;21,5;19,6;21,5;19,3;20;18,3;13,6;94;89;89;49;2,6;1,2;
2023-01-01;1100;0;949,2;1006,6;949,2;940,9;1161,5;23;23,3;19,4;23,6;21,4;19,9;19,2;14,4;89;77;79;9;4,2;1,9;
2023-01-01;1200;0;962,5;1020,3;962,5;949,2;2546,5;26;25,6;20,2;25,6;23,2;20,7;19,4;14,4;83;72;72;15;5;2,4;
2023-01-01;1300;0;972;1030,2;972;962,5;2916,2;28;26,3;18,4;27;25;20,3;18;14,4;74;59;62;17;6,3;2,1;
2023-01-01;1400;0;979,3;1037,7;979,3;972;3736,2;30;27,4;18,7;28;26,3;20;18;14,3;67;57;59;6;6,1;2,2;
2023-01-01;1500;0;982,2;1040,6;982,2;979,3;3548,2;31;28,2;18,5;29,3;26,7;20,6;17,3;14,3;63;53;56;345;5,9;1,9;
2023-01-01;1600;,2;985,3;1043,6;985,3;982,2;3988,8;32;29,9;19,2;29,9;28,2;20,3;17,6;14,3;59;50;53;35;5,5;2;
2023-01-01;1700;0;989,6;1048;989,6;985,4;3881,6;34;30,6;18,7;30,6;28,9;19,9;17;14,3;55;45;49;308;5;1,1;
