Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;962,1;1014,6;962,1;961,2;-3,5;26;24,1;19,9;24,9;24,1;19,9;19,6;12,5;78;73;78;46;3,3;,7;
2023-01-01;0100;0;962,3;1014,9;962,3;962;-3,5;26;23,6;20,8;24,1;23,6;20,9;19,9;12,5;85;78;84;93;3;,8;
2023-01-01;0200;0;961,9;1014,6;962,3;961,9;-3,5;25;23,2;20,7;23,6;23,2;21;20,7;12,5;86;84;86;44;3,3;1,3;
2023-01-01;0300;0;961,6;1014,3;961,9;961,4;-3,5;25;22,8;20,4;23,2;22,8;20,7;20,4;12,4;87;86;87;20;3,3;1,1;
2023-01-01;0400;0;961,4;1014,2;961,7;961,3;-3,5;24;22,5;20,6;22,8;22,5;20,7;20,3;12,4;89;87;89;28;2,3;0;
2023-01-01;0500;0;960,9;1013,6;961,4;960,9;-3,5;24;22,5;20,6;22,6;22,4;20,8;20,4;12,4;89;89;89;81;1,8;,2;
2023-01-01;0600;0;960,8;1013,6;960,9;960,7;-3,5;24;22,1;20,3;22,5;22,1;20,6;20,3;12,4;90;89;90;98;3;,6;
2023-01-01;0700;0;960,7;1013,6;960,8;960,6;-3,5;23;21,8;20,1;22,1;21,8;20,3;20,1;12,4;90;90;90;131;2,3;,4;
2023-01-01;0800;0;961;1013,9;961;960,6;-3,5;23;21,6;19,9;21,8;21,5;20,1;19,9;12,4;90;90;90;110;2,3;,5;
2023-01-01;0900;0;961,6;1014,5;961,6;961;22,5;23;21,7;20;21,7;21,5;20;19,9;12,4;90;90;90;90;1,8;,3;
2023-01-01;1000;0;962,2;1014,8;962,2;961,6;609,6;23;23,8;20,8;23,8;21,7;21;20;13,1;90;84;84;78;3,5;1,3;
2023-01-01;1100;0;962,5;1014,8;962,5;962,1;1521,2;25;25,5;21,3;25,5;23,7;21,3;20,6;13,3;84;77;78;98;4,3;1,2;
2023-01-01;1200;0;962,9;1014,9;962,9;962,5;2385,2;27;27,3;19,7;27,6;25,4;21,4;19,7;13,3;77;63;63;35;5,2;2,1;
2023-01-01;1300;0;962,8;1014,5;963,1;962,8;3103,4;29;29;19,9;29,5;27,2;20,7;19;13,3;64;56;58;343;5,5;1,4;
2023-01-01;1400;0;962,4;1013,9;962,9;962,4;3828,5;31;29,9;19,2;30,3;29;20,5;18,9;13,3;58;51;52;15;5,5;1,8;
2023-01-01;1500;0;961,9;1013,1;962,5;961,9;3106,9;32;31,5;20,3;31,6;29,4;21;18,6;13,3;57;50;51;360;4,5;1;
2023-01-01;1600;0;961;1012,1;961,9;961;4144,6;33;32;20,1;32,1;30,4;20,5;18,2;13,3;53;44;50;347;5,3;1,1;
2023-01-01;1700;0;959,7;1010,8;961;959,6;3281,7;34;31,1;17,6;32,5;31;19,9;17,3;13,3;49;42;44;9;5,4;1,2;
2023-01-01;1800;0;959,6;1010,9;959,8;959,3;804,7;34;30,1;18,2;31,3;30,1;19,3;16,9;13,2;52;43;49;317;3,5;,5;
2023-01-01;1900;,2;959,2;1010,7;959,8;959,2;1225,2;33;28,7;19,9;31,2;27,7;20,1;17,8;13,3;60;46;59;168;10,5;3,7;
2023-01-01;2000;0;958,3;1009,5;959,2;958,3;1140,8;32;30,1;19,3;30,2;28,3;20,3;19,2;13,3;60;52;53;169;6,7;1,6;
2023-01-01;2100;0;958,1;1009,5;958,3;958;677;32;29,3;19,9;30,6;29,3;20,1;18,3;13;57;49;57;124;4,9;1,2;
2023-01-01;2200;0;958,4;1010;958,6;958;70,8;31;27,8;20,4;29,5;27,8;20,4;19,7;12,6;64;56;64;122;3,7;,4;
2023-01-01;2300;0;959;1011;959;958,2;-3,5;29;26,2;21,1;27,8;26,2;21,2;20,1;12,5;74;64;74;123;2,5;,6;
2023-01-02;0000;0;960;1012;960;959;-3,5;28;26,2;21,3;26,9;26,2;21,4;21;12,5;75;70;74;184;2,6;,4;
2023-01-02;0100;0;960,9;1013,3;961;960;-3,5;27;24,6;21,2;26,2;24,6;21,4;20,8;12,5;81;74;81;206;2,1;0;
2023-01-02;0200;0;960,5;1012,8;961;960,5;-3,5;27;24,8;20,9;25;24,6;21,5;20,9;12,5;82;79;79;122;1,6;,2;
2023-01-02;0300;0;960,1;1012,5;960,6;960,1;-3,5;26;24;20,4;24,9;24;20,9;20,4;12,5;82;78;80;91;2,9;,6;
2023-01-02;0400;0;959,9;1012,4;960,2;959,8;-3,5;26;23,5;20,1;24;23,5;20,4;20;12,4;81;80;81;90;4,9;,8;
2023-01-02;0500;0;959,4;1012;959,9;959,4;-3,5;25;23;19,7;23,5;23;20;19,7;12,4;82;80;82;25;3,3;,7;
2023-01-02;0600;0;958,8;1011,4;959,5;958,8;-3,5;25;22,8;19,8;23;22,7;19,8;19,6;12,4;83;82;83;128;2,6;1,3;
2023-01-02;0700;0;959,4;1012,2;959,4;958,7;-3,5;24;21,9;19,5;22,8;21,9;19,8;19,3;12,4;86;83;86;136;3,2;,6;
2023-01-02;0800;0;959,9;1012,7;959,9;959,4;-3,5;24;21,7;19,5;22;21,7;19,7;19,4;12,4;87;86;87;135;2,9;,3;
2023-01-02;0900;0;960,4;1013,3;960,4;959,9;25,7;23;21,7;19,5;21,8;21,6;19,6;19,5;12,4;88;87;87;110;2,8;,6;
2023-01-02;1000;0;960,9;1013,4;960,9;960,4;639;24;23,8;20,2;23,9;21,7;20,6;19,5;13,2;88;80;80;73;4,3;1,1;
2023-01-02;1100;0;960,9;1013,1;960,9;960,7;1474,2;26;25,3;20,1;25,4;23,8;20,5;19,7;13,3;81;73;73;67;4,4;1,7;
2023-01-02;1200;0;961,2;1013,2;961,2;960,9;2158,7;28;26,9;20,4;27,1;25;20,9;19,7;13,3;73;67;67;57;4;1,2;
2023-01-02;1300;0;960,7;1012,5;961,2;960,7;2839,2;29;27,9;20,6;28,6;26,4;21,2;20;13,3;69;62;64;1;3,9;,7;
2023-01-02;1400;0;960,1;1011,5;960,7;960,1;3256,3;31;29,8;21,1;29,8;28;21,4;20;13,3;66;58;59;17;4,4;1,9;
2023-01-02;1500;0;958,9;1010,1;960,1;958,9;2772,7;32;30,8;21,7;30,8;29,6;21,7;20,1;13,3;59;56;58;1;5,7;1,8;
2023-01-02;1600;0;957,5;1008,5;958,9;957,5;3019;33;31,4;19,9;32,1;30,4;21,9;19,5;13,3;58;49;50;6;4,5;1,6;
2023-01-02;1700;0;956,5;1007,4;957,5;956,5;2921,9;34;31,5;19;32,6;31,3;20,9;19;13,3;53;47;48;355;4,9;1,7;
2023-01-02;1800;0;955,1;1005,8;956,5;955,1;2509,7;35;32,1;19;32,6;31,3;20,2;18,7;13,3;50;45;46;3;4,2;1,5;
2023-01-02;1900;0;955,9;1007,6;956;954,9;490,9;34;26,7;18,9;32,1;26,7;19,5;18,4;12,9;63;45;63;312;8,1;2,7;
2023-01-02;2000;,2;956,1;1008,5;956,6;955,9;27,4;30;23;19,2;26,6;23;19,7;17,2;12,5;79;60;79;203;7;3,1;
2023-01-02;2100;5,8;957,2;1009,9;957,6;956,1;6,3;26;21,4;19,3;23,5;21,2;19,9;18,6;12,5;88;79;88;215;11,3;3,9;
2023-01-02;2200;1,2;957,3;1010,1;957,3;957;1,8;24;21,2;18,7;21,4;21,1;19,4;18,6;12,5;89;85;85;206;9,7;4,2;
2023-01-02;2300;,2;958,9;1011,8;958,9;957,3;-3,4;24;21,2;19,2;21,3;21,1;19,2;18,7;12,4;88;85;88;332;6,7;,5;
2023-01-03;0000;,2;959,8;1012,7;959,8;958,9;-2,9;23;21,3;19,6;21,3;21,2;19,6;19,2;12,4;90;88;90;329;3,5;1;
2023-01-03;0100;0;959,1;1012;959,8;959,1;-2,9;23;21,1;19,4;21,3;21,1;19,6;19,4;12,4;90;90;90;6;3,8;,8;
2023-01-03;0200;0;957,8;1010,6;959,1;957,8;-3,2;23;21,1;19,4;21,2;21;19,5;19,4;12,4;90;90;90;129;2;0;
2023-01-03;0300;0;957,1;1009,8;957,8;957,1;-2,8;23;21,3;19,6;21,3;21,1;19,6;19,4;12,4;90;90;90;85;1,9;,3;
2023-01-03;0400;0;956,8;1009,5;957,1;956,8;-2,7;23;21,3;19,6;21,4;21,1;19,7;19,4;12,4;91;90;90;200;2,8;1,8;
2023-01-03;0500;0;957;1009,8;957,1;956,8;-2,2;23;21,2;19,5;21,4;21,2;19,6;19,4;12,4;90;90;90;36;2,8;,5;
2023-01-03;0600;0;956,9;1009,7;957,2;956,9;-3,3;23;20,9;19,4;21,2;20,9;19,5;19,3;12,3;91;90;91;350;2,6;,9;
2023-01-03;0700;0;957,1;1009,9;957,1;956,8;-2,5;23;20,9;19,5;21,1;20,9;19,6;19,4;12,3;91;91;91;351;4,2;1,6;
2023-01-03;0800;0;957,8;1010,6;957,9;957,1;-3,3;22;21;19,5;21;20,9;19,5;19,5;12,3;91;91;91;337;4,1;,6;
2023-01-03;0900;0;958,5;1011,4;958,5;957,8;26,7;22;20,9;19,4;21;20,8;19,5;19,3;12,4;91;91;91;338;3,2;,6;
2023-01-03;1000;0;959,3;1012,1;959,3;958,5;259,6;23;21,6;19,9;21,6;20,9;19,9;19,4;13,1;91;90;90;329;2,3;,2;
2023-01-03;1100;0;959,9;1012,5;959,9;959,3;682,6;24;22,7;19,7;22,8;21,6;20;19,4;13,2;90;83;83;316;2,8;,3;
2023-01-03;1200;0;960,2;1012,8;960,2;959,9;564,3;24;23,1;19,5;23,1;22,6;19,9;19,2;13,4;84;80;80;25;2,5;,7;
2023-01-03;1300;0;960,6;1012,9;960,7;960,2;1545;26;24,6;19,7;24,8;23,1;20,5;19,4;13,4;80;74;74;343;3,8;1,1;
2023-01-03;1400;0;960,5;1013,1;960,7;960,5;783,5;26;23,2;19,7;24,6;22,7;20;19,5;13,4;83;74;81;344;3,8;1,3;
2023-01-03;1500;0;959,7;1011,8;960,6;959,7;3022,1;27;25,8;20;26;23,2;20,7;19,5;13,4;81;69;70;338;5;1,6;
2023-01-03;1600;3,2;958,9;1011,3;959,7;958,9;1581,3;28;23,8;21,3;27,3;23,6;21,5;19,7;13,4;86;66;86;344;5;,6;
2023-01-03;1700;,6;957,5;1009,1;958,9;957,5;2848,8;28;27,9;20,9;27,9;23,8;22,7;20,8;13,4;87;66;66;344;4,4;1,5;
2023-01-03;1800;0;956,2;1007,4;957,5;956,2;3046,3;30;29,7;20,4;29,7;27,7;21,7;19,3;13,3;68;55;57;318;5,3;1;
2023-01-03;1900;0;955,3;1006,7;956,2;955,3;1381,8;31;28,4;19,8;29,7;28,1;20,2;18,7;13,3;61;53;60;302;6,5;,6;
2023-01-03;2000;0;955;1006,4;955,3;954,9;1157,4;31;28,4;19;29,1;27,9;20,3;19;13,3;61;56;57;328;4,6;1;
2023-01-03;2100;0;955,3;1006,7;955,3;954,9;377,3;30;28;19,3;28,4;27,9;19,5;18,7;13;60;56;59;344;2,6;,1;
2023-01-03;2200;0;956,1;1008,1;956,1;955,3;71,4;29;25,2;19,8;28;24,7;20,2;19;12,6;76;59;72;187;5,7;1,5;
2023-01-03;2300;0;957;1009,1;957;956,1;-3,3;28;24,9;20,3;25,4;24,9;20,3;19,3;12,5;76;69;76;163;2,9;,7;
2023-01-04;0000;0;957,7;1009,7;957,7;957;-3,3;27;25,5;20,1;25,5;24,9;20,7;20,1;12,5;76;72;72;136;2,5;,4;
2023-01-04;0100;0;958,1;1010,3;958,2;957,7;-3,2;27;24,5;20,8;25,5;24,4;21;20,1;12,5;81;72;80;27;3,8;,8;
2023-01-04;0200;0;958,3;1010,6;958,7;958,1;-3,3;26;24;20,9;24,5;24;21,1;20,9;12,5;83;80;83;25;2,6;,3;
2023-01-04;0300;0;957,6;1010;958,3;957,6;-3,5;26;23,5;20,8;24;23,5;20,9;20,8;12,5;85;83;85;75;2,6;0;
2023-01-04;0400;0;956,9;1009,3;957,6;956,9;-3,5;25;23;20,7;23,5;22,9;20,8;20,4;12,4;87;85;87;344;1,6;,2;
2023-01-04;0500;0;956,8;1009,2;957,1;956,8;-2,7;25;23;20,7;23,2;23;20,8;20,6;12,4;87;86;87;349;2,2;,8;
2023-01-04;0600;0;956,8;1009,2;957;956,7;-1,6;25;23,2;20,9;23,3;22,9;21;20,6;12,4;88;87;87;328;3,5;,6;
2023-01-04;0700;16;956,9;1009,7;957,2;956,8;-1,2;24;21,2;19,7;23,2;21,2;20,9;18,9;12,4;91;84;91;330;7,8;,5;
2023-01-04;0800;1;957,1;1009,9;957,1;956,9;-2,4;23;20,8;19,3;21,2;20,8;19,7;19,3;12,4;91;91;91;348;2,8;,9;
2023-01-04;0900;,2;957,3;1010,2;957,3;957,1;6,4;23;20,8;19,4;20,8;20,7;19,4;19,2;12,4;92;91;92;359;3,7;1,2;
2023-01-04;1000;0;957,7;1010,5;957,7;957,2;254,4;23;21,3;19,9;21,3;20,8;19,9;19,4;13;92;92;92;352;5,5;2,4;
2023-01-04;1100;0;958,3;1011;958,3;957,7;531,4;23;22,1;20,3;22,1;21,3;20,5;19,9;13,2;92;90;90;350;6,2;1,7;
2023-01-04;1200;0;958,6;1011,2;958,6;958,2;603;24;22,8;20,3;22,8;22,1;20,5;20;13,4;90;86;86;343;6,2;2,1;
2023-01-04;1300;,2;958,6;1011,1;958,6;958,6;842,6;25;23,3;20;24,1;22,8;20,7;19,9;13,2;86;80;82;341;6;2;
2023-01-04;1400;4;958,3;1010,7;958,8;958,3;613,2;25;23,3;21,3;23,4;22,8;21,4;20;13,4;89;82;89;357;5,1;1,8;
2023-01-04;1500;8,4;957,5;1009,8;958,3;957,5;823,2;25;23,7;21,8;23,8;22,8;22;20,9;13,4;90;88;89;338;5,4;1,5;
2023-01-04;1600;0;956,8;1008,6;957,5;956,8;2943,7;27;26,6;21,2;26,8;23,7;24;21,1;13,4;90;72;72;334;7,6;2;
2023-01-04;1700;0;955,9;1007,8;956,8;955,9;1996,2;28;25,8;21,5;27,7;24,9;22,1;20,1;13,4;80;67;77;349;6,8;2,1;
2023-01-04;1800;4;956,1;1008,2;956,2;955,8;760;27;24,4;22;25,8;22,8;22,2;20,3;13,1;88;77;87;322;7,5;1;
2023-01-04;1900;22;956,2;1008,9;957,1;956,1;56,1;25;21,3;19,8;24,4;20,9;22;18,8;12,6;91;84;91;307;8;1,3;
2023-01-04;2000;2,6;955,5;1008;956,2;955,5;268,9;24;22;20,4;22;21,3;20,4;19,8;13,5;91;91;91;299;4,6;1;
2023-01-04;2100;,2;955,9;1008,5;956;955,5;251,1;24;21,9;20,1;22,3;21,8;20,6;20;12,9;91;89;89;333;3,3;,1;
2023-01-04;2200;0;956,6;1009,2;956,6;955,9;64,8;24;22,1;20,3;22,1;21,9;20,3;20;12,5;90;89;90;319;1,3;0;
