Nome: JALES
Codigo Estacao: A733
Latitude: -20.165
Longitude: -50.59499999
Altitude: 460.44
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;961,2;1013,9;961,3;961;-3,5;27;22,5;20,4;23,7;22,3;20,5;20,3;12,6;89;82;88;45;9,5;2,8;
2023-01-01;0100;0;961,7;1014,5;961,7;961,1;-3,5;26;22,4;20;22,6;22,2;20,4;20;12,6;89;86;87;56;5,1;3,1;
2023-01-01;0200;0;961,9;1014,7;962;961,7;-3,5;25;22,1;20;22,4;21,9;20;19,9;12,5;89;86;88;73;4,6;2,7;
2023-01-01;0300;0;961,8;1014,7;962;961,7;-3,5;24;21,5;20,2;22,1;21,5;20,2;19,9;12,5;92;88;92;106;5,6;1,9;
2023-01-01;0400;0;961;1014;961,8;961;-3,5;24;21,2;20,2;21,6;21,2;20,4;20,1;12,5;95;92;95;89;4;,9;
2023-01-01;0500;0;960,6;1013,6;961,2;960,6;-3,5;23;20,6;20;21,3;20,6;20,5;19,9;12,5;97;95;97;346;3;,1;
2023-01-01;0600;0;960,2;1013,1;960,6;960,1;-3,1;23;21,4;20,7;21,5;20,6;20,9;20;12,5;97;96;96;79;3,2;1,6;
2023-01-01;0700;0;960;1012,9;960,3;959,9;-3,5;23;21,4;20,8;21,5;21,1;20,9;20,5;12,4;96;96;96;78;3,6;2,2;
2023-01-01;0800;0;960,3;1013,2;960,3;959,9;-3,5;23;21,2;20,6;21,5;21;20,8;20,4;12,4;97;96;97;82;4;,9;
2023-01-01;0900;0;961;1014;961;960,3;9;22;20,9;20,5;21,2;20,5;20,7;20,1;12,4;97;96;97;48;2,1;,6;
